Time,Position X,Position Y,Position Z
0.35,0.00,1.19,0.00
0.46,0.00,0.79,0.00
0.56,0.00,0.87,-0.01
0.66,0.01,0.87,-0.01
0.77,0.00,0.86,-0.01
0.87,0.00,0.86,0.00
0.98,0.00,0.86,0.00
1.09,0.00,0.86,0.00
1.19,0.00,0.87,0.00
1.29,0.00,0.87,0.00
1.40,0.00,0.87,0.00
1.50,0.00,0.87,0.00
1.62,0.00,0.87,0.00
1.72,0.00,0.87,0.00
1.82,0.00,0.87,0.00
1.93,0.00,0.87,0.00
2.03,0.00,0.87,0.00
2.14,0.00,0.87,0.00
2.25,0.00,0.87,0.00
2.35,0.00,0.87,0.00
2.45,0.00,0.87,0.00
2.56,0.00,0.87,0.00
2.67,0.00,0.87,0.00
2.77,0.00,0.87,0.00
2.88,0.00,0.87,0.00
2.98,0.00,0.87,0.00
3.09,0.00,0.87,0.00
3.20,0.00,0.87,0.00
3.33,0.00,0.87,0.00
3.43,0.00,0.87,0.00
3.55,0.00,0.87,0.00
3.66,0.00,0.87,0.00
3.76,0.00,0.87,0.00
3.87,0.00,0.87,0.00
3.98,0.00,0.87,0.00
4.08,0.00,0.87,0.00
4.19,0.00,0.87,0.00
4.29,0.00,0.87,0.00
4.40,0.00,0.87,0.00
4.51,0.00,0.87,0.00
4.61,0.00,0.87,0.00
4.72,0.00,0.87,0.00
4.83,0.00,0.87,0.00
4.93,0.00,0.87,0.00
5.03,0.00,0.87,0.00
5.13,0.00,0.87,0.00
5.23,0.00,0.87,0.00
5.34,0.00,0.87,0.00
5.45,0.00,0.87,0.00
5.56,0.00,0.87,0.00
5.66,0.00,0.87,0.00
5.77,0.00,0.87,0.00
5.88,0.00,0.87,0.00
5.99,0.00,0.87,0.00
6.09,0.00,0.87,0.00
6.20,0.00,0.87,0.00
6.30,0.00,0.87,0.00
6.42,0.00,0.87,0.00
6.53,0.00,0.87,0.00
6.63,0.00,0.87,0.00
6.74,0.00,0.87,0.00
6.84,0.00,0.87,0.00
6.95,0.00,0.87,0.00
7.06,0.00,0.87,0.00
7.16,0.00,0.87,0.00
7.27,0.00,0.87,0.00
7.38,0.00,0.87,0.00
7.49,0.00,0.87,0.00
7.59,0.00,0.87,0.00
7.70,0.00,0.87,0.00
7.80,0.00,0.87,0.00
7.90,0.00,0.87,0.00
8.01,0.00,0.87,0.00
8.12,0.00,0.87,0.00
8.22,0.00,0.87,0.00
8.33,0.00,0.87,0.00
8.43,0.00,0.87,0.00
8.53,0.00,0.87,0.00
8.63,0.00,0.87,0.00
8.73,0.00,0.87,0.00
8.84,0.00,0.87,0.00
8.95,0.00,0.87,0.00
9.05,0.00,0.87,0.00
9.16,0.00,0.87,0.00
9.26,0.00,0.87,0.00
9.36,0.00,0.87,0.00
9.46,0.00,0.87,0.02
9.57,0.00,0.87,0.05
9.67,0.01,0.87,0.11
9.78,0.02,0.87,0.22
9.89,0.03,0.87,0.35
9.99,0.06,0.87,0.50
10.09,0.09,0.87,0.68
10.20,0.12,0.87,0.89
10.30,0.17,0.87,1.18
10.41,0.21,0.87,1.46
10.51,0.24,0.87,1.77
10.61,0.27,0.87,2.11
10.71,0.31,0.87,2.48
10.82,0.34,0.87,2.87
10.93,0.38,0.87,3.39
11.03,0.42,0.87,3.85
11.14,0.47,0.87,4.35
11.24,0.54,0.87,4.98
11.35,0.61,0.87,5.53
11.46,0.69,0.87,6.24
11.56,0.74,0.87,6.86
11.67,0.77,0.87,7.51
11.77,0.78,0.87,8.19
11.88,0.79,0.87,8.90
11.98,0.80,0.87,9.80
12.09,0.80,0.87,10.57
12.20,0.84,0.87,11.54
12.31,0.90,0.87,12.37
12.41,0.99,0.87,13.21
12.51,1.12,0.87,14.09
12.62,1.28,0.87,14.99
12.72,1.45,0.88,15.93
12.82,1.67,0.87,17.09
12.93,1.86,0.87,18.08
13.04,2.07,0.87,19.10
13.14,2.32,0.87,20.37
13.25,2.52,0.87,21.46
13.36,2.70,0.87,22.57
13.47,2.87,0.87,23.95
13.57,3.00,0.87,25.13
13.67,3.10,0.87,26.35
13.77,3.20,0.87,27.60
13.88,3.28,0.87,28.88
13.98,3.33,0.87,30.45
14.08,3.33,0.87,31.78
14.19,3.28,0.87,33.12
14.29,3.17,0.87,34.47
14.39,3.00,0.87,35.82
14.50,2.71,0.87,37.43
14.61,2.40,0.87,38.77
14.71,2.02,0.87,40.08
14.82,1.49,0.87,41.64
14.93,1.00,0.87,42.93
15.03,0.45,0.87,44.23
15.14,-0.15,0.87,45.53
15.24,-0.80,0.87,46.85
15.35,-1.61,0.88,48.49
15.46,-2.28,0.88,49.90
15.57,-3.03,0.88,51.66
15.67,-3.60,0.89,53.16
15.77,-4.12,0.90,54.69
15.88,-4.58,0.90,56.23
15.99,-5.06,0.89,58.09
16.09,-5.42,0.87,59.65
16.19,-5.69,0.87,61.20
16.30,-5.86,0.90,62.72
16.41,-5.84,0.98,64.44
16.51,-5.78,1.05,65.86
16.62,-5.64,1.14,67.53
16.73,-5.47,1.23,68.90
16.84,-5.23,1.31,70.55
16.96,-5.04,1.35,71.94
17.07,-4.85,1.36,73.65
17.17,-4.76,1.31,75.13
17.27,-4.97,1.12,76.77
17.37,-5.48,1.07,78.44
