Time,Position X,Position Y,Position Z
0.35,-0.10,1.19,0.00
0.46,-0.10,0.84,0.00
0.57,-0.10,0.87,-0.01
0.68,-0.10,0.87,-0.01
1.01,-0.10,0.86,0.00
1.12,-0.10,0.87,0.00
1.23,-0.10,0.87,0.00
1.34,-0.10,0.87,0.00
1.45,-0.10,0.87,0.00
1.56,-0.10,0.87,0.00
1.67,-0.10,0.87,0.00
1.78,-0.10,0.87,0.00
1.88,-0.10,0.87,0.00
1.99,-0.10,0.87,0.00
2.10,-0.10,0.87,0.00
2.20,-0.10,0.87,0.00
2.30,-0.10,0.87,0.00
2.41,-0.10,0.87,0.00
2.52,-0.10,0.87,0.00
2.62,-0.10,0.87,0.00
2.74,-0.10,0.87,0.00
2.85,-0.10,0.87,0.00
2.95,-0.10,0.87,0.00
3.06,-0.10,0.87,0.00
3.18,-0.10,0.87,0.00
3.29,-0.10,0.87,0.00
3.39,-0.10,0.87,0.00
3.50,-0.10,0.87,0.00
3.60,-0.10,0.87,0.00
3.71,-0.10,0.87,0.00
3.82,-0.10,0.87,0.00
3.92,-0.10,0.87,0.00
4.03,-0.10,0.87,0.00
4.14,-0.10,0.87,0.00
4.25,-0.10,0.87,0.00
4.37,-0.10,0.87,0.00
4.48,-0.10,0.87,0.00
4.59,-0.10,0.87,0.00
4.70,-0.10,0.87,0.00
4.81,-0.10,0.87,0.00
4.91,-0.10,0.87,0.02
5.02,-0.10,0.87,0.06
5.12,-0.10,0.87,0.13
5.22,-0.10,0.87,0.25
5.33,-0.09,0.87,0.38
5.44,-0.07,0.87,0.58
5.55,-0.07,0.87,0.78
5.65,-0.06,0.87,1.01
5.76,-0.06,0.87,1.32
5.87,-0.05,0.87,1.62
5.97,-0.04,0.87,1.94
6.09,-0.04,0.87,2.37
6.20,-0.03,0.87,2.76
6.31,-0.02,0.87,3.27
6.41,0.01,0.87,3.72
6.52,0.04,0.87,4.20
6.63,0.09,0.87,4.82
6.73,0.16,0.87,5.36
6.84,0.27,0.87,5.93
6.95,0.43,0.87,6.63
7.06,0.63,0.87,7.37
7.17,0.80,0.87,8.02
7.28,1.00,0.87,8.83
7.40,1.12,0.87,9.54
7.50,1.22,0.87,10.27
7.61,1.29,0.87,11.19
7.71,1.30,0.87,11.99
7.81,1.27,0.87,12.81
7.92,1.22,0.87,13.67
8.03,1.17,0.87,14.74
8.14,1.14,0.87,15.83
8.25,1.17,0.87,16.76
8.36,1.23,0.87,17.71
8.48,1.39,0.87,18.87
8.58,1.58,0.87,19.85
8.69,1.83,0.86,21.04
