Time,Position X,Position Y,Position Z
0.35,0.00,1.19,0.00
0.46,0.00,0.79,0.00
0.56,0.01,0.87,-0.01
0.67,0.01,0.87,-0.01
0.77,0.00,0.86,-0.01
0.88,0.00,0.86,0.00
0.99,0.00,0.86,0.00
1.10,0.00,0.87,0.00
1.21,0.00,0.87,0.00
1.32,0.00,0.87,0.00
1.43,0.00,0.87,0.00
1.54,0.00,0.87,0.00
1.65,0.00,0.87,0.00
1.75,0.00,0.87,0.00
1.86,0.00,0.87,0.00
1.96,0.00,0.87,0.00
2.07,0.00,0.87,0.00
2.19,0.00,0.87,0.00
2.31,0.00,0.87,0.01
2.41,0.00,0.87,0.03
2.52,0.00,0.87,0.09
2.62,0.00,0.87,0.17
2.73,0.00,0.87,0.28
2.85,0.00,0.87,0.45
2.96,0.00,0.87,0.63
3.06,0.01,0.87,0.83
3.16,0.03,0.87,1.11
3.27,0.05,0.87,1.38
3.38,0.11,0.87,1.74
3.49,0.16,0.87,2.07
3.60,0.22,0.87,2.43
3.70,0.28,0.87,2.81
3.81,0.34,0.87,3.32
3.91,0.38,0.87,3.78
4.02,0.39,0.87,4.26
4.13,0.39,0.87,4.88
4.24,0.37,0.87,5.53
4.35,0.35,0.87,6.09
4.46,0.33,0.87,6.76
4.58,0.32,0.87,7.32
4.68,0.30,0.87,7.88
4.79,0.29,0.87,8.55
4.90,0.28,0.87,9.12
5.00,0.27,0.87,9.80
5.12,0.23,0.87,10.39
5.22,0.16,0.87,11.12
5.33,0.06,0.87,11.75
5.44,-0.11,0.87,12.54
5.55,-0.30,0.87,13.21
5.66,-0.58,0.87,14.04
5.76,-0.85,0.87,14.75
5.86,-1.17,0.87,15.45
5.97,-1.52,0.87,16.14
6.07,-1.91,0.87,16.82
6.18,-2.33,0.87,17.46
6.28,-2.87,0.87,18.21
6.40,-3.36,0.87,18.79
6.50,-3.87,0.87,19.35
6.61,-4.52,0.87,20.00
6.72,-5.06,0.87,20.53
6.82,-5.61,0.87,21.06
6.92,-5.50,0.98,21.27
