Time,Position X,Position Y,Position Z
0.35,-0.10,1.19,0.00
0.46,-0.10,0.84,0.00
0.57,-0.10,0.87,-0.01
0.67,-0.10,0.87,-0.01
0.78,-0.10,0.86,-0.01
0.89,-0.10,0.86,0.00
0.99,-0.10,0.86,0.00
1.10,-0.10,0.87,0.02
1.20,-0.10,0.87,0.04
1.30,-0.10,0.87,0.11
1.41,-0.09,0.87,0.20
1.52,-0.08,0.87,0.31
1.62,-0.06,0.87,0.48
1.73,-0.03,0.87,0.66
1.83,0.01,0.87,0.86
1.93,0.05,0.87,1.10
2.05,0.12,0.87,1.41
2.16,0.19,0.87,1.77
2.26,0.25,0.87,2.11
2.37,0.30,0.87,2.48
2.47,0.36,0.87,2.87
2.58,0.41,0.87,3.30
2.68,0.45,0.87,3.75
2.78,0.49,0.87,4.33
2.90,0.53,0.87,4.94
3.01,0.57,0.87,5.44
3.13,0.62,0.87,6.05
3.23,0.66,0.87,6.55
3.33,0.70,0.87,7.06
3.44,0.74,0.87,7.56
3.54,0.79,0.87,8.17
3.65,0.84,0.87,8.67
3.75,0.88,0.87,9.18
3.86,0.93,0.87,9.71
3.96,0.99,0.87,10.25
4.06,1.10,0.87,10.93
4.17,1.23,0.87,11.52
4.28,1.43,0.87,12.25
4.39,1.64,0.87,12.87
4.49,1.88,0.87,13.51
4.60,2.17,0.87,14.17
4.70,2.57,0.87,14.96
4.80,2.89,0.88,15.55
4.91,3.19,0.88,16.08
5.02,3.48,0.86,16.59
5.13,3.78,0.86,17.11
5.24,4.02,0.86,17.50
5.34,4.23,0.86,17.85
5.44,4.46,0.86,18.21
5.54,4.62,0.86,18.46
5.66,4.75,0.87,18.67
5.76,4.86,0.87,18.84
5.86,4.96,0.86,18.98
5.97,5.01,0.86,19.06
6.07,5.05,0.86,19.12
6.18,5.10,0.86,19.19
6.28,5.14,0.87,19.27
6.39,5.19,0.87,19.33
