X,Y,Z
-1.849638,0.9059531,31.636
-1.832373,0.9061488,31.88584
-1.815078,0.9063084,32.13562
-1.797907,0.9074332,32.38541
-1.780381,0.9083554,32.63507
-1.76265,0.9090559,32.88469
-1.744627,0.9095654,33.13428
-1.726315,0.9099168,33.38384
-1.707051,0.9101503,33.63331
-1.686821,0.9102854,33.88265
-1.665562,0.9103454,34.13183
-1.643188,0.9103504,34.38083
-1.619599,0.9103166,34.62959
-1.59471,0.9102557,34.87809
-1.568406,0.9101778,35.12628
-1.540571,0.9100899,35.3741
-1.511639,0.9089924,35.62165
-1.480896,0.9080916,35.86872
-1.448123,0.907389,36.11522
-1.41327,0.9068568,36.36109
-1.376125,0.9064685,36.60621
-1.336533,0.906993,36.85045
-1.294173,0.9075555,37.09375
-1.201587,0.9088215,37.57705
-1.151495,0.9088572,37.81701
-1.043604,0.9083821,38.29348
-0.9859366,0.9066198,38.52999
-0.9257965,0.9057779,38.7653
-0.7966652,0.9053116,39.23264
-0.7274686,0.9057705,39.46451
-0.6557832,0.9073237,39.69516
-0.5814762,0.907473,39.92446
-0.4250737,0.9060511,40.37916
-0.343027,0.9057765,40.60456
-0.2570282,0.9052637,40.82802
-0.07771808,0.9062442,41.27097
0.01604916,0.9075794,41.49019
0.2102656,0.906369,41.92494
0.3085273,0.9055559,42.14172
0.4073955,0.9051791,42.35831
0.506796,0.9050676,42.57465
0.7066091,0.9052454,43.00675
0.8068838,0.9054238,43.22254
0.9066455,0.9066437,43.43835
1.105851,0.9073853,43.8698
1.205056,0.9071764,44.08543
1.3034,0.9069989,44.30123
1.496593,0.9067404,44.73348
1.591203,0.906648,44.95
1.684097,0.9065725,45.16687
1.775662,0.9065112,45.384
1.955554,0.9064304,45.81911
2.04401,0.9064159,46.03711
2.131792,0.9064197,46.25533
2.305592,0.9064747,46.69248
2.391727,0.9065204,46.91137
2.477281,0.9076635,47.13047
2.562498,0.908385,47.34979
2.732688,0.9073799,47.78854
2.817431,0.9071518,48.008
2.902131,0.9070148,48.22747
3.070017,0.9068761,48.66697
3.152929,0.906845,48.88708
3.234793,0.906827,49.10754
3.315338,0.9068162,49.32841
3.394319,0.906808,49.54971
3.471464,0.9067979,49.77148
3.619608,0.9067596,50.21639
3.690304,0.9067278,50.43951
3.823895,0.9066321,50.88702
3.88661,0.9065694,51.11134
3.946648,0.9070219,51.33591
4.003683,0.9065294,51.56069
4.109056,0.9054998,52.01076
4.156744,0.9062083,52.23623
4.201193,0.9070486,52.46187
4.243547,0.9070573,52.68751
4.318691,0.9059725,53.13884
4.35095,0.9064183,53.36459
4.380367,0.9074147,53.59024
4.430563,0.9094106,54.04197
4.451635,0.9087091,54.26761
4.469518,0.908619,54.49297
4.484179,0.9076924,54.71801
4.496309,0.9062536,54.94278
4.504118,0.9048889,55.16729
4.509035,0.9056699,55.39139
4.509719,0.9067681,55.61506
4.508102,0.9074879,55.83841
4.503235,0.9070907,56.06121
4.495813,0.9062381,56.28354
4.483965,0.9053751,56.50518
4.469745,0.9056329,56.72633
4.451033,0.906277,56.94661
4.429326,0.9079751,57.16616
4.405228,0.9076512,57.38507
4.377787,0.9066803,57.60303
4.347649,0.9053618,57.8202
4.312742,0.9044152,58.0361
4.275622,0.9053679,58.25127
4.233945,0.9064818,58.46501
4.189952,0.9076805,58.67796
4.142756,0.9074876,58.88963
4.093029,0.9071081,59.10029
4.040112,0.905838,59.30962
3.98708,0.9048663,59.51896
3.93337,0.9045545,59.72816
3.879079,0.9044991,59.93719
3.824368,0.9046031,60.14605
3.769341,0.9047999,60.35474
3.714195,0.9050437,60.5633
3.659069,0.9053023,60.77171
3.604186,0.9055547,60.98003
3.549731,0.9057873,61.18826
3.495793,0.9059901,61.39642
3.442723,0.9061639,61.60457
3.390716,0.9063047,61.81271
3.339873,0.9064104,62.02084
3.290503,0.9064873,62.22901
3.24249,0.906531,62.43721
3.19568,0.9065475,62.64545
3.146709,0.9065086,62.85311
3.096359,0.9065088,63.06044
3.044623,0.9065352,63.26734
2.991477,0.9065744,63.47375
2.93692,0.906616,63.67963
2.880892,0.9066522,63.88495
2.823348,0.9066791,64.08965
2.764321,0.9066959,64.29373
2.703654,0.9067007,64.49711
2.641294,0.9066947,64.69971
2.577175,0.906678,64.90149
2.511209,0.9066513,65.10236
2.44332,0.9066156,65.30225
2.373405,0.9065717,65.50107
2.301321,0.9065195,65.69868
2.227126,0.9065246,65.89497
2.150514,0.9064342,66.08987
2.071895,0.9066237,66.28342
1.990864,0.906433,66.47555
1.907908,0.9064866,66.66637
1.822515,0.9062862,66.85575
1.735247,0.9063063,67.04384
1.645511,0.9065555,67.23044
1.553847,0.906749,67.4157
1.459756,0.9068045,67.59944
1.364255,0.9060857,67.78214
1.265925,0.9053963,67.96304
1.165712,0.9055957,68.1425
1.062822,0.9055678,68.32014
0.9582564,0.9062401,68.49641
0.8511295,0.9069349,68.67079
0.7425421,0.9066979,68.84399
0.631285,0.9062629,69.01514
0.5183772,0.9065189,69.18491
0.4062828,0.9063025,69.35527
0.2943752,0.9062321,69.52576
0.1827828,0.9062427,69.6964
0.07156964,0.9062946,69.8672
-0.03916965,0.9063637,70.03817
-0.149444,0.9064341,70.2093
-0.2590648,0.9065011,70.38068
-0.367914,0.9065596,70.55236
-0.475968,0.9066048,70.72434
-0.5830268,0.9066397,70.89671
-0.6889048,0.9066633,71.06953
-0.7935535,0.9066725,71.24281
-0.8961852,0.9076768,71.41682
-0.9973361,0.9084644,71.59139
-1.097511,0.9080381,71.76633
-1.196323,0.9076307,71.94174
-1.293862,0.9072778,72.11767
-1.390477,0.9069867,72.294
-1.48632,0.9067664,72.4707
-1.581553,0.9066132,72.64774
-1.676269,0.9065203,72.82505
-1.770479,0.9064779,73.00264
-1.864334,0.9064711,73.18044
-1.957969,0.9064906,73.35839
-2.051403,0.9065296,73.53646
-2.144331,0.906584,73.7148
-2.236541,0.9066425,73.89349
-2.327822,0.9066978,74.0726
-2.417961,0.906745,74.2522
-2.506647,0.9067824,74.4324
-2.593543,0.9078691,74.61324
-2.678542,0.9085518,74.79482
-2.761658,0.9078941,74.97699
-2.842752,0.9074358,75.15965
-2.921441,0.9071139,75.34297
-2.997609,0.906873,75.52696
-3.07102,0.9066848,75.71159
-3.141857,0.9069877,75.89672
-3.210011,0.9064685,76.08233
-3.275223,0.9067476,76.26858
-3.337668,0.9069798,76.45541
-3.398322,0.9063284,76.64251
-3.455765,0.9056987,76.83032
-3.510266,0.9075401,77.01853
-3.562519,0.908363,77.20698
-3.612978,0.9077699,77.39565
-3.660986,0.906304,77.58485
-3.705447,0.9053485,77.77464
-3.747295,0.9059543,77.96471
-3.786148,0.9062051,78.15511
-3.822785,0.9068138,78.34563
-3.856467,0.9069281,78.5364
-3.888303,0.9064274,78.72725
-3.9168,0.9057977,78.91835
-3.942918,0.9059268,79.10947
-3.965762,0.9062976,79.3007
-3.986294,0.9069034,79.49191
-4.003793,0.9071192,79.68314
-4.019403,0.9067333,79.87432
-4.031695,0.906081,80.06544
-4.041534,0.9061685,80.2564
-4.04807,0.9060186,80.4472
-4.052792,0.9056367,80.63784
-4.053905,0.905704,80.82824
-4.0518,0.9087305,81.01845
-4.046811,0.9114821,81.20824
-4.040146,0.9135289,81.39777
-4.031643,0.9140046,81.587
-4.02127,0.912828,81.77593
-4.008206,0.9105954,81.96454
-3.992257,0.9077782,82.15273
-3.972611,0.9077759,82.34022
-3.924683,0.9088607,82.71309
-3.798986,0.9098994,83.45108
-3.665283,0.9087697,84.18667
-3.632233,0.9087013,84.37059
-3.56721,0.9086935,84.73845
-3.535302,0.908723,84.92239
-3.503996,0.9087629,85.10634
-3.473385,0.908806,85.29031
-3.443843,0.9077501,85.4744
-3.414737,0.9071317,85.65827
-3.386811,0.9067506,85.84219
-3.360123,0.9065248,86.02613
-3.33494,0.9063961,86.21008
-3.31132,0.9063284,86.394
-3.28942,0.9062959,86.57787
-3.26947,0.9062817,86.76165
-3.251618,0.9062742,86.94529
-3.235582,0.906267,87.12881
-3.22113,0.9062611,87.31226
-3.204621,0.9062937,87.49549
-3.187093,0.9063452,87.6786
-3.168546,0.9064108,87.86152
-3.148844,0.9064819,88.04419
-3.127944,0.9065492,88.22657
-3.105901,0.9066051,88.40867
-3.082516,0.9066516,88.59043
-3.057741,0.9066851,88.77182
-3.03159,0.9067038,88.95281
-3.003891,0.9067121,89.13335
-2.974541,0.9067093,89.31339
-2.94346,0.9066952,89.49284
-2.910606,0.9066696,89.67168
-2.8759,0.9066349,89.84986
-2.839139,0.9065955,90.02727
-2.800343,0.9065458,90.20386
-2.759322,0.9064913,90.37952
-2.716136,0.9064273,90.55424
-2.671048,0.9064162,90.72805
-2.623719,0.9061739,90.90097
-2.574617,0.9058228,91.07301
-2.523241,0.9055257,91.24417
-2.469984,0.9059269,91.41452
-2.414638,0.906118,91.584
-2.357438,0.9065914,91.75263
-2.298223,0.9068571,91.92036
-2.237343,0.9066343,92.08723
-2.174277,0.9064758,92.25307
-2.109241,0.9067473,92.41796
-2.042167,0.9069297,92.58183
-1.973439,0.9066395,92.74476
-1.902496,0.9064454,92.90654
-1.82959,0.9067584,93.06724
-1.754635,0.906958,93.2268
-1.678052,0.9066914,93.38534
-1.599274,0.9065089,93.54259
-1.518563,0.9068731,93.69866
-1.435817,0.9070907,93.85346
-1.351767,0.9062026,94.00737
-1.265219,0.9055454,94.15968
-1.176808,0.9058843,94.3107
-1.086376,0.9060643,94.46027
-0.9942146,0.9066501,94.60856
-0.9034281,0.9069144,94.75771
-0.8134412,0.9071211,94.90729
-0.7242725,0.9072638,95.05721
-0.6359756,0.9073451,95.2075
-0.5485616,0.9073752,95.35815
-0.4621812,0.907365,95.50923
-0.3767874,0.9073277,95.6607
-0.2925279,0.9072699,95.8126
-0.2095014,0.9072002,95.96495
-0.1277957,0.9071238,96.11778
-0.0475154,0.9070437,96.27111
0.03120257,0.9069624,96.42496
0.108342,0.9068819,96.57931
0.1837123,0.9068021,96.7342
0.2571745,0.9067239,96.88964
0.3287164,0.9066468,97.0456
0.3981339,0.9065706,97.20213
0.4654872,0.9064956,97.35915
0.5308407,0.9064234,97.51667
0.5942358,0.9063578,97.67468
0.6558186,0.9059042,97.83308
0.7153026,0.9056277,97.99206
0.7729352,0.9058127,98.15151
0.8286211,0.9059151,98.31146
0.8824755,0.9061939,98.47185
0.9344043,0.9063752,98.63269
0.9845554,0.9087813,98.79394
1.032513,0.9092373,98.95569
1.079091,0.9101551,99.11767
1.123556,0.9103928,99.28008
1.166211,0.9108378,99.44281
1.207308,0.9099584,99.60587
1.246457,0.9091564,99.76923
1.283722,0.9080761,99.93281
1.318564,0.907235,100.0967
1.351222,0.906653,100.2609
1.382021,0.9058399,100.4252
1.410316,0.9053686,100.5898
1.436705,0.9056877,100.7546
1.461076,0.9058116,100.9195
1.48397,0.9059541,101.0844
1.505439,0.9060779,101.2492
1.525519,0.9061799,101.4138
1.544429,0.9062572,101.5781
1.562272,0.9063109,101.7421
1.579179,0.9063418,101.9054
1.595271,0.9063516,102.0681
1.610654,0.9063414,102.23
1.625444,0.9063129,102.391
1.639664,0.9062669,102.551
1.65356,0.9062067,102.7099
1.666782,0.9072284,102.8672
1.679835,0.9077979,103.0235
1.69302,0.9081076,103.1784
1.706353,0.9082525,103.3316
1.719696,0.9082812,103.4832
1.733098,0.9071354,103.6334
1.74652,0.9063933,103.7814
1.75967,0.9058635,103.9277
1.772587,0.9054822,104.0724
1.785244,0.9052114,104.2154
1.797419,0.9050218,104.3568
1.808984,0.904895,104.4966
1.819654,0.9048139,104.6348
1.829474,0.9047693,104.7712
1.83815,0.9047471,104.9061
1.845748,0.9047423,105.0392
1.85205,0.9047456,105.1707
1.856976,0.9047532,105.3004
1.860462,0.9047606,105.4284
1.862587,0.9048782,105.5546
1.86328,0.9045139,105.6794
1.862272,0.9045961,105.802
1.859725,0.9049449,105.9227
1.856256,0.9045564,106.0419
1.851907,0.9043903,106.159
1.846958,0.9043518,106.2743
1.841689,0.9043646,106.3879
1.836236,0.9044068,106.4997
1.830767,0.904466,106.61
1.825308,0.904533,106.7185
1.820024,0.9046035,106.8254
1.814984,0.9046731,106.9307
1.81038,0.9047397,107.0343
1.806267,0.9048003,107.1362
1.802635,0.9048523,107.2365
1.799551,0.9048964,107.3351
1.796846,0.9043606,107.4322
1.794448,0.9039732,107.5275
1.792274,0.9037063,107.6211
1.790275,0.9035352,107.7131
1.788417,0.903439,107.8033
1.786675,0.9033999,107.8919
1.785031,0.9034029,107.9788
1.78347,0.9034358,108.064
1.781979,0.9034889,108.1476
1.780547,0.903554,108.2294
1.779166,0.9036252,108.3096
1.77783,0.9036977,108.3881
1.776532,0.9037685,108.4649
1.775268,0.9038352,108.5401
1.774035,0.9038962,108.6135
1.772829,0.9039508,108.6853
1.771649,0.9039984,108.7553
1.770493,0.9040393,108.8237
1.769361,0.9040737,108.8904
1.768251,0.9041021,108.9555
1.767164,0.9041249,109.0188
1.766098,0.9041429,109.0804
1.765056,0.9041569,109.1404
1.764037,0.9041672,109.1987
1.763041,0.9041745,109.2553
1.762069,0.9041795,109.3102
1.761122,0.9041826,109.3634
1.7602,0.9041841,109.415
1.759304,0.9041845,109.4648
1.758435,0.9041841,109.513
1.757592,0.9041832,109.5595
1.756777,0.904182,109.6043
1.75599,0.9041804,109.6474
1.755232,0.9041789,109.6888
1.754503,0.9041772,109.7286
1.753803,0.9041757,109.7667
1.753133,0.9041743,109.8031
1.752492,0.904173,109.8378
1.751882,0.9041719,109.8708
1.751302,0.904171,109.9021
1.750753,0.9041703,109.9318
1.750234,0.9041697,109.9597
1.749746,0.9041692,109.986
1.749289,0.9041688,110.0106
1.748863,0.9041685,110.0336
1.748467,0.9041682,110.0548
1.748103,0.9041682,110.0743
1.747769,0.904168,110.0922
1.747466,0.904168,110.1084
1.747194,0.9041678,110.1229
1.746953,0.9041678,110.1357
1.746743,0.9041679,110.1468
1.746565,0.9041684,110.1562
1.746418,0.9041693,110.1638
1.746301,0.9041681,110.1698
1.746215,0.9041687,110.174
1.746155,0.9041687,110.1767
1.746117,0.9041566,110.1779
1.74611,0.904156,110.1777
1.746138,0.904179,110.1753
1.746192,0.9041953,110.1714
1.746279,0.9041954,110.1659
1.746396,0.904196,110.1588
1.746542,0.9041974,110.1501
1.746717,0.9042008,110.1398
1.746921,0.9042063,110.1279
1.747155,0.9042137,110.1144
1.747417,0.9042218,110.0994
1.747708,0.90423,110.0827
1.748028,0.9042379,110.0644
1.748377,0.9042451,110.0445
1.748754,0.9042513,110.023
1.74916,0.9042564,109.9999
1.749595,0.9042605,109.9752
1.750058,0.9042635,109.9489
1.75055,0.9042656,109.921
1.75107,0.9042667,109.8915
1.751616,0.9042681,109.8605
1.752187,0.9042724,109.8281
1.752782,0.9042824,109.7943
1.753398,0.9043,109.7594
1.754034,0.9043265,109.7233
1.754689,0.9043633,109.6862
1.75536,0.9044109,109.6481
1.756047,0.9044695,109.6093
1.756746,0.9045383,109.5696
1.757457,0.9046167,109.5293
1.758178,0.9047036,109.4885
1.758907,0.9047986,109.4472
1.759642,0.9048998,109.4056
1.760381,0.9050066,109.3638
1.761122,0.9051184,109.3218
1.761864,0.9052345,109.2798
1.762606,0.9053532,109.2377
1.763348,0.9054711,109.1957
1.764832,0.9056929,109.1116
1.765574,0.9057915,109.0696
1.766316,0.9058793,109.0276
1.767057,0.9059554,108.9857
1.767799,0.9060196,108.9437
1.76854,0.9060719,108.9017
1.76928,0.9061127,108.8598
1.770018,0.906145,108.818
1.770751,0.9061723,108.7765
1.771479,0.9061981,108.7353
1.7722,0.9062251,108.6944
1.772911,0.906256,108.6541
1.773611,0.9062928,108.6145
1.774298,0.9063378,108.5755
1.77497,0.9063919,108.5375
1.775625,0.9064557,108.5004
1.776261,0.9065291,108.4643
1.776876,0.9066113,108.4294
1.777468,0.9067023,108.3958
1.778036,0.9068004,108.3636
1.778577,0.9069045,108.3328
1.779091,0.907013,108.3036
1.779574,0.9071254,108.276
1.780028,0.9072397,108.2502
1.780452,0.9073529,108.226
1.780846,0.9074617,108.2035
1.781209,0.9075634,108.1827
1.781543,0.9076558,108.1636
1.781847,0.9077375,108.1461
1.782124,0.9078062,108.1302
1.782376,0.9078591,108.1157
1.782603,0.9078938,108.1025
1.782809,0.9079094,108.0906
1.783012,0.9079044,108.0789
1.783213,0.9078531,108.0673
1.783615,0.9076248,108.0441

