Time,OnCollider,CollisionCount
0.35,0,0
0.46,0,0
0.57,0,0
0.67,0,0
0.77,0,0
0.88,0,0
0.98,0,0
1.09,0,0
1.19,0,0
1.29,0,0
1.39,0,0
1.50,0,0
1.60,0,0
1.71,0,0
1.81,0,0
1.92,0,0
2.02,0,0
2.12,0,0
2.23,0,0
2.33,0,0
2.43,0,0
2.53,0,0
2.64,0,0
2.74,0,0
2.85,0,0
2.96,0,0
3.06,0,0
3.16,0,0
3.27,0,0
3.37,0,0
3.48,0,0
3.59,0,0
3.70,0,0
3.80,0,0
3.91,0,0
4.02,0,0
4.12,0,0
4.22,0,0
4.32,0,0
4.43,0,0
4.53,0,0
4.63,0,0
4.73,0,0
4.83,0,0
4.94,0,0
5.04,0,0
5.15,0,0
5.25,0,0
5.36,0,0
5.52,0,0
5.84,0,0
5.94,0,0
6.05,0,0
6.16,0,0
6.26,0,0
6.36,0,0
6.47,0,0
6.58,0,0
6.68,0,0
6.79,0,0
6.89,0,0
7.00,0,0
7.10,0,0
7.21,0,0
7.31,0,0
7.42,0,0
7.52,0,0
7.63,0,0
7.73,0,0
7.83,0,0
7.94,0,0
8.04,0,0
8.14,0,0
8.24,0,0
8.35,0,0
8.45,0,0
8.55,0,0
8.66,0,0
8.76,0,0
8.86,0,0
8.96,0,0
9.06,0,0
9.17,0,0
9.27,0,0
9.38,0,0
9.48,0,0
9.58,0,0
9.68,0,0
9.78,0,0
9.89,0,0
9.99,0,0
10.10,0,0
10.20,0,0
10.32,0,0
10.42,0,0
10.52,0,0
10.63,0,0
10.73,0,0
10.84,0,0
10.94,0,0
11.05,0,0
11.15,0,0
11.25,0,0
11.35,0,0
11.46,0,0
11.56,0,0
11.67,0,0
11.77,0,0
11.87,0,0
11.98,0,0
12.08,0,0
12.19,0,0
12.29,0,0
12.39,0,0
12.49,0,0
12.59,0,0
12.70,0,0
12.80,0,0
12.90,0,0
13.00,0,0
13.11,0,0
13.21,0,0
13.32,0,0
13.42,0,0
13.52,0,0
13.63,0,0
13.73,0,0
13.84,0,0
13.94,0,0
14.05,0,0
14.16,0,0
14.27,0,0
14.37,0,0
14.47,0,0
14.58,0,0
14.69,0,0
14.79,0,0
14.90,0,0
15.01,0,0
15.12,0,0
15.22,0,0
15.32,0,0
15.42,0,0
15.53,0,0
15.63,0,0
15.74,0,0
15.84,0,0
15.95,0,0
16.05,0,0
16.16,0,0
16.26,0,0
16.37,0,0
16.47,0,0
16.59,0,0
16.69,0,0
16.80,0,0
16.90,0,0
17.00,0,0
17.11,0,0
17.21,0,0
17.31,0,0
17.42,0,0
17.52,0,0
17.63,0,0
17.73,0,0
17.84,0,0
17.94,0,0
18.05,0,0
18.16,0,0
18.26,0,0
18.37,0,0
18.48,0,0
18.59,0,0
18.69,0,0
18.80,0,0
18.90,0,0
19.00,0,0
19.10,0,0
19.20,0,0
19.32,0,0
19.42,0,0
19.53,0,0
19.63,0,0
19.74,0,0
19.84,0,0
19.95,0,0
20.05,0,0
20.15,0,0
20.26,0,0
20.36,0,0
20.46,0,0
20.56,0,0
20.66,0,0
20.77,0,0
20.87,0,0
20.97,0,0
21.08,0,0
21.18,0,0
21.28,0,0
21.39,0,0
21.49,0,0
21.59,0,0
21.70,0,0
21.81,0,0
21.91,0,0
22.02,0,0
22.12,0,0
22.23,0,0
22.33,0,0
22.45,0,0
22.55,0,0
22.65,0,0
22.75,0,0
22.86,0,0
22.96,0,0
23.08,0,0
23.19,0,0
23.30,0,0
23.41,0,0
23.51,0,0
23.65,0,0
23.75,0,0
23.85,0,0
23.95,0,0
24.06,0,0
24.17,0,0
24.28,0,0
24.38,0,0
24.48,0,0
24.58,0,0
24.70,0,0
24.80,0,0
24.90,0,0
25.01,0,0
25.12,0,0
25.22,0,0
25.32,0,0
25.43,0,0
25.53,0,0
25.64,0,0
25.75,0,0
25.85,0,0
25.96,0,0
26.07,0,0
26.17,0,0
26.28,0,0
26.38,0,0
26.48,0,0
26.58,0,0
26.70,0,0
26.81,0,0
26.92,0,0
27.03,0,0
27.13,0,0
27.24,0,0
27.35,0,0
27.45,0,0
27.56,0,0
27.67,0,0
27.77,0,0
27.88,0,0
27.98,0,0
28.09,0,0
28.19,0,0
28.30,0,0
28.40,0,0
28.50,0,0
28.61,0,0
28.72,0,0
28.82,0,0
28.93,0,0
29.03,0,0
29.13,0,0
29.24,0,0
29.34,0,0
29.44,0,0
29.55,0,0
29.65,0,0
29.76,0,0
29.86,0,0
29.97,0,0
30.07,0,0
30.17,0,0
30.28,0,0
30.38,0,0
30.49,0,0
30.59,0,0
30.70,0,0
30.80,0,0
30.91,0,0
31.03,0,0
31.14,0,0
31.25,0,0
31.35,0,0
31.46,0,0
31.57,0,0
31.67,0,0
31.78,0,0
31.88,0,0
31.99,0,0
32.09,0,0
32.20,0,0
32.30,0,0
32.42,0,0
32.53,0,0
32.64,0,0
32.75,0,0
32.85,0,0
32.95,0,0
33.06,0,0
33.16,0,0
33.26,0,0
33.37,0,0
33.47,0,0
33.58,0,0
33.68,0,0
33.79,0,0
33.90,0,0
34.00,0,0
34.11,0,0
34.22,0,0
34.33,0,0
34.45,0,0
34.55,0,0
34.66,0,0
34.77,0,0
34.87,0,0
34.98,0,0
35.08,0,0
35.19,0,0
35.30,0,0
35.40,0,0
35.50,0,0
35.61,0,0
35.71,0,0
35.82,0,0
35.93,0,0
36.04,0,0
36.15,0,0
36.26,0,0
36.36,0,0
36.47,0,0
36.57,0,0
36.68,0,0
36.78,0,0
36.90,0,0
37.00,0,0
37.10,0,0
37.21,0,0
37.32,0,0
37.43,0,0
37.53,0,0
37.63,0,0
37.74,0,0
37.84,0,0
37.94,0,0
38.04,0,0
38.15,0,0
38.26,0,0
38.36,0,0
38.48,0,0
38.58,0,0
38.68,0,0
38.80,0,0
38.91,0,0
39.01,0,0
39.11,0,0
39.22,0,0
39.32,0,0
39.43,0,0
39.53,0,0
39.64,0,0
39.74,0,0
39.85,0,0
39.96,0,0
40.06,0,0
40.16,0,0
40.26,0,0
40.36,0,0
40.47,0,0
40.58,0,0
40.69,0,0
40.79,0,0
40.90,0,0
41.00,0,0
41.11,0,0
41.21,0,0
41.31,0,0
41.41,0,0
41.51,0,0
41.61,0,0
41.72,0,0
41.83,0,0
41.94,0,0
42.04,0,0
42.15,0,0
42.25,0,0
42.36,0,0
42.47,0,0
42.57,0,0
42.68,0,0
42.79,0,0
42.89,0,0
43.00,0,0
43.11,0,0
43.21,0,0
43.32,0,0
43.42,0,0
43.52,0,0
43.63,0,0
43.73,0,0
43.84,0,0
43.96,0,0
44.06,0,0
