Time,Position_X,Position_Y,Position_Z
0.3533334,1.259032E-07,1.188995,-0.002499569
0.4597069,-3.81202E-07,0.7927094,-0.00225525
0.5625882,0.005025513,0.8723362,-0.01302053
0.6693484,0.006996745,0.871882,-0.01274708
0.7721133,0.004593518,0.8628771,-0.006803971
0.8768016,0.002664442,0.8608422,-0.002159454
0.9804361,0.001214047,0.8627005,0.0005666353
1.086084,0.0007272854,0.8649377,0.0007561594
1.192207,0.0007726641,0.8666181,-0.0001637191
1.296655,0.001173276,0.867547,-0.001434166
1.400117,0.001866421,0.8679295,-0.002692591
1.502267,0.002444393,0.8679186,-0.003263112
1.609765,0.002880591,0.8677915,-0.003415808
1.711396,0.003149256,0.8676409,-0.00328948
1.819065,0.003252533,0.8675097,-0.003044389
1.925782,0.003202749,0.8673994,-0.002764631
2.032214,0.003072175,0.8673505,-0.002616554
2.13853,0.002911852,0.8673357,-0.002556726
2.239135,0.002760517,0.867345,-0.002563715
2.346067,0.002625342,0.8673717,-0.002616141
2.448611,0.002563037,0.8673943,-0.002664864
2.558827,0.002544318,0.8674114,-0.00270107
2.661962,0.002564357,0.8674298,-0.002263147
2.764544,0.002569988,0.8676967,0.006237037
2.866185,0.002604714,0.8685405,0.03268236
2.976619,0.002619884,0.8703139,0.08362934
3.07693,0.002721588,0.8698332,0.1612696
3.179026,0.002680971,0.8698604,0.268152
3.283925,0.002639356,0.8697964,0.4369213
3.400102,0.002368163,0.8700801,0.6483802
3.511993,0.002821446,0.8699014,0.8576361
3.620212,0.002687523,0.8700809,1.14844
3.726838,0.002267429,0.8703041,1.423595
3.842388,0.002184569,0.8702693,1.793371
3.950027,0.002138476,0.8702115,2.134473
4.057561,0.002134358,0.8699496,2.505887
4.162302,0.002086824,0.8702528,2.990395
4.262489,0.002195445,0.8696257,3.42743
4.365942,0.00188192,0.8703505,3.89354
4.468024,0.001785652,0.8712973,4.39091
4.568845,0.00173766,0.8701915,4.917439
4.67679,0.001674287,0.8695912,5.474303
4.777646,0.001674363,0.8713533,6.061875
4.881162,0.001665941,0.870817,6.804812
4.98523,0.001600414,0.8690394,7.457448
5.090933,0.001580072,0.8719098,8.140785
5.196006,0.001543626,0.8710526,8.851768
5.302097,0.001574599,0.8702582,9.745259
5.409434,0.0006287873,0.8700145,10.52321
5.5128,0.0006030789,0.8712282,11.33175
5.613441,0.001970841,0.8696458,12.16797
5.719278,0.0004071905,0.8696054,13.03653
5.826638,6.430768E-05,0.8705173,14.11582
5.931091,-0.0002911203,0.8714439,15.04733
6.036258,-0.000833613,0.871092,16.01061
6.140399,-0.001403383,0.8700928,17.20424
6.245265,-0.001558293,0.8706591,18.23452
6.350814,-0.002009031,0.870019,19.29121
6.456241,-0.002241909,0.8723673,20.37702
6.561417,-0.00238064,0.8701266,21.72104
6.665653,-0.002416902,0.8715289,22.87534
6.771198,-0.002504597,0.8718256,24.05716
6.876754,-0.002546151,0.8716012,25.26778
6.977222,-0.002655344,0.8703561,26.51269
7.081276,0.01052848,0.8698241,28.03829
7.181385,0.04437463,0.8694255,29.33841
7.285154,0.09097368,0.8688044,30.67101
7.386104,0.1458095,0.8705061,32.03585
7.492198,0.2125331,0.869877,33.42827
7.597685,0.2883617,0.8721026,34.84989
7.703881,0.3909503,0.8718701,36.59148
7.804231,0.480377,0.8703473,38.07703
7.908176,0.5929614,0.8720345,39.58638
8.013777,0.7427804,0.8701028,41.11518
8.119006,0.9317409,0.8686233,42.65796
8.223264,1.226406,0.8677751,44.51561
8.329138,1.555359,0.8843814,46.0625
8.435437,1.938192,0.8932797,47.59789
8.537293,2.155263,0.9079787,48.9017
8.639033,2.209094,0.9222924,49.97184
8.739469,2.268553,0.9050188,51.02484
8.840221,2.415405,0.8635303,52.25354
8.948977,2.629672,0.8771795,53.2398
9.05111,2.748425,0.8902422,54.13256
9.157172,2.808774,0.8946165,54.93535
9.263359,2.817135,0.9361118,55.76551
9.363981,2.828256,0.9604534,56.38911
9.464007,2.824787,0.9492058,56.98193
9.564493,2.817556,0.8971837,57.56504
9.664845,2.819435,0.867196,58.08899
9.766765,2.804989,0.8707314,58.52928
9.874931,2.756913,0.8746997,58.92305
9.980601,2.68186,0.8631969,59.3648
10.08661,2.598378,0.8683033,59.68621
10.18679,2.494943,0.8675149,59.98156
10.29498,2.373462,0.8672587,60.24744
10.39681,2.252939,0.867595,60.48686
10.49848,2.139043,0.8684472,60.7011
10.60155,2.012213,0.8691739,60.92941
10.70907,1.91038,0.869492,61.10855
10.81532,1.812703,0.869409,61.28428
10.92105,1.699041,0.8683833,61.50462
11.0276,1.597434,0.8672659,61.71564
11.13554,1.494722,0.8645635,61.95039
11.24413,1.354948,0.8647916,62.27111
11.34524,1.225314,0.8646501,62.56634
11.44646,1.074804,0.8639827,62.88496
11.54704,0.9067661,0.8667947,63.22609
11.65564,0.7131355,0.8673147,63.58843
11.75631,0.4966687,0.8637834,63.97188
11.85704,0.2530639,0.8646271,64.37286
11.96366,-0.07583924,0.8658389,64.87584
12.07233,-0.3822,0.8642107,65.30823
12.17412,-0.7251836,0.8666542,65.75327
12.28096,-1.178144,0.8646598,66.29988
12.3864,-1.597515,0.8675764,66.76288
12.493,-2.051705,0.8670603,67.22839
12.59805,-2.545144,0.8671691,67.69499
12.70023,-3.189231,0.8661007,68.24903
12.80645,-3.772887,0.8678449,68.70318
12.90821,-4.393559,0.8675344,69.1451
13.01022,-5.059739,0.870932,69.56906
13.112,-5.509072,0.9156992,69.98254
13.21257,-5.629223,0.9671004,70.38636
13.31349,-5.621667,0.9868521,70.74725
13.41494,-5.462329,0.9751873,71.05823
13.51586,-5.345371,0.9172373,71.37379
13.6191,-5.245235,0.8586985,71.66103
13.72527,-5.187077,0.8609803,71.89291
13.83421,-5.174995,0.8782494,72.01348
13.93845,-5.16801,0.8843374,72.08808
14.03918,-5.139936,0.8688097,72.14309
14.1454,-5.101229,0.8602511,72.17435
14.2472,-5.063725,0.8615313,72.20274
14.35413,-5.021012,0.8649039,72.23849
14.45861,-4.963789,0.8689572,72.28909
14.56079,-4.873413,0.8691367,72.37701
14.66873,-4.777377,0.8703365,72.47706
