Time,Position_X,Position_Y,Position_Z
0.3533334,1.259032E-07,1.188995,-0.002499569
0.4538424,-3.81202E-07,0.7927094,-0.00225525
0.5571778,0.004091408,0.8681746,-0.01156465
0.663559,0.006996745,0.871882,-0.01274708
0.7714102,0.004593518,0.8628771,-0.006803971
0.874364,0.002663917,0.8608691,-0.001099274
0.9825026,0.001167897,0.8632675,0.01846909
1.090875,0.0005948183,0.8666212,0.0547948
1.260572,0.002856464,0.8697471,0.1825448
1.392055,0.01279917,0.8699785,0.3184701
1.523762,0.03952836,0.8696705,0.5288019
1.668492,0.08047672,0.8699355,0.7950578
1.832549,0.146583,0.8699178,1.169072
1.986753,0.19545,0.8695616,1.619783
2.132125,0.2121862,0.8690751,2.075511
2.278066,0.1937552,0.8681751,2.585464
2.431286,0.1493503,0.8687907,3.229091
2.767007,0.07752369,0.8682817,4.668077
2.934453,0.05556139,0.8670893,5.347162
