Time,Position_X,Position_Y,Position_Z
0.3533334,1.259032E-07,1.188995,-0.002499569
0.4663574,1.794525E-05,0.843429,-0.002276611
0.6248801,0.006607774,0.8758395,-0.01435832
0.7329175,0.005515053,0.8654474,-0.00912334
0.8427469,0.003001134,0.8608668,-0.002924729
0.9439324,0.001588048,0.8618432,3.006309E-06
1.054152,0.0008495133,0.8640759,0.0008594319
1.154534,0.0007013609,0.8660381,0.0002853237
1.26449,0.001073801,0.8674153,-0.001181781
1.372133,0.001625496,0.8678666,-0.002335355
1.48167,0.002339019,0.8679343,-0.003185518
1.582419,0.002806189,0.8678206,-0.003412839
1.683559,0.003109212,0.8676702,-0.003329087
1.785341,0.003243979,0.8675334,-0.003096163
1.889588,0.00323605,0.8674299,-0.002848253
1.994621,0.003130528,0.8673655,-0.002664763
2.106348,0.002944258,0.8673364,-0.002562404
2.211227,0.002785922,0.8673373,-0.002533611
2.324817,0.002649346,0.8670281,-0.01359445
2.438157,0.002579649,0.8661299,-0.04263559
2.54038,0.002634615,0.8642344,-0.108784
2.644864,0.002799496,0.8641831,-0.1951183
2.751133,0.002849778,0.8640423,-0.3106972
2.852418,0.002867275,0.8642443,-0.4564462
2.957071,0.002851306,0.8644418,-0.6323536
3.06591,0.002824078,0.8644944,-0.8825597
3.18196,0.00281231,0.8645467,-1.17621
3.2849,0.002822896,0.8640547,-1.453851
3.387017,0.003111288,0.8644234,-1.760984
3.489756,0.003155086,0.8641228,-2.098789
3.593058,0.003109016,0.8646737,-2.46551
3.701576,0.0031492,0.8647368,-2.94585
3.801765,0.003145955,0.8647532,-3.378741
3.908454,0.003042552,0.864934,-3.841733
4.021416,0.003274708,0.8653383,-4.437505
4.126647,0.003357756,0.8656341,-4.966308
4.227575,0.003370484,0.8655807,-5.525187
4.335975,0.003375432,0.8636715,-6.114527
4.439669,0.00334994,0.8653297,-6.732485
4.548273,0.003301385,0.8658929,-7.514149
4.653384,0.003249527,0.8663688,-8.198116
4.756894,0.003230125,0.8655246,-8.914322
4.858499,0.003193878,0.8663235,-9.657416
4.96579,0.003144514,0.8665416,-10.58937
5.070058,0.003081334,0.8651242,-11.39924
5.174538,0.002994149,0.864921,-12.23811
5.275661,0.002904105,0.8655028,-13.10686
5.385905,0.002787003,0.8659819,-14.18899
5.489037,0.002697469,0.8654094,-15.12338
5.591249,0.00261121,0.8661892,-16.08783
5.701125,0.002514283,0.8675044,-17.28346
5.801801,0.002358561,0.8663402,-18.31544
5.902781,0.002196332,0.8675498,-19.37331
6.004921,0.001999483,0.8654373,-20.46305
6.112513,0.001784451,0.8661085,-21.58102
6.217896,0.001579971,0.8651791,-22.7287
