Time,Position_X,Position_Y,Position_Z
0.3533334,1.259032E-07,1.188995,-0.002499569
0.4598923,-3.81202E-07,0.7927094,-0.00225525
0.5615458,0.005025513,0.8723362,-0.01302053
0.6641483,0.006996745,0.871882,-0.01274708
0.7674468,0.004593518,0.8628771,-0.006803971
0.8719487,0.002664442,0.8608422,-0.002159454
1.038901,0.0009458432,0.8636208,0.000827916
1.168639,0.000729142,0.8663435,7.024407E-05
1.29391,0.001173276,0.867547,-0.001434166
1.418375,0.001866421,0.8679295,-0.002692591
1.540038,0.002637532,0.867875,-0.003367983
1.669081,0.003062387,0.8677002,-0.003362902
1.799935,0.003243979,0.8675334,-0.003096163
1.941336,0.003181241,0.8673865,-0.002727743
2.088325,0.002976796,0.8673381,-0.00257102
2.223785,0.002760517,0.867345,-0.002563715
2.362354,0.002609133,0.8673764,-0.002626315
2.50887,0.002547091,0.8674057,-0.002688624
2.654861,0.002559334,0.8674199,-0.002719693
2.804703,0.002620869,0.8674195,-0.002720091
2.937335,0.002661657,0.8677995,0.009516021
3.040771,0.00268334,0.8689911,0.04809292
3.207968,0.002821423,0.8697975,0.1543012
3.355623,0.003100581,0.8697495,0.30847
3.535137,0.003394011,0.8698643,0.5928153
3.723179,0.01879693,0.869888,1.020922
3.880068,0.06506369,0.8695521,1.442975
4.033528,0.1351308,0.8689523,1.86961
4.19868,0.2254569,0.8701968,2.429954
4.355766,0.2867816,0.8692334,3.062959
4.51761,0.2974519,0.8678667,3.767519
4.685031,0.2383176,0.8671482,4.643278
4.8707,0.1046017,0.8680927,5.602405
5.066477,-0.1501627,0.8671266,6.759745
5.246897,-0.450462,0.8657092,7.890356
5.418948,-0.6998515,0.8723367,8.973762
5.583543,-0.9011063,0.8694641,10.27297
5.747342,-0.9847711,0.8698652,11.50554
5.920321,-0.9547427,0.867637,12.97412
6.112102,-0.7785253,0.8679718,14.51758
6.29638,-0.5419446,0.8700805,16.16393
6.4636,-0.3400196,0.8682991,17.88627
6.625892,-0.2535525,0.8681732,19.48168
6.804022,-0.2589797,0.8688718,21.36766
6.970184,-0.2761598,0.8724102,23.13212
7.142243,-0.2223727,0.8677756,25.18608
7.306952,-0.1350564,0.8683877,27.09669
7.464076,-0.01281836,0.8686944,29.08312
7.620233,0.1406494,0.8727398,31.14434
7.793908,0.3482154,0.8712165,33.26564
7.981192,0.6804502,0.8693799,36.0193
