Time,X,Y,Z,SpeedMPH
0.35,0.0022,0.8588,-0.0074,0.35
0.45,0.0034,0.8693,-0.0096,0.18
0.56,0.0039,0.8735,-0.0020,0.27
0.66,0.0041,0.8725,0.0243,0.79
0.76,0.0027,0.8695,0.0931,1.60
0.86,0.0016,0.8700,0.1814,2.25
0.97,0.0031,0.8698,0.3001,2.92
1.07,0.0098,0.8701,0.4479,3.57
1.17,0.0261,0.8697,0.6245,4.23
1.27,0.0525,0.8697,0.8282,4.87
1.37,0.0897,0.8696,1.0609,5.53
1.47,0.1365,0.8697,1.3212,6.18
1.57,0.1959,0.8695,1.6097,6.85
1.68,0.2672,0.8699,1.9251,7.49
1.79,0.3724,0.8697,2.3389,8.29
1.90,0.4786,0.8694,2.7122,8.95
2.00,0.6022,0.8695,3.1101,9.60
2.10,0.7783,0.8691,3.6190,10.37
2.21,0.9510,0.8687,4.0677,11.03
2.31,1.1484,0.8694,4.5366,11.64
2.42,1.3777,0.8677,5.0249,12.36
2.52,1.6913,0.8677,5.6327,13.12
2.62,1.9684,0.8657,6.1686,13.72
2.73,2.2409,0.8713,6.7390,14.34
2.83,2.5042,0.8718,7.3322,14.78
2.93,2.7405,0.8690,7.9587,15.31
3.04,2.9529,0.8673,8.6188,15.73
3.14,3.1300,0.8692,9.3199,16.54
3.24,3.3062,0.8695,10.2087,17.21
3.34,3.4169,0.8697,10.9858,17.82
3.45,3.4943,0.8676,11.7926,18.39
3.55,3.5302,0.8684,12.6294,19.04
3.66,3.5236,0.8688,13.4915,19.51
3.76,3.4719,0.8662,14.3736,19.91
3.86,3.3640,0.8714,15.2714,20.30
3.96,3.1783,0.8666,16.3515,20.58
4.07,2.9844,0.8677,17.2503,20.60
4.17,2.7663,0.8667,18.1448,20.60
4.27,2.5375,0.8676,19.0364,20.59
4.37,2.2990,0.8681,19.9252,20.59
4.47,2.0437,0.8672,20.8081,20.55
4.57,1.7608,0.8676,21.6800,20.47
4.67,1.4424,0.8670,22.5335,20.36
4.78,1.0994,0.8665,23.3760,20.36
4.88,0.7458,0.8667,24.2143,20.36
