Time,X,Y,Z,SpeedMPH
0.35,0.0022,0.8588,-0.0074,0.35
0.46,0.0034,0.8693,-0.0089,0.18
0.56,0.0039,0.8733,-0.0079,0.08
0.66,0.0036,0.8723,-0.0054,0.10
0.76,0.0029,0.8699,-0.0034,0.10
0.87,0.0022,0.8677,-0.0019,0.07
0.97,0.0015,0.8666,-0.0013,0.03
1.07,0.0009,0.8663,-0.0012,0.02
1.18,0.0006,0.8667,0.0013,0.09
1.28,0.0005,0.8677,0.0158,0.35
1.38,0.0005,0.8690,0.0506,0.87
1.49,0.0002,0.8698,0.1103,1.55
1.59,0.0015,0.8699,0.1981,2.23
1.69,0.0012,0.8700,0.3158,2.90
1.80,0.0019,0.8700,0.4634,3.57
1.90,0.0021,0.8701,0.6801,4.38
2.01,0.0019,0.8698,0.8938,5.04
2.11,0.0023,0.8700,1.1371,5.72
2.21,0.0019,0.8697,1.4084,6.28
2.31,0.0021,0.8699,1.6958,6.49
