Time,X,Y,Z
0.35,0.0022,0.8588,-0.0074
0.45,0.0034,0.8693,-0.0096
0.56,0.0039,0.8733,-0.0064
0.66,0.0037,0.8734,0.0127
0.76,0.0039,0.8697,0.0703
0.87,0.0029,0.8698,0.1482
0.97,0.0084,0.8696,0.2559
1.07,0.0210,0.8698,0.3918
1.17,0.0433,0.8696,0.5565
1.27,0.0728,0.8699,0.7497
1.37,0.1109,0.8702,0.9722
1.47,0.1517,0.8700,1.2243
1.57,0.1852,0.8699,1.5071
1.68,0.2071,0.8696,1.8190
1.78,0.2130,0.8689,2.1601
1.88,0.2016,0.8686,2.5273
1.98,0.1638,0.8683,3.0046
2.09,0.1128,0.8680,3.4331
2.19,0.0796,0.8675,3.8957
2.29,0.0557,0.8695,4.3786
2.39,0.0620,0.8690,4.8872
2.50,0.0976,0.8677,5.4217
2.60,0.1647,0.8672,5.9798
2.70,0.2655,0.8676,6.5631
2.80,0.4265,0.8677,7.2934
2.91,0.5701,0.8671,7.9355
3.01,0.7017,0.8729,8.6095
3.11,0.8200,0.8732,9.3020
3.22,0.9062,0.8663,10.0195
3.32,0.9726,0.8666,10.7739
3.42,1.0531,0.8645,11.5666
3.52,1.1680,0.8739,12.5428
3.62,1.3009,0.8672,13.3680
3.72,1.4734,0.8673,14.2112
3.83,1.6793,0.8652,15.0782
3.93,1.8871,0.8712,15.9851
4.03,2.0815,0.8749,16.9126
4.13,2.2426,0.8663,17.8608
4.24,2.3706,0.8688,18.8394
4.34,2.4589,0.8686,20.0399
4.44,2.4750,0.8693,21.0567
4.54,2.4364,0.8674,22.0764
4.65,2.3397,0.8710,23.0936
4.75,2.1901,0.8684,24.0971
4.85,1.9829,0.8683,25.0884
4.95,1.7220,0.8720,26.0551
5.05,1.4121,0.8678,27.0039
5.15,1.0480,0.8676,27.9432
5.25,0.6369,0.8697,28.8866
5.35,0.1857,0.8678,29.8435
5.45,-0.2951,0.8691,30.8212
5.56,-0.7894,0.8710,31.8294
5.66,-1.3732,0.8718,33.0687
5.77,-1.8233,0.8690,34.1306
5.87,-2.2390,0.8705,35.2142
5.97,-2.6029,0.8680,36.3123
6.08,-2.9102,0.8698,37.4221
6.18,-3.1569,0.8706,38.5365
6.28,-3.3715,0.8719,39.8809
6.38,-3.4828,0.8756,41.0081
6.49,-3.5335,0.8742,42.1396
6.59,-3.5220,0.8716,43.2759
6.69,-3.4444,0.8693,44.4144
6.79,-3.2974,0.8736,45.5591
6.90,-3.1072,0.8680,46.7141
7.00,-2.8489,0.8728,47.8780
7.10,-2.5421,0.8714,49.0500
7.20,-2.0961,0.8757,50.4642
7.31,-1.6752,0.8693,51.6535
7.41,-1.2001,0.8691,52.8595
7.51,-0.6894,0.8716,54.1028
7.61,-0.1460,0.8713,55.3907
7.72,0.4053,0.8721,56.7052
7.82,0.9362,0.8700,58.0692
7.92,1.5243,0.8690,59.7396
8.03,1.9571,0.8686,61.1473
8.13,2.3323,0.8698,62.5660
8.23,2.6556,0.8715,63.9944
8.34,2.9390,0.8681,65.4308
8.44,3.1705,0.8703,66.8726
8.54,3.3824,0.8687,68.6044
8.65,3.5134,0.8660,70.0488
8.75,3.6094,0.8665,71.4937
8.85,3.6763,0.8679,72.9386
8.96,3.7230,0.8658,74.3833
9.06,3.7497,0.8683,75.8276
9.16,3.7690,0.8646,77.5603
9.27,3.7736,0.8655,79.0037
9.37,3.7728,0.8669,80.4467
9.47,3.7673,0.8680,81.8894
9.57,3.7581,0.8684,83.3318
9.68,3.7464,0.8684,84.7738
9.78,3.7328,0.8683,86.2155
9.88,3.7150,0.8681,87.9450
9.99,3.6996,0.8681,89.3859
10.09,3.6839,0.8681,90.8265
10.19,3.6683,0.8681,92.2668
10.29,3.6528,0.8681,93.7068
10.39,3.6375,0.8681,95.1464
10.49,3.6224,0.8681,96.5857
10.59,3.6075,0.8681,98.0247
10.69,3.5928,0.8681,99.4634
10.80,3.5782,0.8681,100.9018
10.90,3.5607,0.8681,102.6274
11.00,3.5463,0.8681,104.0649
11.11,3.5319,0.8680,105.4986
11.21,3.5177,0.8674,106.9192
11.31,3.5037,0.8662,108.3180
11.41,3.4898,0.8600,109.6943
11.51,3.4650,0.8635,111.0373
11.61,3.4188,0.8636,112.3559
11.72,3.3714,0.8623,113.6447
11.82,3.3199,0.8632,114.9200
11.92,3.2614,0.8640,116.1919
