Time,X,Y,Z
0.35,0.0022,0.8588,-0.0074
0.47,0.0036,0.8706,-0.0089
0.57,0.0039,0.8735,-0.0076
0.68,0.0036,0.8723,-0.0054
0.78,0.0029,0.8699,-0.0034
0.88,0.0022,0.8677,-0.0019
0.98,0.0014,0.8665,-0.0012
1.08,0.0009,0.8663,-0.0013
1.18,0.0006,0.8667,-0.0016
1.29,0.0004,0.8671,0.0002
1.39,0.0005,0.8679,0.0128
1.49,0.0006,0.8690,0.0461
1.59,0.0006,0.8696,0.1043
1.69,0.0011,0.8700,0.1903
1.80,0.0012,0.8698,0.3067
1.90,0.0013,0.8697,0.4530
2.00,0.0013,0.8701,0.6287
2.10,0.0014,0.8701,0.8796
2.21,0.0032,0.8700,1.1216
2.31,0.0143,0.8699,1.3926
2.41,0.0350,0.8699,1.6919
2.52,0.0589,0.8701,2.0224
2.62,0.0857,0.8702,2.4574
2.72,0.1039,0.8703,2.8532
2.82,0.1208,0.8701,3.2792
2.93,0.1383,0.8705,3.7349
3.03,0.1565,0.8703,4.2205
3.13,0.1756,0.8713,4.7357
3.24,0.1992,0.8712,5.2821
3.34,0.2502,0.8690,5.9719
3.44,0.3198,0.8688,6.5722
3.55,0.4167,0.8683,7.1986
3.65,0.5248,0.8674,7.8545
3.75,0.6439,0.8699,8.5427
3.86,0.7688,0.8718,9.2585
3.96,0.8976,0.8705,10.0019
4.06,1.0292,0.8704,10.7758
4.16,1.1553,0.8719,11.5794
4.26,1.2934,0.8703,12.5836
4.37,1.4135,0.8710,13.4557
4.47,1.5328,0.8717,14.3564
4.57,1.6556,0.8698,15.2857
4.67,1.7834,0.8713,16.2464
4.77,1.9134,0.8712,17.2354
4.87,2.0432,0.8693,18.2543
4.97,2.1602,0.8699,19.3022
5.07,2.2754,0.8697,20.3814
5.18,2.3913,0.8716,21.4926
5.28,2.5037,0.8707,22.6313
5.38,2.6410,0.8693,24.0376
5.48,2.7555,0.8724,25.2444
5.58,2.8575,0.8697,26.4748
5.69,2.9229,0.8699,27.7305
5.79,2.9534,0.8701,29.0000
5.90,2.9388,0.8676,30.2719
6.00,2.8551,0.8687,31.7977
6.10,2.7483,0.8679,33.0663
6.21,2.6148,0.8676,34.3324
6.31,2.4556,0.8676,35.5941
6.41,2.2739,0.8662,36.8517
6.51,2.0732,0.8681,38.1055
6.61,1.8622,0.8649,39.3572
6.71,1.6398,0.8655,40.6063
6.82,1.4119,0.8669,41.8541
6.92,1.1324,0.8681,43.3500
7.02,0.8957,0.8684,44.5955
7.13,0.6566,0.8684,45.8403
7.23,0.4160,0.8683,47.0845
7.33,0.1745,0.8681,48.3283
7.43,-0.0673,0.8681,49.5716
7.54,-0.3201,0.8681,50.8123
7.64,-0.5907,0.8680,52.0474
7.74,-0.8582,0.8678,53.2830
7.84,-1.1310,0.8678,54.5173
7.94,-1.4630,0.8683,55.9970
8.04,-1.7210,0.8682,57.2325
8.15,-1.9533,0.8715,58.4697
8.25,-2.1690,0.8640,59.7041
8.35,-2.3508,0.8680,60.9434
8.45,-2.5188,0.8672,62.1840
8.55,-2.6736,0.8652,63.4261
8.65,-2.8127,0.8669,64.6695
8.75,-2.9421,0.8665,65.9135
8.86,-3.0467,0.8682,67.1581
8.96,-3.1253,0.8668,68.4023
9.06,-3.2015,0.8651,69.8957
9.16,-3.2563,0.8660,71.1404
9.26,-3.3035,0.8673,72.3851
9.36,-3.3396,0.8681,73.6296
9.46,-3.3544,0.8673,74.8730
9.57,-3.3324,0.8679,76.1111
9.67,-3.2620,0.8677,77.3386
9.77,-3.1394,0.8696,78.5520
9.87,-2.9713,0.8678,79.7558
9.98,-2.7689,0.8677,80.9529
10.08,-2.5367,0.8677,82.1434
10.18,-2.2822,0.8675,83.3286
10.28,-1.9518,0.8651,84.7436
10.38,-1.6842,0.8641,85.9228
10.48,-1.4418,0.8656,87.1038
10.59,-1.2010,0.8672,88.2846
10.69,-0.9735,0.8665,89.4665
10.79,-0.7567,0.8670,90.6502
10.89,-0.5504,0.8677,91.8354
11.00,-0.3530,0.8681,93.0218
11.10,-0.1383,0.8676,94.4475
11.20,0.0218,0.8640,95.6372
11.30,0.1706,0.8637,96.8276
