ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,SpeedMPH
99,Day,14,Main,Expected,Amber,Left,40.27,0.00,0.0000,1.0882,-0.0025,0.88
99,Day,14,Main,Expected,Amber,Left,40.38,0.10,0.0000,0.9901,-0.0025,3.07
99,Day,14,Main,Expected,Amber,Left,40.48,0.21,0.0000,0.8217,-0.0020,3.32
99,Day,14,Main,Expected,Amber,Left,40.58,0.31,0.0018,0.8559,-0.0067,0.39
99,Day,14,Main,Expected,Amber,Left,40.68,0.41,0.0034,0.8693,-0.0099,0.19
99,Day,14,Main,Expected,Amber,Left,40.79,0.51,0.0042,0.8733,-0.0067,0.18
99,Day,14,Main,Expected,Amber,Left,40.89,0.62,0.0056,0.8733,0.0106,0.56
99,Day,14,Main,Expected,Amber,Left,40.99,0.72,0.0100,0.8710,0.0539,1.15
99,Day,14,Main,Expected,Amber,Left,41.09,0.82,0.0188,0.8695,0.1233,1.83
99,Day,14,Main,Expected,Amber,Left,41.19,0.92,0.0318,0.8699,0.2216,2.49
99,Day,14,Main,Expected,Amber,Left,41.30,1.02,0.0514,0.8699,0.3492,3.16
99,Day,14,Main,Expected,Amber,Left,41.40,1.12,0.0759,0.8699,0.5056,3.80
99,Day,14,Main,Expected,Amber,Left,41.50,1.23,0.1106,0.8701,0.7333,4.63
99,Day,14,Main,Expected,Amber,Left,41.61,1.33,0.1393,0.8703,0.9564,5.30
99,Day,14,Main,Expected,Amber,Left,41.71,1.44,0.1640,0.8699,1.2102,5.97
99,Day,14,Main,Expected,Amber,Left,41.82,1.55,0.1854,0.8701,1.4941,6.64
99,Day,14,Main,Expected,Amber,Left,41.92,1.65,0.2113,0.8699,1.8744,7.44
99,Day,14,Main,Expected,Amber,Left,42.02,1.75,0.2339,0.8701,2.2242,8.11
99,Day,14,Main,Expected,Amber,Left,42.12,1.85,0.2589,0.8700,2.6040,8.78
99,Day,14,Main,Expected,Amber,Left,42.23,1.96,0.2844,0.8703,3.0137,9.46
99,Day,14,Main,Expected,Amber,Left,42.33,2.06,0.3124,0.8700,3.4532,10.12
99,Day,14,Main,Expected,Amber,Left,42.43,2.16,0.3425,0.8698,3.9225,10.78
99,Day,14,Main,Expected,Amber,Left,42.54,2.27,0.3740,0.8719,4.4222,11.45
99,Day,14,Main,Expected,Amber,Left,42.64,2.37,0.4146,0.8708,5.0608,12.28
99,Day,14,Main,Expected,Amber,Left,42.74,2.47,0.4506,0.8702,5.6255,12.94
99,Day,14,Main,Expected,Amber,Left,42.85,2.58,0.4886,0.8705,6.2203,13.54
99,Day,14,Main,Expected,Amber,Left,42.95,2.68,0.5286,0.8710,6.8459,14.29
99,Day,14,Main,Expected,Amber,Left,43.06,2.78,0.5705,0.8704,7.5001,14.95
99,Day,14,Main,Expected,Amber,Left,43.16,2.89,0.6142,0.8700,8.1848,15.54
99,Day,14,Main,Expected,Amber,Left,43.26,2.99,0.6594,0.8705,8.8997,16.28
99,Day,14,Main,Expected,Amber,Left,43.36,3.09,0.7196,0.8707,9.7958,17.08
99,Day,14,Main,Expected,Amber,Left,43.46,3.19,0.7889,0.8718,10.5705,17.69
99,Day,14,Main,Expected,Amber,Left,43.57,3.29,0.8910,0.8678,11.3669,18.30
99,Day,14,Main,Expected,Amber,Left,43.67,3.40,1.0262,0.8675,12.1795,18.64
99,Day,14,Main,Expected,Amber,Left,43.77,3.50,1.2024,0.8671,13.0128,19.31
99,Day,14,Main,Expected,Amber,Left,43.87,3.60,1.4128,0.8673,13.8720,20.07
99,Day,14,Main,Expected,Amber,Left,43.97,3.70,1.6470,0.8698,14.7599,20.75
99,Day,14,Main,Expected,Amber,Left,44.07,3.80,1.8934,0.8696,15.6748,21.42
99,Day,14,Main,Expected,Amber,Left,44.17,3.90,2.1557,0.8712,16.6153,22.03
99,Day,14,Main,Expected,Amber,Left,44.28,4.01,2.4837,0.8701,17.7665,22.52
