Time,X,Y,Z,SpeedMPH
0.35,0.0022,0.8588,-0.0074,0.35
0.46,0.0034,0.8693,-0.0089,0.18
0.56,0.0039,0.8733,-0.0079,0.08
0.67,0.0036,0.8723,-0.0054,0.10
0.77,0.0029,0.8699,-0.0034,0.10
0.87,0.0022,0.8677,-0.0019,0.07
0.98,0.0015,0.8666,-0.0013,0.03
1.08,0.0009,0.8663,-0.0013,0.02
1.19,0.0006,0.8667,-0.0016,0.02
1.30,0.0005,0.8671,-0.0020,0.02
1.40,0.0006,0.8674,-0.0024,0.01
1.51,0.0007,0.8676,-0.0026,0.01
1.61,0.0009,0.8676,-0.0027,0.01
1.72,0.0011,0.8675,-0.0026,0.01
1.83,0.0013,0.8675,-0.0025,0.01
1.94,0.0013,0.8674,-0.0024,0.00
2.04,0.0013,0.8674,-0.0024,0.00
2.15,0.0013,0.8674,-0.0024,0.00
2.25,0.0012,0.8674,-0.0024,0.00
2.35,0.0012,0.8674,-0.0024,0.00
2.46,0.0012,0.8674,-0.0024,0.00
2.57,0.0011,0.8674,-0.0024,0.00
2.68,0.0011,0.8674,-0.0024,0.00
2.78,0.0011,0.8674,-0.0024,0.00
2.89,0.0011,0.8674,-0.0024,0.00
2.99,0.0011,0.8674,-0.0024,0.00
3.10,0.0011,0.8674,-0.0024,0.00
3.20,0.0012,0.8674,-0.0024,0.00
3.31,0.0012,0.8674,-0.0024,0.00
3.42,0.0012,0.8674,-0.0024,0.00
3.53,0.0012,0.8674,-0.0024,0.00
3.63,0.0012,0.8674,-0.0024,0.00
3.74,0.0012,0.8674,-0.0024,0.00
3.84,0.0012,0.8674,-0.0024,0.00
3.94,0.0011,0.8674,-0.0024,0.00
4.05,0.0011,0.8674,-0.0024,0.00
4.15,0.0011,0.8674,-0.0024,0.00
4.26,0.0011,0.8674,-0.0024,0.00
4.36,0.0011,0.8674,-0.0024,0.00
4.47,0.0011,0.8674,-0.0024,0.00
4.57,0.0012,0.8674,-0.0024,0.00
4.67,0.0012,0.8674,-0.0024,0.00
4.78,0.0012,0.8674,-0.0024,0.00
