Time,X,Y,Z,SpeedMPH
0.35,0.0022,0.8588,-0.0074,0.35
0.45,0.0034,0.8693,-0.0089,0.18
0.55,0.0039,0.8733,-0.0085,0.05
0.66,0.0037,0.8728,-0.0036,0.21
0.76,0.0034,0.8709,0.0138,0.53
0.86,0.0056,0.8698,0.0654,1.18
0.97,0.0106,0.8697,0.1356,1.83
1.07,0.0221,0.8699,0.2343,2.49
1.17,0.0404,0.8697,0.3623,3.15
1.27,0.0650,0.8699,0.5187,3.82
1.37,0.0971,0.8700,0.7045,4.48
1.48,0.1369,0.8700,0.9186,5.13
1.58,0.1980,0.8701,1.2128,5.93
1.68,0.2612,0.8699,1.4887,6.60
1.78,0.3360,0.8701,1.7914,7.24
1.89,0.4261,0.8698,2.1209,7.91
1.99,0.5313,0.8698,2.4760,8.55
2.09,0.6554,0.8696,2.8564,9.22
2.20,0.7983,0.8693,3.2603,9.86
2.30,0.9998,0.8691,3.7749,10.63
2.40,1.1955,0.8687,4.2270,11.29
2.50,1.4180,0.8686,4.6978,11.92
2.60,1.6736,0.8674,5.1862,12.62
2.71,1.9570,0.8684,5.6896,13.20
2.81,2.2783,0.8683,6.2049,13.87
2.92,2.6273,0.8670,6.7334,14.51
3.02,3.0460,0.8704,7.4232,15.20
3.13,3.3969,0.8727,8.0153,15.66
3.24,3.7215,0.8682,8.6446,16.15
3.34,4.0243,0.8680,9.3103,16.58
3.44,4.3479,0.8685,10.1620,17.33
3.55,4.5846,0.8714,10.9146,17.90
3.65,4.7983,0.8656,11.6951,18.23
3.76,4.9670,0.8718,12.5185,18.99
3.87,5.1225,0.8713,13.5447,19.73
3.97,5.2087,0.8660,14.4289,20.17
4.07,5.2427,0.8680,15.3434,20.58
4.17,5.2232,0.8708,16.2771,21.07
4.28,5.1534,0.8686,17.2229,21.44
4.38,5.0222,0.8685,18.1769,21.69
4.48,4.8246,0.8732,19.1326,21.99
4.58,4.5118,0.8752,20.2734,22.16
4.68,4.1878,0.8725,21.2111,22.27
4.78,3.8094,0.8648,22.1363,22.60
4.88,3.3779,0.8726,23.0820,23.53
4.99,2.9172,0.8703,24.0519,24.30
5.09,2.4425,0.8744,25.0773,25.66
5.19,1.9840,0.8876,26.1489,26.45
5.30,1.5565,0.8850,27.2619,26.98
5.40,1.1722,0.8810,28.4033,27.07
5.50,0.8448,0.8774,29.5671,27.13
5.60,0.5785,0.8735,30.7490,27.15
5.70,0.3756,0.8680,31.9427,27.11
5.80,0.2381,0.8787,33.3862,27.08
5.91,0.1948,0.8877,34.5881,26.96
6.01,0.2015,0.8877,35.7882,26.97
6.11,0.2432,0.8689,36.9958,27.06
6.21,0.3616,0.8680,38.2060,27.45
6.32,0.5317,0.8677,39.4242,27.58
6.42,0.7626,0.8682,40.6365,27.75
6.52,1.0497,0.8689,41.8433,27.83
6.62,1.4726,0.8699,43.2731,27.87
6.72,1.8850,0.8661,44.4469,27.86
6.83,2.3686,0.8772,45.5911,27.84
6.93,2.8931,0.8691,46.7129,27.70
7.03,3.4742,0.8691,47.7954,27.44
7.13,4.0990,0.8674,48.8349,27.01
7.24,4.7656,0.8740,49.8161,26.45
7.34,5.5983,0.8723,50.9314,25.71
7.44,5.7083,0.9794,51.7246,16.76
7.55,5.3481,1.1261,52.3433,16.12
7.65,4.9983,1.1843,52.9785,15.86
7.75,4.7130,1.1614,53.6524,15.86
7.85,4.4945,1.0543,54.3542,16.18
7.96,4.3139,0.9277,55.0098,15.59
