Time,X,Y,Z,SpeedMPH
0.35,0.0022,0.8588,-0.0074,0.35
0.47,0.0036,0.8706,-0.0089,0.15
0.58,0.0039,0.8735,-0.0076,0.08
0.69,0.0035,0.8719,-0.0050,0.11
0.79,0.0028,0.8694,-0.0030,0.09
0.89,0.0021,0.8674,-0.0018,0.06
1.00,0.0014,0.8665,-0.0012,0.03
1.10,0.0008,0.8664,-0.0013,0.02
1.21,0.0005,0.8667,-0.0017,0.02
1.31,0.0005,0.8672,-0.0021,0.02
1.41,0.0006,0.8674,-0.0024,0.01
1.52,0.0007,0.8676,-0.0026,0.01
1.62,0.0009,0.8676,-0.0027,0.01
1.72,0.0011,0.8675,-0.0026,0.01
1.82,0.0013,0.8675,-0.0025,0.01
1.93,0.0013,0.8674,-0.0024,0.00
2.03,0.0013,0.8674,-0.0024,0.00
2.13,0.0013,0.8674,-0.0024,0.00
2.24,0.0013,0.8674,-0.0024,0.00
2.34,0.0012,0.8674,-0.0024,0.00
2.44,0.0012,0.8674,-0.0024,0.00
