Time,X,Y,Z,SpeedMPH
0.35,0.0022,0.8588,-0.0074,0.35
0.46,0.0034,0.8692,-0.0103,0.18
0.56,0.0039,0.8734,-0.0032,0.26
0.66,0.0042,0.8722,0.0235,0.79
0.76,0.0026,0.8697,0.0919,1.59
0.86,0.0016,0.8699,0.1798,2.24
0.97,0.0020,0.8698,0.2985,2.93
1.07,0.0058,0.8698,0.4463,3.58
1.17,0.0181,0.8698,0.6234,4.23
1.28,0.0408,0.8697,0.8276,4.87
1.38,0.0754,0.8694,1.0602,5.53
1.48,0.1198,0.8696,1.3206,6.18
1.58,0.1891,0.8698,1.6701,6.96
1.69,0.2619,0.8697,1.9914,7.63
1.79,0.3484,0.8697,2.3388,8.27
1.89,0.4523,0.8695,2.7126,8.94
1.99,0.5733,0.8694,3.1109,9.58
2.09,0.7158,0.8691,3.5334,10.25
2.19,0.8795,0.8691,3.9783,10.88
2.30,1.1103,0.8694,4.5398,11.64
2.42,1.3238,0.8659,5.0357,12.35
2.52,1.5683,0.8719,5.6749,13.02
2.62,1.7549,0.8675,6.2372,13.58
2.73,1.9203,0.8692,6.8318,14.07
2.83,2.0594,0.8674,7.4597,14.63
2.93,2.1645,0.8682,8.1233,15.34
3.04,2.2412,0.8681,8.8186,15.95
3.15,2.2934,0.8672,9.6925,16.61
3.25,2.2986,0.8678,10.4522,17.22
3.35,2.2645,0.8689,11.2379,17.89
3.45,2.1914,0.8684,12.0457,18.40
3.55,2.0737,0.8679,12.8740,18.88
3.66,1.9053,0.8688,13.7182,19.49
3.76,1.6369,0.8687,14.7461,20.13
3.86,1.3525,0.8692,15.6085,20.54
3.97,1.0124,0.8694,16.4700,20.94
4.07,0.6156,0.8693,17.3248,21.31
4.17,0.1632,0.8676,18.1668,21.48
4.27,-0.3459,0.8684,18.9944,21.87
4.38,-0.8956,0.8719,19.8549,23.24
4.48,-1.4808,0.8700,20.7421,23.96
4.58,-2.0575,0.8724,21.6664,24.71
4.68,-2.6172,0.8672,22.6219,24.93
4.78,-3.2389,0.8770,23.8286,25.54
4.88,-3.7128,0.8804,24.8700,25.69
4.99,-4.1397,0.8763,25.9371,25.81
5.09,-4.5095,0.8722,27.0314,25.95
5.19,-4.8116,0.8726,28.1506,26.00
5.30,-5.0525,0.8723,29.2868,26.02
5.40,-5.2298,0.8704,30.4342,26.01
5.50,-5.3419,0.8684,31.5883,25.99
5.60,-5.3845,0.8704,32.9759,25.89
5.70,-5.3542,0.8677,34.1279,25.78
5.81,-5.2573,0.8682,35.2716,25.70
5.91,-5.1008,0.8670,36.4031,25.54
6.01,-4.8804,0.8700,37.5175,25.41
6.12,-4.6072,0.8671,38.6141,25.32
6.22,-4.2699,0.8681,39.6927,25.40
6.32,-3.7925,0.8677,40.9692,25.55
6.42,-3.3358,0.8674,42.0181,25.70
6.52,-2.8252,0.8679,43.0466,25.78
6.63,-2.2603,0.8681,44.0482,25.79
6.73,-1.6422,0.8690,45.0182,25.80
6.84,-0.9699,0.8744,45.9495,25.77
6.94,-0.1097,0.8671,47.0276,25.70
7.04,0.6569,0.8659,47.8727,25.48
7.15,1.4620,0.8705,48.6606,25.15
7.25,2.2872,0.8659,49.4027,24.64
7.35,3.1368,0.8759,50.0691,24.10
7.46,3.9951,0.8774,50.6846,23.49
7.56,4.8565,0.8699,51.2526,22.84
7.66,5.5233,0.9174,51.7121,9.11
