Time,X,Y,Z,SpeedMPH
0.35,0.0022,0.8588,-0.0074,0.35
0.45,0.0034,0.8693,-0.0089,0.18
0.55,0.0039,0.8733,-0.0083,0.08
0.66,0.0037,0.8730,0.0019,0.35
0.76,0.0030,0.8713,0.0414,0.93
0.86,0.0023,0.8696,0.1036,1.63
0.96,0.0000,0.8699,0.1942,2.29
1.07,0.0007,0.8699,0.3149,2.97
1.17,0.0043,0.8699,0.4649,3.62
1.27,0.0168,0.8696,0.6444,4.29
1.37,0.0395,0.8696,0.8507,4.92
1.48,0.0744,0.8696,1.0855,5.58
1.58,0.1192,0.8696,1.3480,6.22
1.68,0.1768,0.8695,1.6387,6.89
1.78,0.2628,0.8697,2.0234,7.68
1.88,0.3501,0.8695,2.3728,8.33
1.99,0.4549,0.8696,2.7486,8.99
2.09,0.5771,0.8695,3.1488,9.63
2.19,0.7208,0.8692,3.5732,10.29
2.30,0.8859,0.8692,4.0199,10.93
2.40,1.1184,0.8692,4.5834,11.68
2.50,1.3463,0.8675,5.0744,12.40
2.61,1.5819,0.8651,5.5942,12.99
2.71,1.8108,0.8720,6.1464,13.57
2.82,2.0253,0.8673,6.7228,14.02
2.92,2.2487,0.8679,7.4614,14.73
3.03,2.4041,0.8663,8.1137,15.19
3.14,2.5275,0.8671,8.8035,15.90
3.24,2.6219,0.8688,9.5264,16.56
3.34,2.6945,0.8680,10.4327,17.29
3.44,2.7147,0.8679,11.2198,17.91
3.55,2.6944,0.8686,12.0327,18.47
3.66,2.6301,0.8688,12.8685,19.05
3.77,2.4914,0.8689,13.8976,19.61
3.87,2.3191,0.8690,14.7712,20.22
3.98,2.0933,0.8695,15.6550,20.62
4.08,1.8115,0.8736,16.5469,21.17
4.18,1.4829,0.8672,17.4382,21.36
4.28,1.0049,0.8695,18.4980,21.94
4.39,0.5745,0.8712,19.4177,23.10
4.49,0.1151,0.8695,20.3643,23.72
4.59,-0.3244,0.8721,21.3433,24.25
4.69,-0.7407,0.8669,22.3449,24.37
4.80,-1.1184,0.8662,23.3684,24.39
4.90,-1.4456,0.8694,24.4098,24.45
5.00,-1.7977,0.8666,25.6705,24.42
5.10,-2.0570,0.8683,26.7299,24.40
5.21,-2.3010,0.8679,27.7922,24.38
5.31,-2.5280,0.8672,28.8580,24.36
5.41,-2.7401,0.8679,29.9255,24.35
5.51,-2.9435,0.8681,30.9946,24.34
5.62,-3.1403,0.8681,32.0646,24.34
5.72,-3.3319,0.8681,33.1353,24.33
5.82,-3.5195,0.8680,34.2066,24.32
5.92,-3.7038,0.8700,35.2788,24.32
6.02,-3.9244,0.8693,36.5640,24.32
6.12,-4.1003,0.8683,37.6360,24.30
6.22,-4.2519,0.8695,38.7094,24.26
6.33,-4.4044,0.8650,39.7830,24.24
6.43,-4.5458,0.8610,40.8578,24.24
6.53,-4.6815,0.8629,41.9327,24.23
6.64,-4.8125,0.8659,43.0079,24.23
6.74,-4.9398,0.8681,44.0832,24.22
6.84,-5.0884,0.8689,45.3739,24.21
6.94,-5.1952,0.8688,46.4503,24.19
7.04,-5.2817,0.8666,47.5262,24.10
7.15,-5.3259,0.8679,48.5971,23.94
7.25,-5.3269,0.8670,49.6620,23.74
7.35,-5.2684,0.8710,50.7153,23.56
7.45,-5.1631,0.8700,51.7567,23.37
7.56,-5.0003,0.8703,52.7822,23.18
7.66,-4.7336,0.8722,53.9872,22.98
7.76,-4.4639,0.8670,54.9761,22.91
7.86,-4.1531,0.8658,55.9500,22.88
7.97,-3.8124,0.8681,56.9122,22.84
8.07,-3.4525,0.8678,57.8673,22.82
8.17,-3.0770,0.8663,58.8151,22.80
8.27,-2.6885,0.8671,59.7572,22.79
8.37,-2.2953,0.8697,60.6980,22.79
8.47,-1.8949,0.8689,61.6338,22.78
8.57,-1.4918,0.8679,62.5685,22.78
8.68,-1.0858,0.8676,63.5020,22.77
8.78,-0.6783,0.8686,64.4342,22.77
8.88,-0.2691,0.8683,65.3662,22.76
8.98,0.2220,0.8681,66.4840,22.75
9.09,0.6311,0.8681,67.4151,22.75
9.19,1.0400,0.8681,68.3461,22.74
