Time,X,Y,Z
0.35,0.0000,1.1890,-0.0025
0.46,0.0000,0.8434,-0.0023
0.56,0.0050,0.8723,-0.0130
0.67,0.0070,0.8719,-0.0127
0.78,0.0046,0.8629,-0.0068
0.88,0.0024,0.8610,-0.0015
0.99,0.0012,0.8627,0.0006
1.10,0.0007,0.8649,0.0008
1.20,0.0008,0.8666,-0.0002
1.30,0.0013,0.8677,-0.0017
1.41,0.0019,0.8679,-0.0027
1.52,0.0024,0.8679,-0.0033
1.62,0.0029,0.8678,-0.0034
1.73,0.0032,0.8676,-0.0032
1.84,0.0033,0.8675,-0.0030
1.94,0.0032,0.8674,-0.0028
2.04,0.0030,0.8673,-0.0026
2.15,0.0029,0.8673,-0.0026
2.26,0.0027,0.8673,-0.0026
2.36,0.0026,0.8674,-0.0026
2.46,0.0026,0.8674,-0.0027
2.57,0.0025,0.8674,-0.0027
2.68,0.0026,0.8674,-0.0027
2.78,0.0026,0.8674,-0.0027
2.90,0.0027,0.8674,-0.0027
3.01,0.0027,0.8674,-0.0027
3.11,0.0027,0.8674,-0.0027
3.22,0.0027,0.8674,-0.0027
3.32,0.0027,0.8674,-0.0027
3.42,0.0027,0.8674,-0.0027
3.53,0.0027,0.8674,-0.0027
3.64,0.0027,0.8674,-0.0027
3.74,0.0027,0.8674,-0.0019
3.84,0.0027,0.8678,0.0099
3.95,0.0027,0.8687,0.0386
4.06,0.0027,0.8703,0.0931
4.17,0.0031,0.8699,0.1941
4.28,0.0033,0.8699,0.3116
4.38,0.0035,0.8699,0.4587
4.48,0.0036,0.8699,0.6753
4.59,0.0037,0.8698,0.8877
4.69,0.0035,0.8701,1.1226
4.80,0.0034,0.8699,1.3700
4.90,0.0034,0.8692,1.6704
5.00,0.0033,0.8682,1.9209
5.11,0.0033,0.8673,2.1725
5.22,0.0033,0.8669,2.4249
5.32,0.0032,0.8669,2.7284
5.43,0.0032,0.8671,2.9814
5.54,0.0032,0.8673,3.2343
5.64,0.0031,0.8675,3.5376
5.74,0.0031,0.8675,3.7901
5.88,0.0031,0.8675,4.1436
5.98,0.0030,0.8674,4.3961
6.36,0.0029,0.8674,5.3548
6.47,0.0029,0.8674,5.6070
6.57,0.0029,0.8674,5.8591
6.68,0.0028,0.8674,6.1616
6.79,0.0028,0.8674,6.4136
6.89,0.0028,0.8674,6.6655
7.00,0.0027,0.8674,6.9678
7.10,0.0027,0.8674,7.2196
7.21,0.0027,0.8674,7.4713
7.32,0.0026,0.8674,7.7734
7.43,0.0026,0.8674,8.0250
7.54,0.0026,0.8674,8.2772
7.64,0.0025,0.8678,8.5903
7.75,0.0025,0.8687,8.8711
7.86,0.0025,0.8705,9.1762
7.97,0.0003,0.8702,9.5780
8.08,-0.0104,0.8702,9.9452
8.19,-0.0153,0.8703,10.4242
8.30,-0.0018,0.8693,10.8533
8.40,0.0447,0.8686,11.4011
8.51,0.1110,0.8675,11.8848
8.61,0.2010,0.8689,12.3935
8.72,0.2913,0.8652,13.0508
8.83,0.3557,0.8724,13.6237
8.93,0.3913,0.8672,14.2159
9.03,0.3991,0.8666,14.8384
9.14,0.3843,0.8683,15.4963
9.25,0.3593,0.8705,16.3310
9.36,0.3393,0.8705,17.0576
9.46,0.3165,0.8713,17.9671
9.57,0.3012,0.8695,18.7575
9.68,0.2881,0.8704,19.5779
9.79,0.2704,0.8718,20.6029
9.90,0.2552,0.8711,21.4879
10.01,0.2352,0.8700,22.5905
10.12,0.2152,0.8719,23.5425
10.22,0.1907,0.8703,24.7234
10.33,0.1766,0.8719,25.7385
10.44,0.1726,0.8689,26.9982
10.55,0.1701,0.8715,28.0807
10.66,0.1669,0.8719,29.4177
10.77,0.1661,0.8692,30.5635
10.88,0.1639,0.8708,31.7412
10.98,0.1588,0.8710,33.1926
11.09,0.1540,0.8720,34.4349
11.20,0.1485,0.8685,35.9648
11.31,0.1430,0.8731,37.2726
11.41,0.1336,0.8717,38.6088
11.52,0.1098,0.8702,40.2509
11.63,0.0853,0.8718,41.6530
11.74,0.0528,0.8710,43.3750
11.85,0.0231,0.8739,44.8400
