Time,X,Y,Z,SpeedMPH
0.35,0.0022,0.8588,-0.0074,0.35
0.46,0.0036,0.8706,-0.0089,0.15
0.57,0.0039,0.8735,-0.0076,0.08
0.67,0.0036,0.8723,-0.0054,0.10
0.78,0.0029,0.8699,-0.0034,0.10
0.89,0.0021,0.8674,-0.0018,0.06
0.99,0.0014,0.8665,-0.0012,0.03
1.10,0.0009,0.8663,-0.0013,0.02
1.21,0.0005,0.8667,-0.0017,0.02
1.31,0.0005,0.8672,-0.0021,0.02
1.42,0.0006,0.8674,-0.0024,0.01
1.52,0.0008,0.8676,-0.0026,0.01
1.62,0.0010,0.8676,-0.0027,0.01
1.73,0.0011,0.8675,-0.0026,0.01
1.84,0.0013,0.8675,-0.0025,0.01
1.94,0.0013,0.8675,0.0000,0.08
2.05,0.0014,0.8680,0.0161,0.41
2.15,0.0014,0.8690,0.0527,0.95
2.25,0.0014,0.8695,0.1130,1.55
2.36,0.0016,0.8698,0.2136,2.07
2.46,0.0017,0.8692,0.3108,2.27
2.57,0.0018,0.8687,0.4103,2.30
2.67,0.0019,0.8680,0.5100,2.30
2.78,0.0019,0.8673,0.6108,2.29
2.88,0.0019,0.8670,0.7125,2.29
2.98,0.0019,0.8669,0.8351,2.28
3.09,0.0019,0.8671,0.9374,2.28
3.19,0.0019,0.8673,1.0397,2.28
3.29,0.0020,0.8674,1.1418,2.28
3.39,0.0020,0.8675,1.2439,2.28
3.50,0.0020,0.8675,1.3459,2.28
3.60,0.0021,0.8674,1.4478,2.28
3.70,0.0021,0.8674,1.5498,2.28
3.80,0.0021,0.8674,1.6721,2.28
3.91,0.0022,0.8674,1.7740,2.28
4.01,0.0022,0.8674,1.8759,2.28
4.12,0.0023,0.8674,1.9778,2.28
4.22,0.0023,0.8674,2.1000,2.28
4.32,0.0023,0.8674,2.2035,2.35
4.43,0.0024,0.8678,2.3168,2.61
4.53,0.0024,0.8688,2.4491,3.07
4.63,0.0025,0.8703,2.6060,3.68
4.73,0.0027,0.8701,2.7905,4.40
4.84,0.0031,0.8699,3.0047,5.07
4.94,0.0030,0.8700,3.3015,5.87
5.04,0.0032,0.8700,3.5814,6.53
5.15,0.0033,0.8704,3.8916,7.21
5.25,0.0034,0.8701,4.2316,7.87
5.35,0.0035,0.8696,4.6021,8.55
5.45,0.0040,0.8702,5.0015,9.21
5.56,0.0040,0.8700,5.4317,9.88
5.66,0.0113,0.8698,5.9861,10.68
5.77,0.0339,0.8699,6.4777,11.29
5.87,0.0788,0.8678,6.9952,11.90
5.97,0.1086,0.8666,7.5466,12.55
6.08,0.1213,0.8745,8.1225,13.11
6.18,0.1220,0.8670,8.8487,13.98
6.28,0.1203,0.8704,9.4937,14.62
6.39,0.1224,0.8715,10.1660,15.29
6.49,0.1439,0.8687,10.8620,15.93
6.59,0.1966,0.8701,11.5812,16.44
6.69,0.2761,0.8673,12.3249,17.06
6.80,0.3751,0.8668,13.0935,17.51
6.90,0.5033,0.8678,14.0359,17.78
7.01,0.6126,0.8689,14.8246,17.82
7.11,0.7238,0.8692,15.6119,17.82
7.21,0.8362,0.8688,16.3991,17.81
7.31,0.9489,0.8683,17.1866,17.81
7.41,1.0616,0.8679,17.9743,17.80
7.51,1.1742,0.8679,18.7620,17.80
7.61,1.2864,0.8680,19.5496,17.79
7.72,1.3974,0.8681,20.3371,17.79
7.82,1.5168,0.8681,21.2832,17.77
7.92,1.6193,0.8681,22.0709,17.77
8.03,1.7112,0.8681,22.8596,17.75
8.13,1.7890,0.8680,23.6486,17.74
8.23,1.8649,0.8679,24.4376,17.73
8.34,1.9201,0.8662,25.2273,17.69
8.44,1.9562,0.8665,26.0153,17.65
8.54,1.9814,0.8663,26.7995,17.51
8.64,2.0117,0.8664,27.7232,17.15
8.75,2.0331,0.8663,28.4841,17.01
8.85,2.0541,0.8666,29.2454,16.99
8.95,2.0886,0.8673,30.0055,16.96
9.05,2.1405,0.8681,30.7621,16.92
9.16,2.1962,0.8645,31.5158,16.92
9.26,2.2676,0.8648,32.4200,16.91
9.36,2.3264,0.8665,33.1737,16.90
9.47,2.3691,0.8679,33.9272,16.86
9.57,2.3954,0.8680,34.6795,16.79
9.67,2.4103,0.8661,35.4293,16.80
9.78,2.4213,0.8669,36.1798,16.79
9.88,2.4288,0.8679,37.0793,16.74
9.99,2.4168,0.8680,37.8199,16.53
10.09,2.4012,0.8659,38.5568,16.47
10.19,2.3870,0.8659,39.2937,16.47
10.30,2.3784,0.8669,40.0302,16.45
10.40,2.3801,0.8680,40.9115,16.42
10.51,2.3620,0.8682,41.6421,16.29
10.61,2.3348,0.8677,42.3600,16.02
10.71,2.3133,0.8653,43.0708,15.87
10.82,2.2900,0.8647,43.7812,15.86
10.92,2.2646,0.8661,44.4913,15.86
11.02,2.2382,0.8676,45.2005,15.86
11.12,2.2058,0.8686,46.0508,15.86
11.22,2.1786,0.8687,46.7590,15.85
