ParticipantID,Block,BlockStartAbs,BlockTimeRel,TrialIndex,Scene,Event,Expectancy,SignalColor,MergeSide,TimeAbs,TrialTimeRel,X,Y,Z,LaneDeviation,SpeedMPH,TrialEnded,TrialEndReason,TrialEndAbs,TrialEndRel,SurveyQuestion,SurveyResponse,SurveyRT
UNKNOWN,0,3.428,1.455,-1,SubBlock,,,,,4.884,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,1.459,-1,SubBlock,,,,,4.887,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,1.461,-1,SubBlock,,,,,4.889,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,1.464,-1,SubBlock,,,,,4.893,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,1.467,-1,SubBlock,,,,,4.895,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,1.469,-1,SubBlock,,,,,4.897,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,1.471,-1,SubBlock,,,,,4.9,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,1.474,-1,SubBlock,,,,,4.903,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,1.477,-1,SubBlock,,,,,4.905,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,1.48,-1,SubBlock,,,,,4.908,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,1.574,-1,SubBlock,,,,,5.002,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,1.688,-1,SubBlock,,,,,5.116,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,1.773,-1,SubBlock,,,,,5.202,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,1.873,-1,SubBlock,,,,,5.302,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,1.973,-1,SubBlock,,,,,5.401,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,2.074,-1,SubBlock,,,,,5.502,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,2.173,-1,SubBlock,,,,,5.601,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,2.275,-1,SubBlock,,,,,5.703,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,2.374,-1,SubBlock,,,,,5.802,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,2.473,-1,SubBlock,,,,,5.902,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,2.575,-1,SubBlock,,,,,6.003,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,2.672,-1,SubBlock,,,,,6.101,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,2.772,-1,SubBlock,,,,,6.2,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,2.872,-1,SubBlock,,,,,6.3,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,2.975,-1,SubBlock,,,,,6.404,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,3.074,-1,SubBlock,,,,,6.502,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,3.174,-1,SubBlock,,,,,6.603,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,3.272,-1,SubBlock,,,,,6.701,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,3.374,-1,SubBlock,,,,,6.802,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,3.474,-1,SubBlock,,,,,6.902,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,3.573,-1,SubBlock,,,,,7.002,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,3.674,-1,SubBlock,,,,,7.102,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,3.773,-1,SubBlock,,,,,7.202,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,3.873,-1,SubBlock,,,,,7.302,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,3.975,-1,SubBlock,,,,,7.403,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,4.074,-1,SubBlock,,,,,7.502,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,4.174,-1,SubBlock,,,,,7.602,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,4.275,-1,SubBlock,,,,,7.703,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,4.374,-1,SubBlock,,,,,7.802,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,4.473,-1,SubBlock,,,,,7.902,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,3.428,4.572,-1,SubBlock,,,,,8.001,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
99,Night,8.357,0.053,0,U_Amb_R,,,,,8.41,0.337,0,1.071,-0.002,,1.829,0,,-1,-1,PostTrialQuestion,,-1
99,Night,8.357,0.117,0,U_Amb_R,,,,,8.474,0.402,0,1.071,-0.002,,1.829,0,,-1,-1,PostTrialQuestion,,-1
99,Night,8.357,0.13,0,U_Amb_R,,,,,8.487,0.414,0,1.054,-0.002,,2.194,0,,-1,-1,PostTrialQuestion,,-1
