ParticipantID,Block,TrialIndex,Scene,Event,TimeAbs,TrialTimeRel,X,Y,Z,LaneDeviation,SpeedMPH,TrialEnded,TrialEndReason,TrialEndAbs,TrialEndRel,SurveyResponse,SurveyResponseCorrect,SurveyRT,BrakeInput,ThrottleInput,SteeringInput,Car2Merge,Collision,Car2DecelStartAbs,Car2CollisionAbs,TimeToCollision
UNKNOWN,0,-1,SubBlock,Practice,4.217,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,4.316,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,4.415,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,4.516,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,4.623,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,4.715,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,4.82,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,4.915,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,5.015,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,5.115,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,5.215,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,5.315,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,5.415,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,5.515,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,5.615,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,5.715,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,5.815,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,5.915,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,6.015,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,6.115,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,6.218,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,6.315,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
