ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,LaneDeviation,SpeedMPH,TrialEnded,TrialEndReason,TrialEndTimeAbs,TrialEndTimeRel,MergeCueTimeRel,DriverResponseTimeRel,ReactionTime,ResponseType,SurveyQuestion,SurveyResponse,SurveyRT
95,Night,0,Practice,Expected,Red,Right,8.36,0.00,0.0000,0.8437,-0.0025,0.0000,0.09,1,Manual_P,106.04,97.68,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,1.321
95,Night,0,Practice,Expected,Red,Right,8.36,0.00,0.0000,0.8437,-0.0025,0.0000,0.09,1,Manual_P,106.04,97.68,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,1.321
95,Night,0,Practice,Expected,Red,Right,8.47,0.11,0.0000,0.8528,-0.0025,0.0000,0.23,1,Manual_P,106.04,97.68,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,1.321
95,Night,0,Practice,Expected,Red,Right,8.57,0.21,0.0000,0.8626,-0.0025,0.0000,0.18,1,Manual_P,106.04,97.68,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,1.321
95,Night,0,Practice,Expected,Red,Right,8.68,0.33,0.0000,0.8690,-0.0025,0.0000,0.07,1,Manual_P,106.04,97.68,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,1.321
95,Night,0,Practice,Expected,Red,Right,8.80,0.44,0.0000,0.8706,-0.0025,0.0000,0.00,1,Manual_P,106.04,97.68,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,1.321
95,Night,0,Practice,Expected,Red,Right,8.91,0.56,0.0000,0.8697,-0.0025,0.0000,0.03,1,Manual_P,106.04,97.68,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,1.321
95,Night,0,Practice,Expected,Red,Right,9.02,0.66,0.0000,0.8684,-0.0025,0.0000,0.02,1,Manual_P,106.04,97.68,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,1.321
95,Night,0,Practice,Expected,Red,Right,9.13,0.78,0.0000,0.8675,-0.0025,0.0000,0.01,1,Manual_P,106.04,97.68,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,1.321
95,Night,0,Practice,Expected,Red,Right,9.25,0.90,0.0000,0.8673,-0.0025,0.0000,0.00,1,Manual_P,106.04,97.68,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,1.321
95,Night,0,Practice,Expected,Red,Right,9.37,1.02,0.0000,0.8674,-0.0025,0.0000,0.00,1,Manual_P,106.04,97.68,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,1.321
95,Night,0,Practice,Expected,Red,Right,9.50,1.14,0.0000,0.8676,0.0011,0.0000,0.23,1,Manual_P,106.04,97.68,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,1.321
95,Night,0,Practice,Expected,Red,Right,9.60,1.25,0.0000,0.8677,0.0210,0.0000,0.68,1,Manual_P,106.04,97.68,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,1.321
95,Night,0,Practice,Expected,Red,Right,9.71,1.35,0.0000,0.8677,0.0666,0.0000,1.31,1,Manual_P,106.04,97.68,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,1.321
95,Night,0,Practice,Expected,Red,Right,9.81,1.45,0.0004,0.8677,0.1417,0.0004,1.98,1,Manual_P,106.04,97.68,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,1.321
95,Night,0,Practice,Expected,Red,Right,9.94,1.58,0.0065,0.8677,0.2766,0.0065,2.87,1,Manual_P,106.04,97.68,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,1.321
