ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,LaneDeviation,SpeedMPH
98,Day,0,Practice,Unexpected,Red,Left,59.91,56.79,0.3429,0.8681,1215.3270,0.3429,61.00
98,Day,0,Practice,Unexpected,Red,Left,60.02,56.89,0.3222,0.8681,1218.1860,0.3222,60.98
98,Day,0,Practice,Unexpected,Red,Left,60.12,56.99,0.3116,0.8681,1221.0150,0.3116,60.96
98,Day,0,Practice,Unexpected,Red,Left,60.22,57.10,0.3138,0.8681,1223.8230,0.3138,60.94
98,Day,0,Practice,Unexpected,Red,Left,60.33,57.20,0.3311,0.8681,1226.7400,0.3311,60.92
98,Day,0,Practice,Unexpected,Red,Left,60.43,57.31,0.3551,0.8681,1229.5720,0.3551,60.78
98,Day,0,Practice,Unexpected,Red,Left,60.54,57.41,0.3703,0.8681,1232.3840,0.3703,60.49
98,Day,0,Practice,Unexpected,Red,Left,60.65,57.53,0.3916,0.8681,1235.5100,0.3916,59.89
98,Day,0,Practice,Unexpected,Red,Left,60.75,57.63,0.4101,0.8681,1238.1830,0.4101,59.22
98,Day,0,Practice,Unexpected,Red,Left,60.86,57.74,0.4254,0.8681,1240.9900,0.4254,57.80
98,Day,0,Practice,Unexpected,Red,Left,60.96,57.84,0.4336,0.8681,1243.5690,0.4336,55.69
98,Day,0,Practice,Unexpected,Red,Left,61.07,57.94,0.4347,0.8681,1246.0830,0.4347,54.37
98,Day,0,Practice,Unexpected,Red,Left,61.17,58.05,0.4297,0.8681,1248.6500,0.4297,52.83
98,Day,0,Practice,Unexpected,Red,Left,61.28,58.15,0.4314,0.8681,1251.1040,0.4314,51.50
98,Day,0,Practice,Unexpected,Red,Left,61.39,58.26,0.4312,0.8681,1253.5440,0.4312,49.97
98,Day,0,Practice,Unexpected,Red,Left,61.49,58.36,0.4298,0.8681,1255.8280,0.4298,48.65
98,Day,0,Practice,Unexpected,Red,Left,61.59,58.47,0.4299,0.8681,1258.0840,0.4299,47.33
98,Day,0,Practice,Unexpected,Red,Left,61.70,58.57,0.4327,0.8681,1260.2250,0.4327,46.02
98,Day,0,Practice,Unexpected,Red,Left,61.80,58.67,0.4383,0.8681,1262.2680,0.4383,44.70
98,Day,0,Practice,Unexpected,Red,Left,61.90,58.78,0.4471,0.8681,1264.3020,0.4471,43.16
98,Day,0,Practice,Unexpected,Red,Left,62.01,58.88,0.4585,0.8681,1266.2760,0.4585,41.85
98,Day,0,Practice,Unexpected,Red,Left,62.11,58.98,0.4722,0.8681,1268.1880,0.4722,40.53
98,Day,0,Practice,Unexpected,Red,Left,62.21,59.09,0.4875,0.8681,1270.0380,0.4875,39.21
98,Day,0,Practice,Unexpected,Red,Left,62.32,59.19,0.5038,0.8681,1271.8090,0.5038,37.89
98,Day,0,Practice,Unexpected,Red,Left,62.42,59.29,0.5209,0.8681,1273.5160,0.5209,36.36
98,Day,0,Practice,Unexpected,Red,Left,62.52,59.40,0.5386,0.8681,1275.1790,0.5386,35.04
98,Day,0,Practice,Unexpected,Red,Left,62.63,59.50,0.5564,0.8681,1276.7820,0.5564,33.72
98,Day,0,Practice,Unexpected,Red,Left,62.73,59.61,0.5741,0.8681,1278.3140,0.5741,32.41
98,Day,0,Practice,Unexpected,Red,Left,62.84,59.71,0.5917,0.8681,1279.8100,0.5917,30.87
98,Day,0,Practice,Unexpected,Red,Left,62.94,59.82,0.6087,0.8681,1281.2310,0.6087,29.56
98,Day,0,Practice,Unexpected,Red,Left,63.05,59.92,0.6252,0.8681,1282.5860,0.6252,28.24
98,Day,0,Practice,Unexpected,Red,Left,63.15,60.02,0.6407,0.8681,1283.8480,0.6407,26.75
98,Day,0,Practice,Unexpected,Red,Left,63.25,60.13,0.6552,0.8681,1285.0220,0.6552,25.22
98,Day,0,Practice,Unexpected,Red,Left,63.35,60.23,0.6694,0.8681,1286.1670,0.6694,25.06
98,Day,0,Practice,Unexpected,Red,Left,63.46,60.33,0.6835,0.8681,1287.3040,0.6835,25.05
98,Day,0,Practice,Unexpected,Red,Left,63.56,60.43,0.6980,0.8681,1288.4610,0.6980,25.04
98,Day,0,Practice,Unexpected,Red,Left,63.66,60.54,0.7124,0.8681,1289.6120,0.7124,25.04
98,Day,0,Practice,Unexpected,Red,Left,63.77,60.64,0.7270,0.8681,1290.7710,0.7270,25.03
98,Day,0,Practice,Unexpected,Red,Left,63.87,60.74,0.7416,0.8681,1291.9360,0.7416,25.03
98,Day,0,Practice,Unexpected,Red,Left,63.97,60.85,0.7560,0.8681,1293.0770,0.7560,25.02
98,Day,0,Practice,Unexpected,Red,Left,64.08,60.95,0.7707,0.8681,1294.2470,0.7707,25.01
98,Day,0,Practice,Unexpected,Red,Left,64.18,61.05,0.7853,0.8681,1295.4010,0.7853,25.01
98,Day,0,Practice,Unexpected,Red,Left,64.28,61.16,0.7997,0.8681,1296.5510,0.7997,25.00
98,Day,0,Practice,Unexpected,Red,Left,64.39,61.26,0.8143,0.8681,1297.7030,0.8143,25.00
98,Day,0,Practice,Unexpected,Red,Left,64.49,61.36,0.8286,0.8681,1298.8430,0.8286,24.99
98,Day,0,Practice,Unexpected,Red,Left,64.59,61.47,0.8434,0.8681,1300.0170,0.8434,24.99
98,Day,0,Practice,Unexpected,Red,Left,64.69,61.57,0.8578,0.8681,1301.1610,0.8578,24.98
98,Day,0,Practice,Unexpected,Red,Left,64.80,61.67,0.8724,0.8681,1302.3190,0.8724,24.97
98,Day,0,Practice,Unexpected,Red,Left,64.91,61.78,0.8876,0.8681,1303.5210,0.8876,24.97
98,Day,0,Practice,Unexpected,Red,Left,65.01,61.88,0.9021,0.8681,1304.6740,0.9021,24.96
98,Day,0,Practice,Unexpected,Red,Left,65.12,62.00,0.9181,0.8681,1305.9430,0.9181,24.96
98,Day,0,Practice,Unexpected,Red,Left,65.23,62.10,0.9330,0.8681,1307.1250,0.9330,24.95
98,Day,0,Practice,Unexpected,Red,Left,65.33,62.20,0.9473,0.8681,1308.2620,0.9473,24.94
98,Day,0,Practice,Unexpected,Red,Left,65.44,62.31,0.9622,0.8681,1309.4380,0.9622,24.94
98,Day,0,Practice,Unexpected,Red,Left,65.54,62.41,0.9768,0.8681,1310.5950,0.9768,24.93
98,Day,0,Practice,Unexpected,Red,Left,65.65,62.52,0.9918,0.8681,1311.7880,0.9918,24.93
98,Day,0,Practice,Unexpected,Red,Left,65.75,62.62,1.0063,0.8681,1312.9340,1.0063,24.92
98,Day,0,Practice,Unexpected,Red,Left,65.85,62.73,1.0207,0.8681,1314.0830,1.0207,24.91
98,Day,0,Practice,Unexpected,Red,Left,65.96,62.83,1.0354,0.8681,1315.2430,1.0354,24.91
98,Day,0,Practice,Unexpected,Red,Left,66.07,62.94,1.0505,0.8681,1316.4460,1.0505,24.90
98,Day,0,Practice,Unexpected,Red,Left,66.18,63.05,1.0667,0.8681,1317.7280,1.0667,24.90
98,Day,0,Practice,Unexpected,Red,Left,66.29,63.17,1.0823,0.8681,1318.9670,1.0823,24.89
98,Day,0,Practice,Unexpected,Red,Left,66.40,63.27,1.0969,0.8681,1320.1220,1.0969,24.88
98,Day,0,Practice,Unexpected,Red,Left,66.50,63.37,1.1112,0.8681,1321.2590,1.1112,24.88
98,Day,0,Practice,Unexpected,Red,Left,66.60,63.48,1.1259,0.8681,1322.4260,1.1259,24.87
98,Day,0,Practice,Unexpected,Red,Left,66.71,63.58,1.1408,0.8681,1323.6030,1.1408,24.87
98,Day,0,Practice,Unexpected,Red,Left,66.81,63.69,1.1552,0.8681,1324.7450,1.1552,24.86
98,Day,0,Practice,Unexpected,Red,Left,66.92,63.79,1.1699,0.8681,1325.9110,1.1699,24.85
98,Day,0,Practice,Unexpected,Red,Left,67.02,63.89,1.1842,0.8681,1327.0510,1.1842,24.85
98,Day,0,Practice,Unexpected,Red,Left,67.12,64.00,1.1987,0.8681,1328.1940,1.1987,24.84
98,Day,0,Practice,Unexpected,Red,Left,67.23,64.10,1.2131,0.8681,1329.3360,1.2131,24.84
98,Day,0,Practice,Unexpected,Red,Left,67.33,64.20,1.2277,0.8681,1330.5010,1.2277,24.83
98,Day,0,Practice,Unexpected,Red,Left,67.43,64.31,1.2420,0.8681,1331.6350,1.2420,24.83
98,Day,0,Practice,Unexpected,Red,Left,67.54,64.41,1.2566,0.8681,1332.7870,1.2566,24.82
98,Day,0,Practice,Unexpected,Red,Left,67.64,64.51,1.2710,0.8681,1333.9340,1.2710,24.81
98,Day,0,Practice,Unexpected,Red,Left,67.74,64.62,1.2853,0.8681,1335.0640,1.2853,24.81
98,Day,0,Practice,Unexpected,Red,Left,67.85,64.73,1.3007,0.8681,1336.2890,1.3007,24.80
98,Day,0,Practice,Unexpected,Red,Left,67.97,64.84,1.3171,0.8681,1337.5830,1.3171,24.80
98,Day,0,Practice,Unexpected,Red,Left,68.09,64.96,1.3338,0.8681,1338.9140,1.3338,24.79
98,Day,0,Practice,Unexpected,Red,Left,68.19,65.07,1.3484,0.8681,1340.0680,1.3484,24.78
98,Day,0,Practice,Unexpected,Red,Left,68.31,65.18,1.3643,0.8681,1341.3310,1.3643,24.78
98,Day,0,Practice,Unexpected,Red,Left,68.42,65.30,1.3807,0.8681,1342.6310,1.3807,24.77
98,Day,0,Practice,Unexpected,Red,Left,68.53,65.41,1.3958,0.8681,1343.8270,1.3958,24.77
98,Day,0,Practice,Unexpected,Red,Left,68.63,65.51,1.4100,0.8681,1344.9530,1.4100,24.76
98,Day,0,Practice,Unexpected,Red,Left,68.74,65.61,1.4249,0.8681,1346.1340,1.4249,24.75
98,Day,0,Practice,Unexpected,Red,Left,68.84,65.72,1.4394,0.8681,1347.2840,1.4394,24.75
98,Day,0,Practice,Unexpected,Red,Left,68.95,65.82,1.4535,0.8681,1348.4030,1.4535,24.74
