ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,SpeedMPH
,Day,0,Practice,Unexpected,Amber,Right,1.78,0.00,0.0000,1.0608,-0.0025,1.76
,Day,0,Practice,Unexpected,Amber,Right,1.88,0.10,0.0000,0.8842,-0.0025,4.39
,Day,0,Practice,Unexpected,Amber,Right,1.99,0.21,0.0010,0.8497,-0.0049,0.44
,Day,0,Practice,Unexpected,Amber,Right,2.09,0.31,0.0028,0.8637,-0.0098,0.31
,Day,0,Practice,Unexpected,Amber,Right,2.19,0.41,0.0037,0.8715,-0.0101,0.13
,Day,0,Practice,Unexpected,Amber,Right,2.29,0.52,0.0042,0.8735,0.0043,0.44
,Day,0,Practice,Unexpected,Amber,Right,2.40,0.62,0.0040,0.8704,0.0446,1.11
,Day,0,Practice,Unexpected,Amber,Right,2.50,0.72,0.0032,0.8699,0.1293,1.91
,Day,0,Practice,Unexpected,Amber,Right,2.60,0.83,0.0079,0.8698,0.2325,2.57
,Day,0,Practice,Unexpected,Amber,Right,2.71,0.93,0.0192,0.8699,0.3641,3.22
,Day,0,Practice,Unexpected,Amber,Right,2.81,1.03,0.0401,0.8696,0.5244,3.88
,Day,0,Practice,Unexpected,Amber,Right,2.91,1.13,0.0667,0.8702,0.7138,4.54
,Day,0,Practice,Unexpected,Amber,Right,3.01,1.24,0.0963,0.8699,0.9335,5.22
,Day,0,Practice,Unexpected,Amber,Right,3.12,1.34,0.1280,0.8701,1.2373,6.03
,Day,0,Practice,Unexpected,Amber,Right,3.22,1.45,0.1495,0.8700,1.5242,6.71
,Day,0,Practice,Unexpected,Amber,Right,3.32,1.55,0.1703,0.8701,1.8409,7.37
,Day,0,Practice,Unexpected,Amber,Right,3.43,1.65,0.1902,0.8696,2.1876,8.04
,Day,0,Practice,Unexpected,Amber,Right,3.53,1.75,0.2142,0.8699,2.5640,8.70
,Day,0,Practice,Unexpected,Amber,Right,3.63,1.85,0.2500,0.8699,2.9686,9.36
,Day,0,Practice,Unexpected,Amber,Right,3.74,1.96,0.2942,0.8701,3.4026,10.02
,Day,0,Practice,Unexpected,Amber,Right,3.84,2.06,0.3405,0.8701,3.8662,10.69
,Day,0,Practice,Unexpected,Amber,Right,3.94,2.16,0.3850,0.8711,4.3604,11.36
,Day,0,Practice,Unexpected,Amber,Right,4.04,2.26,0.4299,0.8708,4.8786,11.82
,Day,0,Practice,Unexpected,Amber,Right,4.14,2.37,0.4847,0.8708,5.5163,12.00
