Time,X,Y,Z,SpeedMPH
0.35,0.0022,0.8588,-0.0074,0.35
0.46,0.0034,0.8693,-0.0089,0.18
0.56,0.0039,0.8733,-0.0079,0.08
0.66,0.0037,0.8727,-0.0059,0.10
0.76,0.0029,0.8699,-0.0007,0.18
0.86,0.0022,0.8682,0.0130,0.39
0.97,0.0015,0.8680,0.0459,0.86
1.07,0.0006,0.8703,0.1049,1.48
1.17,0.0005,0.8698,0.1902,2.19
1.27,0.0019,0.8700,0.3051,2.84
1.38,0.0088,0.8698,0.4501,3.51
1.48,0.0230,0.8698,0.6231,4.15
1.58,0.0553,0.8699,0.8675,4.92
1.68,0.0934,0.8696,1.1026,5.59
1.79,0.1414,0.8699,1.3655,6.24
1.89,0.2019,0.8696,1.6563,6.91
1.99,0.2746,0.8698,1.9741,7.56
2.09,0.3627,0.8699,2.3188,8.22
2.20,0.4663,0.8697,2.6890,8.87
2.30,0.6151,0.8695,3.1662,9.65
2.40,0.7624,0.8692,3.5902,10.31
2.51,0.9060,0.8692,4.0470,10.93
2.61,1.0407,0.8708,4.5303,11.51
2.71,1.1524,0.8686,5.0453,12.11
2.81,1.2443,0.8697,5.5935,12.69
2.92,1.3085,0.8684,6.1683,13.14
3.02,1.3433,0.8690,6.7732,13.82
3.12,1.3520,0.8686,7.4080,14.52
3.22,1.3289,0.8664,8.2075,15.24
3.32,1.2760,0.8684,8.9036,15.89
3.42,1.1848,0.8671,9.6237,16.52
3.52,1.0625,0.8666,10.3644,17.04
3.63,0.9022,0.8682,11.1311,17.80
3.73,0.7215,0.8671,11.9221,18.34
3.83,0.5306,0.8694,12.7314,18.66
3.94,0.3371,0.8706,13.5472,18.78
4.04,0.1413,0.8704,14.3617,18.79
4.14,-0.0558,0.8693,15.1758,18.78
4.24,-0.2936,0.8681,16.1532,18.77
4.35,-0.4924,0.8676,16.9681,18.76
4.46,-0.6914,0.8676,17.7829,18.76
4.56,-0.8906,0.8679,18.5975,18.75
4.66,-1.0898,0.8681,19.4120,18.75
4.76,-1.3289,0.8682,20.3889,18.75
4.86,-1.5281,0.8682,21.2028,18.74
4.97,-1.7272,0.8682,22.0165,18.74
5.07,-1.9263,0.8681,22.8301,18.73
5.17,-2.1253,0.8681,23.6434,18.73
5.28,-2.3243,0.8681,24.4566,18.73
5.38,-2.5175,0.8681,25.2708,18.72
5.48,-2.7032,0.8681,26.0861,18.70
5.58,-2.9304,0.8680,27.0633,18.70
5.69,-3.1172,0.8681,27.8780,18.70
5.79,-3.3020,0.8681,28.6930,18.69
5.89,-3.4771,0.8681,29.5096,18.68
5.99,-3.6552,0.8681,30.3254,18.68
6.09,-3.8297,0.8681,31.1417,18.67
6.20,-3.9938,0.8681,31.9596,18.66
6.30,-4.1583,0.8680,32.7773,18.65
6.40,-4.3088,0.8680,33.5969,18.64
6.50,-4.4851,0.8680,34.5808,18.63
6.60,-4.6149,0.8672,35.4028,18.61
6.71,-4.7374,0.8667,36.2253,18.60
6.81,-4.8420,0.8664,37.0490,18.58
6.91,-4.9421,0.8660,37.8731,18.58
7.01,-5.0397,0.8668,38.6975,18.57
