Time,X,Y,Z
0.35,0.0022,0.8588,-0.0074
0.45,0.0034,0.8693,-0.0089
0.56,0.0039,0.8733,-0.0079
0.66,0.0037,0.8727,-0.0059
0.76,0.0029,0.8699,-0.0034
0.87,0.0022,0.8677,-0.0019
0.97,0.0015,0.8666,-0.0013
1.07,0.0009,0.8664,0.0002
1.17,0.0006,0.8669,0.0099
1.28,0.0004,0.8682,0.0366
1.38,-0.0006,0.8701,0.0891
1.48,0.0002,0.8700,0.1865
1.59,0.0011,0.8699,0.3008
1.69,0.0003,0.8700,0.4452
1.79,0.0007,0.8700,0.6195
1.89,0.0002,0.8700,0.8238
2.00,0.0008,0.8703,1.0582
2.10,0.0007,0.8702,1.3223
2.20,0.0036,0.8701,1.6162
2.30,0.0209,0.8701,2.0067
2.40,0.0427,0.8695,2.3655
2.51,0.0640,0.8704,2.7535
2.61,0.0818,0.8705,3.1718
2.71,0.0983,0.8700,3.6201
2.82,0.1148,0.8698,4.0981
2.92,0.1317,0.8704,4.6055
3.02,0.1530,0.8715,5.2564
3.13,0.1698,0.8702,5.8301
3.23,0.1791,0.8693,6.4314
3.33,0.1608,0.8699,7.0613
3.44,0.1176,0.8680,7.7118
3.54,0.0407,0.8676,8.3863
3.64,-0.1064,0.8692,9.2240
3.75,-0.2705,0.8662,9.9419
3.85,-0.4740,0.8692,10.6838
3.96,-0.7003,0.8675,11.4519
4.06,-1.0081,0.8679,12.3994
4.16,-1.3040,0.8682,13.2109
4.27,-1.6027,0.8689,14.0576
4.37,-1.9018,0.8739,14.9297
4.47,-2.1807,0.8692,15.8263
4.57,-2.4284,0.8668,16.7545
4.68,-2.6377,0.8687,17.7127
4.78,-2.8003,0.8692,18.6989
4.88,-2.9138,0.8689,19.7066
4.98,-2.9699,0.8714,20.7330
5.08,-2.9651,0.8683,21.9699
5.19,-2.8883,0.8696,22.9999
5.29,-2.7527,0.8686,24.0282
5.39,-2.5434,0.8747,25.0505
5.49,-2.2834,0.8754,26.0730
5.59,-1.9906,0.8639,27.1109
5.70,-1.6510,0.8712,28.1911
5.80,-1.3005,0.8745,29.3150
5.90,-0.9711,0.8815,30.4783
6.00,-0.6136,0.8713,31.9150
6.10,-0.3595,0.8694,33.1515
6.20,-0.1449,0.8696,34.4265
6.30,0.0346,0.8678,35.7376
6.41,0.1714,0.8687,37.0811
6.51,0.2550,0.8723,38.4485
6.61,0.2926,0.8666,39.8249
6.71,0.2648,0.8687,41.2072
6.81,0.1788,0.8697,42.5826
6.92,0.0306,0.8731,43.9461
7.02,-0.1649,0.8685,45.2942
7.12,-0.4840,0.8697,46.8994
7.22,-0.8050,0.8701,48.2419
7.33,-1.1721,0.8693,49.5985
7.43,-1.5813,0.8678,50.9763
7.53,-2.0190,0.8686,52.3787
7.63,-2.4601,0.8726,53.8169
7.73,-2.8892,0.8713,55.2685
7.84,-3.2660,0.8764,56.7459
7.94,-3.6061,0.8763,58.2315
8.04,-3.9427,0.8711,60.0186
8.14,-4.1491,0.8700,61.5077
8.25,-4.2835,0.8774,62.9929
8.35,-4.3601,0.8802,64.4678
8.45,-4.3790,0.8794,65.9300
8.56,-4.3415,0.8745,67.3771
8.66,-4.2432,0.8699,68.8064
8.76,-4.0583,0.8884,70.2109
8.86,-3.7665,0.9045,71.8689
8.96,-3.4671,0.9136,73.2255
9.06,-3.1208,0.9178,74.5570
9.17,-2.7287,0.9174,75.8619
9.27,-2.2910,0.9148,77.1426
9.37,-1.8187,0.8933,78.4007
9.47,-1.3297,0.8525,79.6553
9.57,-0.8081,0.8487,80.8937
9.68,-0.3200,0.8691,82.1390
9.78,0.1490,0.8686,83.3842
9.88,0.6618,0.8686,84.8935
9.99,1.0588,0.8677,86.1604
10.09,1.4341,0.8708,87.4355
10.19,1.7811,0.8674,88.7128
10.29,2.1100,0.8670,89.9964
10.39,2.4237,0.8677,91.2829
10.50,2.7259,0.8656,92.5707
10.60,3.0588,0.8684,94.1216
10.70,3.2986,0.8678,95.4168
10.80,3.4963,0.8681,96.7138
10.90,3.6653,0.8682,98.0130
11.01,3.8199,0.8715,99.3152
11.11,3.9576,0.8653,100.6145
11.21,4.0761,0.8684,101.9182
11.31,4.1838,0.8699,103.2225
11.41,4.2827,0.8662,104.5281
11.51,4.3585,0.8686,105.8317
11.62,4.4026,0.8709,107.1335
11.72,4.4047,0.8691,108.4294
11.82,4.3567,0.8687,109.7152
11.92,4.2459,0.8750,110.9852
12.02,4.0602,0.8677,112.4957
12.13,3.8441,0.8706,113.7404
12.23,3.5907,0.8680,114.9754
12.33,3.2829,0.8675,116.1903
12.43,2.9318,0.8668,117.3884
12.53,2.5451,0.8667,118.5732
12.64,2.1302,0.8665,119.7469
12.74,1.6884,0.8680,120.9085
12.84,1.2308,0.8670,122.0636
12.94,0.7570,0.8660,123.2111
13.04,0.1764,0.8672,124.5823
13.15,-0.3137,0.8679,125.7219
13.25,-0.8083,0.8682,126.8592
13.35,-1.3065,0.8683,127.9947
13.45,-1.8071,0.8682,129.1288
13.55,-2.3046,0.8681,130.2639
13.66,-2.7984,0.8681,131.3999
13.76,-3.2939,0.8691,132.5355
13.86,-3.8866,0.8686,133.8977
13.96,-4.3774,0.8682,135.0340
