ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,LaneDeviation,SpeedMPH,TrialEnded,TrialEndReason,TrialEndTimeAbs,TrialEndTimeRel,MergeCueTimeRel,DriverResponseTimeRel,ReactionTime,ResponseType,SurveyQuestion,SurveyResponse,SurveyRT
99,Day,0,Practice,Expected,Red,Right,64.62,56.18,-0.2356,0.8681,1332.1250,-0.2356,56.03,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,64.72,56.29,-0.2795,0.8681,1334.7820,-0.2795,56.01,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,64.83,56.39,-0.3152,0.8681,1337.3830,-0.3152,56.00,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,64.93,56.49,-0.3417,0.8681,1339.9150,-0.3417,55.99,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,65.03,56.59,-0.3595,0.8681,1342.4560,-0.3595,55.97,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,65.13,56.70,-0.3691,0.8681,1345.0440,-0.3691,55.96,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,65.24,56.80,-0.3713,0.8681,1347.6790,-0.3713,55.94,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,65.34,56.91,-0.3797,0.8681,1350.2880,-0.3797,55.92,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,65.45,57.01,-0.3891,0.8681,1352.9360,-0.3891,55.90,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,65.55,57.12,-0.3975,0.8681,1355.4820,-0.3975,55.89,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,65.65,57.22,-0.4086,0.8681,1358.0460,-0.4086,55.87,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
