Time,X,Y,Z
0.35,0.0022,0.8588,-0.0074
0.46,0.0034,0.8693,-0.0089
0.56,0.0039,0.8733,-0.0079
0.66,0.0036,0.8723,-0.0054
0.76,0.0029,0.8699,-0.0034
0.87,0.0022,0.8677,-0.0019
0.97,0.0015,0.8666,-0.0013
1.08,0.0009,0.8663,-0.0012
1.18,0.0006,0.8667,0.0006
1.29,0.0004,0.8674,0.0086
1.39,0.0005,0.8685,0.0329
1.49,0.0005,0.8695,0.0834
1.59,0.0018,0.8698,0.1582
1.70,0.0066,0.8698,0.2639
1.80,0.0172,0.8700,0.3983
1.90,0.0408,0.8700,0.5975
2.01,0.0648,0.8701,0.7963
2.11,0.0878,0.8701,1.0257
2.21,0.1059,0.8699,1.2855
2.32,0.1217,0.8702,1.5752
2.42,0.1451,0.8701,1.9619
2.52,0.1766,0.8701,2.3157
2.63,0.2107,0.8703,2.6997
2.73,0.2439,0.8703,3.1132
2.83,0.2762,0.8702,3.5571
2.94,0.3095,0.8699,4.0307
3.04,0.3450,0.8706,4.5346
3.14,0.3803,0.8707,5.0683
3.24,0.4181,0.8691,5.6323
3.34,0.4553,0.8712,6.3468
3.44,0.4629,0.8694,6.9734
3.54,0.4610,0.8691,7.6291
3.64,0.4556,0.8702,8.3144
3.75,0.4519,0.8712,9.0165
3.85,0.4479,0.8711,9.7245
3.95,0.4443,0.8701,10.4322
4.05,0.4413,0.8687,11.1406
4.16,0.4389,0.8678,11.8500
