Time,X,Y,Z
0.35,0.0022,0.8588,-0.0074
0.46,0.0034,0.8693,-0.0089
0.56,0.0039,0.8733,-0.0079
0.66,0.0036,0.8723,-0.0054
0.77,0.0029,0.8699,-0.0034
0.87,0.0022,0.8677,-0.0019
0.97,0.0015,0.8666,-0.0013
1.08,0.0009,0.8663,-0.0012
1.18,0.0006,0.8667,-0.0016
1.29,0.0005,0.8671,-0.0020
1.39,0.0005,0.8674,-0.0024
1.50,0.0007,0.8676,-0.0026
1.61,0.0009,0.8676,-0.0027
1.72,0.0011,0.8675,-0.0026
1.83,0.0013,0.8675,-0.0025
1.93,0.0013,0.8674,-0.0024
2.04,0.0013,0.8674,-0.0024
2.15,0.0013,0.8674,-0.0024
2.25,0.0012,0.8674,-0.0024
2.36,0.0012,0.8674,-0.0024
2.46,0.0012,0.8674,-0.0024
2.56,0.0011,0.8674,-0.0024
2.66,0.0011,0.8674,-0.0024
2.77,0.0011,0.8675,-0.0007
2.87,0.0011,0.8678,0.0109
2.97,0.0011,0.8687,0.0398
3.08,0.0011,0.8703,0.0941
3.18,0.0014,0.8697,0.1751
3.28,0.0012,0.8698,0.3119
3.39,0.0013,0.8697,0.4588
3.50,0.0014,0.8697,0.6360
3.61,0.0012,0.8701,0.8875
3.71,0.0015,0.8702,1.1304
3.83,0.0014,0.8701,1.4615
3.93,0.0015,0.8703,1.7701
4.03,0.0015,0.8701,2.1092
4.14,0.0015,0.8701,2.4773
4.24,0.0016,0.8699,2.9598
4.34,0.0016,0.8703,3.3937
4.45,0.0017,0.8705,3.8584
4.56,0.0017,0.8709,4.3532
4.66,0.0018,0.8699,4.8770
4.76,0.0021,0.8699,5.5461
4.87,0.0016,0.8722,6.1375
4.97,0.0015,0.8708,6.7570
5.07,0.0016,0.8698,7.4067
5.18,0.0009,0.8703,8.2264
5.29,0.0009,0.8715,8.9430
5.39,0.0012,0.8705,9.6879
5.50,0.0010,0.8690,10.4637
5.60,0.0010,0.8717,11.4349
5.71,0.0011,0.8699,12.2753
5.82,0.0013,0.8703,13.1447
5.92,0.0016,0.8722,14.2289
6.02,0.0017,0.8722,15.1659
6.13,-0.0039,0.8695,16.1305
6.24,-0.0389,0.8711,17.1213
6.34,-0.1262,0.8647,18.3328
6.44,-0.2399,0.8708,19.3630
6.55,-0.4076,0.8694,20.3991
6.65,-0.6302,0.8670,21.4407
6.75,-0.9184,0.8702,22.4809
6.86,-1.3204,0.8683,23.7446
6.97,-1.6947,0.8725,24.8418
7.07,-2.0721,0.8719,25.9699
7.18,-2.4285,0.8725,27.1278
7.28,-2.8091,0.8694,28.5529
7.38,-3.0724,0.8720,29.7706
7.49,-3.2812,0.8670,31.0034
7.59,-3.4154,0.8762,32.2567
7.69,-3.4860,0.8823,33.5156
7.80,-3.4930,0.8885,34.7774
7.90,-3.4356,0.8942,36.0355
8.00,-3.3141,0.9002,37.2859
8.10,-3.0889,0.9050,38.7740
8.20,-2.8574,0.8925,40.0139
8.30,-2.5927,0.8591,41.2591
8.41,-2.2293,0.8665,42.4877
8.52,-1.8132,0.8763,43.7167
8.62,-1.2552,0.8686,45.1737
8.73,-0.7253,0.8658,46.3678
8.83,-0.1359,0.8718,47.5300
8.93,0.4938,0.8655,48.6671
9.03,1.1737,0.8693,49.7568
9.14,1.8894,0.8705,50.8084
9.24,2.4708,0.8987,51.5614
9.35,2.8167,0.8785,51.9636
9.45,3.1825,0.8668,52.3228
9.55,3.5423,0.8670,52.6477
9.65,3.8856,0.8669,52.9197
9.76,4.2046,0.8700,53.1402
9.86,4.5553,0.8665,53.3403
9.96,4.8113,0.8673,53.4583
10.06,5.0305,0.8698,53.5363
10.17,5.2070,0.8721,53.5851
10.28,5.3462,0.8670,53.6105
10.38,5.4560,0.8676,53.6085
10.48,5.4998,0.8672,53.5881
10.59,5.5123,0.8662,53.5755
10.70,5.5137,0.8653,53.5681
10.80,5.5226,0.8660,53.5454
10.91,5.5447,0.8681,53.5052
11.01,5.5816,0.8700,53.4448
11.12,5.6458,0.8698,53.3407
11.22,5.7182,0.8699,53.2275
11.32,5.7483,0.8759,53.1368
11.42,5.7473,0.8704,53.0941
11.53,5.7456,0.8675,53.0649
11.63,5.7474,0.8666,53.0418
11.73,5.7509,0.8677,53.0158
11.84,5.7542,0.8683,52.9901
11.94,5.7576,0.8689,52.9586
12.04,5.7606,0.8696,52.9301
12.14,5.7624,0.8694,52.9036
12.25,5.7641,0.8695,52.8774
12.35,5.7660,0.8693,52.8507
12.46,5.7676,0.8692,52.8270
12.56,5.7688,0.8691,52.8047
12.67,5.7693,0.8690,52.7935
12.77,5.7697,0.8684,52.7843
12.87,5.7702,0.8683,52.7716
12.97,5.7718,0.8686,52.7543
13.07,5.7738,0.8691,52.7343
13.17,5.7733,0.8699,52.7263
13.28,5.7682,0.8691,52.7293
13.38,5.7476,0.8662,52.7527
13.48,5.7113,0.8629,52.7927
13.59,5.6600,0.8642,52.8533
13.69,5.5837,0.8641,52.9327
13.80,5.4962,0.8644,53.0395
13.90,5.3973,0.8644,53.1758
14.00,5.2880,0.8646,53.3394
14.10,5.1440,0.8648,53.5733
14.21,5.0076,0.8645,53.7967
14.31,4.8566,0.8654,54.0445
14.42,4.6859,0.8642,54.3155
14.52,4.4497,0.8646,54.6668
14.63,4.2262,0.8643,54.9802
14.73,3.9784,0.8650,55.3118
14.83,3.7038,0.8648,55.6602
14.94,3.3993,0.8643,56.0219
15.04,2.9948,0.8659,56.4723
15.15,2.6213,0.8641,56.8555
15.25,2.2151,0.8663,57.2480
15.35,1.7732,0.8655,57.6426
15.45,1.2952,0.8665,58.0407
15.56,0.6708,0.8667,58.5125
15.67,0.1102,0.8649,58.8995
15.77,-0.4886,0.8663,59.2794
15.88,-1.1290,0.8660,59.6422
