Time,X,Y,Z,SpeedMPH
0.35,0.0000,1.1890,-0.0025,7.90
0.46,0.0000,0.8434,-0.0023,1.07
0.57,0.0050,0.8723,-0.0130,0.57
0.67,0.0070,0.8719,-0.0127,0.34
0.77,0.0046,0.8629,-0.0068,0.28
0.87,0.0027,0.8608,-0.0022,0.17
0.98,0.0012,0.8627,0.0006,0.08
1.09,0.0007,0.8649,0.0008,0.05
1.19,0.0008,0.8666,-0.0002,0.06
1.29,0.0012,0.8675,-0.0014,0.06
1.39,0.0017,0.8679,-0.0025,0.05
1.49,0.0023,0.8679,-0.0032,0.03
1.60,0.0028,0.8678,-0.0034,0.02
1.70,0.0031,0.8676,-0.0033,0.01
1.82,0.0033,0.8675,-0.0030,0.01
1.92,0.0032,0.8674,-0.0028,0.01
2.03,0.0031,0.8674,-0.0026,0.01
2.14,0.0029,0.8673,-0.0026,0.01
2.24,0.0027,0.8673,-0.0026,0.01
2.35,0.0026,0.8674,-0.0026,0.00
2.45,0.0026,0.8674,-0.0027,0.00
2.56,0.0025,0.8674,-0.0027,0.00
2.67,0.0026,0.8675,-0.0004,0.09
2.77,0.0026,0.8680,0.0164,0.45
2.88,0.0026,0.8692,0.0543,0.97
2.98,0.0027,0.8697,0.1338,1.80
3.09,0.0028,0.8699,0.2314,2.46
3.20,0.0028,0.8698,0.3596,3.14
3.30,0.0028,0.8698,0.5176,3.80
3.40,0.0029,0.8702,0.7465,4.60
3.51,0.0025,0.8700,0.9704,5.28
3.62,0.0029,0.8698,1.2235,5.90
3.72,0.0028,0.8699,1.4992,6.33
3.83,0.0027,0.8697,1.8462,6.58
3.93,0.0026,0.8691,2.1382,6.61
4.04,0.0025,0.8682,2.4303,6.60
4.16,0.0024,0.8672,2.7822,6.59
4.26,0.0023,0.8668,3.1352,6.59
4.37,0.0022,0.8669,3.4298,6.58
4.48,0.0021,0.8672,3.7271,6.68
4.58,0.0020,0.8681,4.0998,7.06
4.69,0.0019,0.8693,4.4339,7.60
4.79,0.0018,0.8695,4.7926,8.27
4.90,0.0017,0.8703,5.2616,9.09
5.00,0.0020,0.8702,5.6854,9.75
5.10,0.0014,0.8706,6.1392,10.43
5.21,0.0013,0.8703,6.6228,11.08
5.31,0.0012,0.8713,7.1361,11.70
5.41,0.0010,0.8711,7.6809,12.44
5.52,0.0009,0.8698,8.2543,13.13
5.62,0.0008,0.8711,8.9819,13.94
5.73,0.0007,0.8723,9.6224,14.58
5.83,0.0007,0.8704,10.2912,15.24
5.94,0.0015,0.8699,11.1340,16.05
6.04,-0.0002,0.8703,11.8687,16.64
6.15,-0.0008,0.8709,12.6340,17.38
6.25,-0.0012,0.8702,13.4282,18.06
6.35,-0.0016,0.8716,14.2518,18.65
6.45,-0.0018,0.8711,15.1071,19.38
6.55,-0.0021,0.8704,15.9910,20.06
6.66,-0.0024,0.8718,16.9039,20.65
6.76,-0.0028,0.8725,18.0409,21.52
6.86,-0.0033,0.8692,19.0208,22.19
6.98,-0.0036,0.8716,20.0268,22.75
7.08,-0.0041,0.8682,21.0567,23.18
7.18,-0.0043,0.8679,22.0979,23.38
7.29,-0.0046,0.8685,23.3500,23.41
7.40,-0.0049,0.8684,24.6027,23.40
7.51,-0.0053,0.8681,25.6475,23.39
7.62,-0.0056,0.8679,26.6929,23.38
7.72,-0.0060,0.8678,27.7382,23.38
7.82,-0.0065,0.8680,28.9923,23.37
7.93,-0.0068,0.8681,30.0370,23.37
8.04,-0.0073,0.8682,31.2903,23.36
8.15,-0.0076,0.8682,32.3345,23.35
8.26,-0.0080,0.8681,33.5875,23.37
8.37,-0.0084,0.8683,34.6379,23.55
8.48,-0.0087,0.8690,35.7016,23.83
8.59,-0.0092,0.8698,36.9864,23.98
8.70,-0.0095,0.8697,38.0564,23.99
8.80,-0.0099,0.8689,39.1264,23.98
8.90,-0.0103,0.8680,40.4112,23.97
9.01,-0.0106,0.8677,41.4822,23.96
9.12,-0.0110,0.8677,42.5532,23.95
9.22,-0.0114,0.8679,43.6240,23.95
9.32,-0.0118,0.8681,44.9086,23.94
9.43,-0.0122,0.8681,45.9771,23.87
9.54,-0.0126,0.8676,47.2454,23.57
9.65,-0.0129,0.8668,48.2904,23.30
9.75,-0.0133,0.8659,49.3176,22.84
9.86,-0.0136,0.8631,50.3205,22.20
9.97,-0.0142,0.8614,51.4900,21.50
10.07,-0.0149,0.8632,52.4347,20.91
10.18,-0.0157,0.8616,53.3577,20.44
10.28,-0.0167,0.8605,54.4448,20.15
10.39,-0.0174,0.8603,55.3461,20.10
10.49,-0.0180,0.8638,56.2479,20.09
10.60,-0.0187,0.8677,57.3283,20.08
10.72,-0.0192,0.8692,58.2233,19.96
10.82,-0.0196,0.8687,59.2876,19.84
10.93,-0.0199,0.8680,60.1745,19.83
11.04,-0.0202,0.8677,61.0615,19.82
11.15,-0.0205,0.8677,62.1208,19.67
11.25,-0.0208,0.8675,62.9941,19.53
11.36,-0.0211,0.8673,63.8670,19.51
11.47,-0.0214,0.8675,64.9147,19.50
11.57,-0.0217,0.8680,65.7873,19.50
11.68,-0.0219,0.8682,66.6590,19.48
11.78,-0.0222,0.8681,67.5242,19.30
11.88,-0.0226,0.8671,68.5405,18.80
11.99,-0.0228,0.8643,69.3609,18.24
12.10,-0.0232,0.8619,70.1558,17.50
12.21,-0.1110,0.8922,70.7091,7.29
12.32,-0.2154,0.8927,71.0023,6.85
12.42,-0.3137,0.8689,71.3423,6.42
12.53,-0.3262,0.8676,71.6272,6.34
12.64,-0.2981,0.8664,71.9058,6.23
12.75,-0.2335,0.8665,72.2325,6.21
12.85,-0.1723,0.8664,72.5030,6.20
12.96,-0.0977,0.8669,72.8272,6.20
13.07,-0.0421,0.8673,73.0987,6.20
13.18,0.0037,0.8677,73.3772,6.36
13.29,0.0466,0.8670,73.7280,6.79
13.39,0.0694,0.8672,74.0472,7.40
13.50,0.0868,0.8678,74.4699,8.20
13.62,0.0989,0.8694,74.8564,8.86
13.73,0.0961,0.8700,75.3573,9.63
13.84,0.0808,0.8695,75.8063,10.33
13.95,0.0613,0.8701,76.3868,11.13
14.06,0.0549,0.8702,76.8976,11.68
14.17,0.0753,0.8693,77.5295,11.99
14.27,0.1118,0.8669,78.0618,12.01
14.39,0.1755,0.8673,78.7019,12.01
14.50,0.2420,0.8679,79.3521,12.28
14.60,0.2978,0.8692,79.9129,12.70
14.72,0.3555,0.8708,80.4950,13.22
14.83,0.4282,0.8706,81.2246,14.00
14.94,0.4872,0.8717,81.8671,14.67
15.04,0.5685,0.8705,82.6736,15.39
15.16,0.6588,0.8697,83.3653,15.81
15.27,0.7676,0.8698,84.2127,16.02
15.38,0.8467,0.8693,84.9223,16.01
15.48,0.9166,0.8684,85.7734,15.94
15.59,0.9705,0.8666,86.4834,15.93
15.69,1.0185,0.8669,87.1936,15.93
15.80,1.0486,0.8676,87.9041,15.90
15.91,1.0764,0.8673,88.7571,15.89
16.01,1.0993,0.8675,89.4670,15.90
16.13,1.1234,0.8680,90.3188,15.89
16.23,1.1424,0.8682,91.0285,15.89
16.34,1.1614,0.8682,91.7383,15.88
16.44,1.1747,0.8682,92.5898,15.87
16.54,1.1646,0.8681,93.2973,15.80
16.64,1.1455,0.8664,93.9990,15.60
16.76,1.1194,0.8665,94.6829,15.22
16.86,1.0951,0.8648,95.3473,14.81
16.97,1.0611,0.8639,96.1312,14.56
17.07,1.0322,0.8651,96.7836,14.54
17.18,0.9979,0.8672,97.5662,14.54
17.28,0.9732,0.8685,98.2171,14.54
17.40,0.9644,0.8689,98.8666,14.51
17.50,0.9682,0.8659,99.5137,14.49
17.60,0.9742,0.8646,100.2908,14.49
17.72,0.9804,0.8658,100.9381,14.48
17.83,0.9901,0.8676,101.7148,14.48
17.93,0.9985,0.8684,102.3618,14.47
18.04,1.0066,0.8686,103.0088,14.47
18.15,1.0153,0.8684,103.7849,14.47
18.25,1.0217,0.8682,104.4315,14.46
18.35,1.0273,0.8681,105.0779,14.46
18.46,1.0323,0.8681,105.7243,14.46
18.57,1.0379,0.8681,106.4997,14.45
18.68,1.0431,0.8681,107.2749,14.45
18.79,1.0474,0.8681,107.9207,14.45
18.89,1.0517,0.8681,108.5664,14.44
