Time,X,Y,Z,SpeedMPH
0.35,0.0022,0.8588,-0.0074,0.35
0.45,0.0034,0.8693,-0.0089,0.18
0.56,0.0039,0.8733,-0.0079,0.08
0.66,0.0037,0.8727,-0.0059,0.10
0.76,0.0029,0.8699,-0.0034,0.10
0.87,0.0022,0.8677,-0.0019,0.07
0.97,0.0015,0.8666,-0.0013,0.03
1.07,0.0009,0.8664,0.0007,0.08
1.17,0.0006,0.8670,0.0122,0.29
1.27,0.0004,0.8683,0.0411,0.74
1.38,0.0000,0.8704,0.0965,1.40
1.48,0.0008,0.8699,0.1981,2.24
1.59,0.0013,0.8699,0.3161,2.90
1.69,0.0039,0.8698,0.4636,3.57
1.79,0.0143,0.8696,0.6408,4.23
1.89,0.0343,0.8700,0.8451,4.86
2.00,0.0671,0.8695,1.0773,5.52
2.10,0.1100,0.8696,1.3374,6.16
2.20,0.1654,0.8693,1.6258,6.83
2.30,0.2328,0.8696,1.9412,7.48
2.40,0.3333,0.8697,2.3551,8.26
2.50,0.4354,0.8695,2.7287,8.93
2.60,0.5547,0.8695,3.1270,9.57
2.71,0.6952,0.8692,3.5497,10.23
2.81,0.8569,0.8692,3.9947,10.87
2.92,1.0446,0.8702,4.4613,11.51
3.02,1.2597,0.8678,4.9470,12.14
3.12,1.4804,0.8686,5.4595,12.62
3.22,1.7287,0.8705,6.0979,12.88
3.32,1.9088,0.8684,6.6401,12.81
3.43,2.0653,0.8663,7.1877,12.69
3.54,2.1827,0.8664,7.7401,12.62
3.64,2.2856,0.8672,8.4070,12.57
3.75,2.3448,0.8674,8.9643,12.53
3.85,2.3805,0.8665,9.5219,12.50
3.95,2.3945,0.8671,10.0802,12.49
4.06,2.3952,0.8678,10.6384,12.51
4.16,2.3879,0.8682,11.1974,12.51
4.26,2.3624,0.8664,11.7548,12.46
4.36,2.3125,0.8671,12.4212,12.48
4.46,2.2715,0.8678,12.9774,12.49
4.57,2.2353,0.8683,13.5341,12.48
4.67,2.2005,0.8684,14.0908,12.48
4.77,2.1609,0.8683,14.6470,12.47
4.87,2.1077,0.8682,15.2010,12.44
4.97,2.0349,0.8675,15.7502,12.36
5.07,1.9438,0.8674,16.2917,12.26
5.17,1.8249,0.8698,16.8255,12.21
5.28,1.6743,0.8680,17.3473,12.17
5.38,1.5078,0.8677,17.8642,12.13
5.48,1.3211,0.8664,18.3723,12.13
5.59,1.0898,0.8684,18.9797,12.16
5.69,0.8975,0.8698,19.4877,12.16
5.79,0.7104,0.8687,19.9986,12.15
5.90,0.5256,0.8680,20.5095,12.15
6.00,0.3434,0.8679,21.0210,12.15
6.10,0.1280,0.8679,21.6357,12.14
6.20,-0.0493,0.8680,22.1486,12.14
6.30,-0.2251,0.8681,22.6619,12.14
6.41,-0.4001,0.8681,23.1754,12.13
6.51,-0.5748,0.8682,23.6888,12.13
6.61,-0.7495,0.8681,24.2022,12.13
6.71,-0.9244,0.8681,24.7153,12.13
6.81,-1.1004,0.8687,25.2282,12.12
6.91,-1.2749,0.8702,25.7416,12.12
7.02,-1.4507,0.8690,26.2536,12.12
7.12,-1.6268,0.8682,26.7656,12.12
7.22,-1.8385,0.8678,27.3798,12.11
7.32,-2.0134,0.8678,27.8922,12.11
7.42,-2.1767,0.8680,28.4076,12.08
7.52,-2.3226,0.8699,28.9248,12.03
7.63,-2.4472,0.8666,29.4461,11.92
7.73,-2.5339,0.8671,29.9691,11.86
7.83,-2.5990,0.8676,30.4936,11.82
7.93,-2.6401,0.8671,31.0188,11.79
8.04,-2.6625,0.8664,31.5448,11.76
8.14,-2.6616,0.8677,32.0697,11.74
8.24,-2.6420,0.8672,32.5933,11.72
8.34,-2.5921,0.8675,33.2188,11.70
8.45,-2.5289,0.8671,33.7368,11.67
8.55,-2.4467,0.8670,34.2513,11.65
8.65,-2.3441,0.8667,34.7608,11.64
8.75,-2.2238,0.8664,35.2657,11.62
8.85,-2.0858,0.8669,35.7649,11.59
8.96,-1.9300,0.8705,36.2594,11.57
9.06,-1.7537,0.8691,36.7435,11.56
9.16,-1.5226,0.8676,37.3173,11.53
