Time,X,Y,Z
0.35,0.0022,0.8588,-0.0074
0.45,0.0034,0.8693,-0.0089
0.56,0.0039,0.8733,-0.0079
0.66,0.0036,0.8723,-0.0054
0.76,0.0029,0.8699,-0.0034
0.86,0.0022,0.8678,-0.0007
0.97,0.0015,0.8670,0.0116
1.07,0.0009,0.8677,0.0425
1.17,-0.0007,0.8698,0.0980
1.27,0.0006,0.8697,0.1788
1.38,0.0020,0.8698,0.2899
1.48,0.0097,0.8699,0.4308
1.58,0.0305,0.8696,0.6368
1.68,0.0584,0.8698,0.8392
1.79,0.0960,0.8697,1.0707
1.89,0.1386,0.8701,1.3321
1.99,0.1815,0.8701,1.6237
2.09,0.2205,0.8702,1.9461
2.20,0.2556,0.8699,2.2988
2.30,0.2906,0.8704,2.6818
2.40,0.3349,0.8702,3.1808
2.51,0.3727,0.8705,3.6295
2.61,0.4134,0.8701,4.1078
2.71,0.4564,0.8700,4.6157
2.82,0.5040,0.8700,5.1552
2.92,0.5639,0.8712,5.7206
3.02,0.6511,0.8708,6.4374
3.12,0.7275,0.8700,7.0681
3.23,0.8050,0.8705,7.7274
3.33,0.8849,0.8710,8.4179
3.43,0.9688,0.8699,9.1373
3.54,1.0537,0.8704,9.8865
3.64,1.1503,0.8705,10.6635
3.74,1.2894,0.8696,11.6315
3.85,1.4097,0.8711,12.4737
3.95,1.5364,0.8708,13.3418
4.05,1.6674,0.8686,14.2395
4.15,1.8036,0.8725,15.1683
4.26,1.9438,0.8718,16.1245
4.36,2.1105,0.8689,17.3115
4.47,2.2272,0.8698,18.3303
4.57,2.3125,0.8673,19.3657
4.68,2.3687,0.8677,20.4167
4.78,2.4045,0.8681,21.4719
4.88,2.4353,0.8660,22.7378
4.98,2.4413,0.8674,23.7941
5.08,2.4291,0.8656,24.8479
5.18,2.4088,0.8646,25.9014
5.28,2.3818,0.8658,26.9546
5.39,2.3499,0.8673,28.0075
5.68,2.2429,0.8685,30.9538
5.78,2.1927,0.8683,32.2157
5.88,2.1499,0.8681,33.2669
6.00,2.0982,0.8681,34.5282
6.12,2.0551,0.8681,35.5789
6.22,2.0035,0.8681,36.8395
6.33,1.9607,0.8681,37.8898
6.43,1.9182,0.8681,38.9398
6.53,1.8759,0.8681,39.9896
6.63,1.8338,0.8681,41.0392
6.74,1.7918,0.8681,42.0885
6.84,1.7504,0.8686,43.1379
6.94,1.6999,0.8710,44.3972
7.04,1.6575,0.8717,45.4460
7.14,1.6145,0.8697,46.4935
7.24,1.5734,0.8697,47.5390
7.35,1.5230,0.8696,48.5749
7.45,1.4510,0.8692,49.5964
7.55,1.3481,0.8701,50.6049
7.67,1.1728,0.8723,51.7872
7.77,0.9811,0.8642,52.7570
7.87,0.7308,0.8712,53.7044
7.98,0.4512,0.8627,54.6380
8.08,0.1125,0.8598,55.7562
8.18,-0.1495,0.8629,56.6907
8.28,-0.3899,0.8705,57.6272
8.38,-0.5936,0.8672,58.5612
8.48,-0.7538,0.8663,59.4991
8.59,-0.8571,0.8672,60.4364
8.69,-0.9114,0.8705,61.3720
8.80,-0.9086,0.8684,62.4899
8.91,-0.8462,0.8683,63.4200
9.01,-0.7368,0.8686,64.3619
9.11,-0.5902,0.8684,65.3266
9.21,-0.4186,0.8685,66.3201
9.31,-0.2265,0.8682,67.3413
9.41,-0.0183,0.8697,68.3892
9.52,0.2062,0.8720,69.4653
9.62,0.4419,0.8690,70.5658
9.72,0.7283,0.8734,71.9280
9.82,0.9564,0.8695,73.0917
9.93,1.1465,0.8701,74.2863
10.03,1.3049,0.8698,75.5042
10.13,1.4128,0.8702,76.7408
10.23,1.4672,0.8667,77.9907
10.34,1.4598,0.8678,79.2576
10.44,1.3846,0.8751,80.5344
10.54,1.2117,0.8847,82.0619
10.65,0.9964,0.8905,83.3273
10.75,0.7458,0.8757,84.5971
10.85,0.4484,0.8610,85.8781
10.95,0.0831,0.8745,87.1853
11.05,-0.3019,0.8693,88.5145
11.16,-0.6822,0.8709,89.8911
11.26,-1.1201,0.8722,91.5645
11.36,-1.4882,0.8629,92.9621
11.47,-1.8645,0.8611,94.3559
11.57,-2.2664,0.8701,95.7382
11.67,-2.6891,0.8670,97.1024
11.77,-3.1628,0.8737,98.4395
11.88,-3.6534,0.8625,99.7705
11.98,-4.1619,0.8600,101.1008
12.08,-4.7477,0.8642,102.7033
12.18,-5.2050,0.8716,104.0435
12.29,-5.6260,0.8696,105.3825
12.40,-6.0578,0.8722,106.9996
12.50,-6.3570,0.8689,108.3505
12.61,-6.5842,0.8728,109.7021
12.71,-6.7522,0.8715,111.0487
12.81,-6.8615,0.8680,112.3892
12.92,-6.8562,0.8786,113.6900
13.02,-6.8212,0.8673,114.9800
13.12,-6.6935,0.8715,116.5062
13.22,-6.5362,0.8689,117.7605
13.32,-6.3318,0.8659,118.9998
13.43,-6.0611,0.8738,120.2135
13.53,-5.7500,0.8706,121.4078
13.63,-5.3747,0.8746,122.5710
13.73,-4.9505,0.8794,123.7041
13.83,-4.5158,0.8574,124.8335
13.93,-4.0562,0.8583,125.9469
14.04,-3.6225,0.8623,127.0648
14.14,-3.1720,0.8713,128.1722
14.24,-2.6057,0.8716,129.4907
14.35,-2.1092,0.8690,130.5832
14.45,-1.6175,0.8629,131.6853
14.55,-1.1432,0.8632,132.7909
14.66,-0.6915,0.8724,133.8942
14.76,-0.2848,0.8670,134.9912
14.86,0.1348,0.8686,136.2838
14.97,0.4336,0.8664,137.3413
15.07,0.7079,0.8668,138.3744
15.17,0.9546,0.8673,139.3832
15.29,1.2142,0.8679,140.5657
15.39,1.3931,0.8736,141.5283
15.49,1.5523,0.8677,142.4598
15.60,1.6993,0.8661,143.3627
15.70,1.8325,0.8652,144.2374
15.80,1.9538,0.8629,145.0867
15.90,2.0860,0.8644,146.0663
16.01,2.1896,0.8640,146.8492
16.11,2.2820,0.8646,147.6007
16.21,2.3498,0.8644,148.3270
16.32,2.3849,0.8670,149.0244
16.42,2.3800,0.8691,149.8206
16.52,2.3532,0.8652,150.4487
16.63,2.3218,0.8662,151.0440
16.73,2.2895,0.8634,151.6083
16.83,2.2566,0.8630,152.1472
16.93,2.2295,0.8641,152.6518
17.03,2.2057,0.8637,153.1258
17.14,2.1839,0.8635,153.5677
17.24,2.1597,0.8638,154.0554
17.34,2.1412,0.8639,154.4266
17.44,2.1241,0.8636,154.7659
17.55,2.1084,0.8639,155.0729
17.65,2.0943,0.8640,155.3478
17.75,2.0817,0.8641,155.5908
17.86,2.0706,0.8639,155.8020
17.96,2.0612,0.8641,155.9808
18.06,2.0535,0.8642,156.1277
18.16,2.0464,0.8641,156.2619
18.26,2.0423,0.8643,156.3380
18.37,2.0400,0.8643,156.3832
18.47,2.0395,0.8645,156.3962
18.57,2.0404,0.8639,156.3779
18.67,2.0441,0.8641,156.3271
18.77,2.0474,0.8642,156.2444
18.87,2.0546,0.8643,156.1279
18.97,2.0623,0.8643,155.9796
19.08,2.0731,0.8644,155.8014
19.18,2.0847,0.8641,155.5933
19.28,2.1012,0.8644,155.3039
19.38,2.1167,0.8646,155.0304
19.48,2.1340,0.8644,154.7265
19.58,2.1527,0.8641,154.3928
19.69,2.1735,0.8648,154.0297
19.79,2.1959,0.8647,153.6365
19.89,2.2199,0.8647,153.2135
20.00,2.2455,0.8650,152.7605
20.10,2.2728,0.8651,152.2775
20.20,2.3018,0.8647,151.7646
20.30,2.3388,0.8654,151.1094
20.40,2.3702,0.8656,150.5298
20.50,2.3911,0.8661,149.9233
20.61,2.4101,0.8639,149.2843
20.71,2.4419,0.8681,148.6181
20.81,2.4862,0.8651,147.9247
20.91,2.5400,0.8656,147.1989
21.02,2.6038,0.8651,146.4443
21.12,2.6827,0.8661,145.6634
21.22,2.7742,0.8665,144.6843
21.32,2.8442,0.8641,143.8382
21.43,2.9188,0.8672,142.9600
21.53,2.9920,0.8671,142.0534
21.63,3.0585,0.8654,141.1173
21.74,3.1256,0.8667,140.1492
21.85,3.2033,0.8662,138.9518
21.95,3.2587,0.8642,137.9205
22.05,3.3080,0.8666,136.8587
22.16,3.3383,0.8662,135.7706
22.26,3.3493,0.8676,134.4234
22.37,3.3417,0.8665,133.2703
22.47,3.3267,0.8667,132.0824
22.57,3.3055,0.8629,130.8668
22.67,3.2733,0.8662,129.6223
22.78,3.2349,0.8662,128.3488
22.88,3.1867,0.8655,127.0449
22.98,3.1367,0.8663,125.4432
23.08,3.0823,0.8671,124.0767
23.18,3.0201,0.8651,122.6819
23.29,2.9290,0.8676,121.2605
23.39,2.8221,0.8652,119.8127
23.49,2.6991,0.8680,118.3328
23.59,2.5638,0.8656,116.8260
23.70,2.4164,0.8673,115.2874
23.80,2.2283,0.8634,113.4054
23.90,2.0663,0.8702,111.8067
24.01,1.9022,0.8659,110.1756
24.11,1.7403,0.8715,108.5161
24.21,1.5955,0.8749,106.8306
24.32,1.4494,0.8652,105.1181
24.42,1.2804,0.8694,103.3695
24.52,1.0524,0.8701,101.2463
24.62,0.8268,0.8683,99.4528
24.74,0.5005,0.8688,97.2737
24.84,0.1848,0.8664,95.4422
24.94,-0.1657,0.8674,93.5894
25.04,-0.4937,0.8741,91.6969
25.15,-0.7626,0.8939,89.7885
25.25,-0.9700,0.9128,87.8672
25.35,-1.1199,0.9348,85.9396
25.46,-1.2138,0.9545,84.0139
25.56,-1.2550,0.9720,82.0950
25.66,-1.2371,0.9923,79.8099
25.76,-1.1736,1.0079,77.9267
25.87,-1.0744,1.0205,76.0629
25.97,-0.9428,1.0336,74.2076
26.07,-0.7805,1.0470,72.3546
26.18,-0.5954,1.0329,70.5020
26.28,-0.3557,0.9652,68.2840
26.38,-0.1430,0.8678,66.4613
26.49,0.1112,0.8512,64.7839
26.59,0.3736,0.8789,63.2232
26.69,0.6272,0.8971,61.7020
26.79,0.8614,0.9006,60.2152
26.90,1.0801,0.8936,58.7606
27.00,1.3129,0.8679,57.0577
27.10,1.4351,0.8723,55.7020
27.20,1.4936,0.8888,54.3829
27.31,1.5477,0.8737,53.0702
27.41,1.5761,0.8546,51.7802
27.52,1.5894,0.8603,50.5301
27.62,1.6129,0.8658,49.3042
27.72,1.6279,0.8592,48.0993
27.82,1.6146,0.8744,46.6719
27.92,1.5606,0.8773,45.4861
28.03,1.4715,0.8652,44.2985
28.13,1.3282,0.8705,43.0943
28.23,1.1431,0.8717,41.8764
28.33,0.9191,0.8692,40.6486
28.44,0.6642,0.8667,39.3983
28.54,0.4062,0.8709,38.1167
28.64,0.1636,0.8722,36.8179
28.74,-0.0444,0.8694,35.4945
28.84,-0.2629,0.8668,33.8698
28.94,-0.4078,0.8665,32.4927
29.05,-0.5209,0.8679,31.1077
29.16,-0.6102,0.8670,29.4446
29.26,-0.6576,0.8676,28.0588
29.36,-0.6837,0.8669,26.6733
29.47,-0.6924,0.8655,25.2885
29.57,-0.6868,0.8663,23.9041
29.67,-0.6724,0.8673,22.5204
29.77,-0.6516,0.8680,21.1371
29.87,-0.6254,0.8682,19.7542
29.97,-0.5958,0.8683,18.3711
30.08,-0.5814,0.8684,16.9818
30.18,-0.5942,0.8701,15.3039
30.29,-0.6252,0.8647,13.8838
30.39,-0.6785,0.8685,12.4326
30.49,-0.7534,0.8693,10.9518
30.60,-0.8575,0.8702,9.4489
30.70,-1.0186,0.8682,7.6089
30.80,-1.1675,0.8690,6.0418
30.90,-1.3367,0.8713,4.4451
31.00,-1.5190,0.8716,2.8211
31.11,-1.7165,0.8702,1.1723
31.21,-1.9495,0.8720,-0.4967
31.31,-2.2002,0.8670,-2.1920
31.42,-2.4726,0.8723,-3.9195
31.52,-2.7810,0.8668,-5.6610
31.62,-3.1970,0.8679,-7.7795
31.72,-3.5746,0.8674,-9.5750
31.83,-3.9878,0.8696,-11.3896
31.93,-4.4417,0.8689,-13.2199
32.03,-4.9216,0.8680,-15.0771
32.13,-5.4354,0.8698,-16.9574
32.23,-5.9863,0.8697,-18.8498
32.33,-6.5834,0.8679,-20.7495
32.44,-7.2340,0.8676,-22.6464
32.54,-7.9504,0.8750,-24.5327
32.64,-8.7164,0.8757,-26.4045
32.74,-9.7068,0.8696,-28.6224
32.84,-10.6055,0.8721,-30.4389
32.95,-11.5099,0.9609,-32.1892
33.05,-12.2853,1.1355,-33.9083
33.15,-13.0685,1.2076,-35.6300
33.26,-13.8530,1.1825,-37.3519
33.36,-14.6511,1.0646,-39.0622
33.46,-15.6518,0.9532,-40.9551
33.56,-16.5038,0.9076,-42.6525
33.67,-17.4329,0.8522,-44.3457
33.77,-18.4560,0.8769,-45.9341
