ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,SpeedMPH
,Night,0,Practice,Unexpected,Red,Right,1.73,0.00,0.0000,1.0608,-0.0025,1.76
,Night,0,Practice,Unexpected,Red,Right,1.84,0.10,0.0000,0.9234,-0.0025,3.95
,Night,0,Practice,Unexpected,Red,Right,1.94,0.21,0.0005,0.8465,-0.0037,0.46
,Night,0,Practice,Unexpected,Red,Right,2.05,0.32,0.0028,0.8638,-0.0085,0.29
,Night,0,Practice,Unexpected,Red,Right,2.16,0.43,0.0037,0.8715,-0.0106,0.12
,Night,0,Practice,Unexpected,Red,Right,2.26,0.53,0.0046,0.8737,0.0034,0.44
,Night,0,Practice,Unexpected,Red,Right,2.36,0.63,0.0076,0.8717,0.0402,1.01
,Night,0,Practice,Unexpected,Red,Right,2.47,0.74,0.0134,0.8694,0.1032,1.68
,Night,0,Practice,Unexpected,Red,Right,2.57,0.84,0.0252,0.8699,0.1955,2.34
,Night,0,Practice,Unexpected,Red,Right,2.68,0.95,0.0425,0.8699,0.3163,3.00
,Night,0,Practice,Unexpected,Red,Right,2.78,1.05,0.0715,0.8698,0.4998,3.79
,Night,0,Practice,Unexpected,Red,Right,2.89,1.16,0.1027,0.8699,0.6850,4.46
,Night,0,Practice,Unexpected,Red,Right,2.99,1.26,0.1355,0.8699,0.9004,5.15
,Night,0,Practice,Unexpected,Red,Right,3.09,1.36,0.1603,0.8697,1.1454,5.79
,Night,0,Practice,Unexpected,Red,Right,3.20,1.47,0.1724,0.8693,1.4206,6.44
,Night,0,Practice,Unexpected,Red,Right,3.30,1.57,0.1684,0.8690,1.7875,7.18
,Night,0,Practice,Unexpected,Red,Right,3.41,1.67,0.1469,0.8686,2.1227,7.80
,Night,0,Practice,Unexpected,Red,Right,3.51,1.78,0.1094,0.8683,2.4866,8.45
,Night,0,Practice,Unexpected,Red,Right,3.61,1.88,0.0734,0.8679,2.8815,9.09
,Night,0,Practice,Unexpected,Red,Right,3.71,1.98,0.0497,0.8708,3.3035,9.67
,Night,0,Practice,Unexpected,Red,Right,3.82,2.08,0.0475,0.8684,3.7492,10.30
,Night,0,Practice,Unexpected,Red,Right,3.92,2.19,0.0803,0.8676,4.3187,10.97
,Night,0,Practice,Unexpected,Red,Right,4.02,2.29,0.1377,0.8684,4.8212,11.59
,Night,0,Practice,Unexpected,Red,Right,4.12,2.39,0.2212,0.8677,5.3490,12.18
,Night,0,Practice,Unexpected,Red,Right,4.23,2.49,0.2924,0.8664,5.9139,12.85
,Night,0,Practice,Unexpected,Red,Right,4.33,2.59,0.3555,0.8761,6.5004,13.41
,Night,0,Practice,Unexpected,Red,Right,4.43,2.69,0.3937,0.8697,7.1051,13.84
,Night,0,Practice,Unexpected,Red,Right,4.53,2.80,0.3959,0.8677,7.7363,14.37
,Night,0,Practice,Unexpected,Red,Right,4.63,2.90,0.3600,0.8673,8.3938,14.96
,Night,0,Practice,Unexpected,Red,Right,4.74,3.00,0.2851,0.8672,9.0789,15.63
,Night,0,Practice,Unexpected,Red,Right,4.84,3.10,0.1872,0.8649,9.7916,16.38
,Night,0,Practice,Unexpected,Red,Right,4.94,3.21,0.0871,0.8711,10.6897,17.07
,Night,0,Practice,Unexpected,Red,Right,5.04,3.31,0.0238,0.8712,11.4588,17.51
,Night,0,Practice,Unexpected,Red,Right,5.14,3.41,-0.0024,0.8690,12.2495,18.01
,Night,0,Practice,Unexpected,Red,Right,5.25,3.51,0.0080,0.8682,13.0627,18.48
,Night,0,Practice,Unexpected,Red,Right,5.35,3.62,0.0659,0.8683,13.8968,18.92
,Night,0,Practice,Unexpected,Red,Right,5.45,3.72,0.1706,0.8677,14.7505,19.48
,Night,0,Practice,Unexpected,Red,Right,5.56,3.82,0.3236,0.8695,15.6238,20.08
,Night,0,Practice,Unexpected,Red,Right,5.66,3.93,0.5001,0.8659,16.5278,20.96
,Night,0,Practice,Unexpected,Red,Right,5.76,4.03,0.7146,0.8726,17.6621,21.70
,Night,0,Practice,Unexpected,Red,Right,5.87,4.13,0.8715,0.8697,18.6307,22.21
,Night,0,Practice,Unexpected,Red,Right,5.97,4.24,1.0014,0.8657,19.6254,22.76
