Time,X,Y,Z,SpeedMPH
0.35,0.0022,0.8588,-0.0074,0.35
0.46,0.0036,0.8706,-0.0089,0.15
0.56,0.0039,0.8735,-0.0076,0.08
0.67,0.0036,0.8723,-0.0054,0.10
0.77,0.0029,0.8699,-0.0034,0.10
0.88,0.0022,0.8677,-0.0019,0.07
0.98,0.0014,0.8665,-0.0012,0.03
1.09,0.0009,0.8663,-0.0013,0.02
1.20,0.0005,0.8667,-0.0017,0.02
1.30,0.0005,0.8672,-0.0021,0.02
1.41,0.0006,0.8674,-0.0024,0.01
1.52,0.0007,0.8676,-0.0026,0.01
1.63,0.0010,0.8676,-0.0012,0.06
1.73,0.0012,0.8679,0.0094,0.30
1.83,0.0020,0.8687,0.0388,0.77
1.94,0.0037,0.8701,0.0919,1.36
2.04,0.0134,0.8699,0.1901,2.17
2.14,0.0283,0.8697,0.3042,2.83
2.25,0.0458,0.8697,0.4480,3.52
2.36,0.0646,0.8699,0.6222,4.18
2.46,0.0828,0.8702,0.8714,4.99
2.56,0.0942,0.8702,1.1120,5.66
2.67,0.1057,0.8701,1.3828,6.32
2.78,0.1251,0.8700,1.6827,6.99
2.88,0.1577,0.8701,2.0094,7.61
2.98,0.2105,0.8691,2.3613,8.24
3.08,0.2983,0.8686,2.8169,9.00
3.19,0.3915,0.8683,3.2244,9.63
3.31,0.5321,0.8685,3.7466,10.40
3.43,0.7052,0.8684,4.3027,11.18
3.55,0.8770,0.8714,4.9072,11.96
3.65,1.0056,0.8689,5.4374,12.53
3.76,1.1129,0.8688,5.9980,13.09
3.86,1.1935,0.8675,6.5901,13.55
3.96,1.2470,0.8669,7.3413,14.31
4.06,1.2559,0.8678,8.0000,15.03
4.17,1.2353,0.8682,8.6857,15.64
4.27,1.1822,0.8683,9.3973,16.19
4.37,1.1013,0.8674,10.1368,16.88
4.47,1.0035,0.8687,10.9082,17.62
4.58,0.8970,0.8708,11.7106,18.30
4.68,0.7838,0.8717,12.5402,18.93
4.78,0.6426,0.8721,13.5736,19.77
4.89,0.5221,0.8701,14.4670,20.45
4.99,0.3973,0.8722,15.3895,21.05
5.10,0.2692,0.8707,16.3425,21.75
5.20,0.1278,0.8694,17.5234,22.48
5.30,0.0452,0.8722,18.5382,23.05
5.41,-0.0070,0.8676,19.5723,23.44
5.51,-0.0110,0.8695,20.6266,23.66
5.61,0.0369,0.8675,21.6927,24.00
5.72,0.1491,0.8712,22.7697,24.32
5.83,0.3590,0.8709,24.0627,24.61
5.93,0.6091,0.8765,25.1355,24.72
6.03,0.9019,0.8698,26.2064,24.95
6.14,1.2403,0.8685,27.3004,26.03
6.24,1.6939,0.8699,28.6590,26.96
6.34,2.0604,0.8736,29.8251,27.55
6.45,2.3971,0.8731,31.0005,27.47
6.56,2.6895,0.8675,32.1890,27.36
6.66,2.9208,0.8714,33.3887,27.32
6.76,3.0940,0.8683,34.5961,27.34
6.86,3.2120,0.8696,36.0611,27.47
6.97,3.2391,0.8704,37.2880,27.49
7.07,3.2020,0.8692,38.5140,27.47
7.18,3.0972,0.8694,39.7356,27.50
7.28,2.8951,0.8694,41.2078,28.00
7.39,2.6719,0.8686,42.4494,28.54
7.49,2.4039,0.8676,43.7086,29.01
7.59,2.0892,0.8683,44.9855,29.66
7.70,1.7582,0.8715,46.3157,31.00
7.80,1.4288,0.8788,47.6816,31.64
7.91,1.0907,0.8783,49.3677,32.52
8.01,0.8442,0.8775,50.8052,32.77
8.11,0.6169,0.8621,52.2764,33.75
8.22,0.4432,0.8737,53.7939,34.37
8.32,0.2437,0.8643,55.6459,35.09
8.43,0.0584,0.8691,57.2227,35.69
8.53,-0.1050,0.8738,58.8306,36.28
8.64,-0.2980,0.8712,60.7848,36.89
8.74,-0.4217,0.8676,62.4278,37.04
8.85,-0.5113,0.8717,64.0748,36.91
8.95,-0.5978,0.8632,65.7255,36.92
9.06,-0.6761,0.8623,67.3739,36.91
9.16,-0.7436,0.8653,69.3513,36.90
9.26,-0.7848,0.8691,70.9990,36.87
9.37,-0.8079,0.8672,72.6453,36.81
9.47,-0.8063,0.8673,74.2904,36.80
9.58,-0.7955,0.8653,75.9349,36.79
9.69,-0.7621,0.8652,77.9074,36.77
