Time,X,Y,Z,SpeedMPH
0.35,0.0022,0.8588,-0.0074,0.35
0.45,0.0034,0.8693,-0.0089,0.18
0.56,0.0039,0.8733,-0.0079,0.08
0.66,0.0037,0.8727,-0.0059,0.10
0.76,0.0031,0.8704,-0.0037,0.10
0.86,0.0022,0.8677,-0.0019,0.07
0.97,0.0015,0.8666,-0.0013,0.03
1.07,0.0009,0.8663,-0.0012,0.02
1.17,0.0006,0.8666,-0.0015,0.02
1.27,0.0005,0.8670,-0.0020,0.02
1.37,0.0005,0.8674,0.0008,0.09
1.48,0.0006,0.8680,0.0126,0.35
1.58,0.0008,0.8690,0.0454,0.87
1.68,0.0010,0.8698,0.1173,1.64
1.78,0.0013,0.8698,0.2095,2.33
1.88,0.0023,0.8700,0.3307,2.98
1.99,0.0082,0.8699,0.4820,3.65
2.09,0.0213,0.8697,0.6617,4.29
2.19,0.0468,0.8695,0.8693,4.94
2.29,0.0820,0.8696,1.1045,5.59
2.40,0.1290,0.8694,1.3683,6.26
2.50,0.1870,0.8697,1.6595,6.91
2.60,0.2745,0.8699,2.0451,7.70
2.70,0.3642,0.8694,2.3955,8.36
2.81,0.4695,0.8697,2.7717,9.01
2.91,0.5942,0.8692,3.1730,9.68
3.01,0.7080,0.8707,3.6084,10.29
3.12,0.8101,0.8683,4.0699,10.91
3.22,0.8928,0.8700,4.5634,11.48
3.32,0.9599,0.8674,5.1934,12.12
3.43,0.9855,0.8684,5.7526,12.80
3.54,0.9843,0.8683,6.3401,13.36
3.64,0.9567,0.8674,6.9552,14.02
3.74,0.8871,0.8680,7.7282,14.82
3.84,0.7956,0.8678,8.3987,15.41
3.95,0.6671,0.8673,9.0933,16.06
4.05,0.5106,0.8687,9.8077,16.62
4.15,0.3611,0.8682,10.5609,17.28
4.25,0.2134,0.8689,11.3315,17.78
4.35,0.0792,0.8684,12.1358,18.52
4.45,-0.0658,0.8686,12.9744,19.21
4.56,-0.2253,0.8746,13.8345,19.77
4.66,-0.4152,0.8682,14.7060,20.28
4.76,-0.7019,0.8690,15.7701,20.74
4.87,-0.9931,0.8693,16.6630,21.29
4.97,-1.3461,0.8769,17.5569,21.65
5.07,-1.7387,0.8706,18.4457,21.85
5.17,-2.1789,0.8658,19.3405,22.78
5.28,-2.6590,0.8757,20.2771,23.69
5.38,-3.1489,0.8698,21.2315,24.34
5.48,-3.7051,0.8686,22.4261,24.83
5.58,-4.1395,0.8675,23.4546,25.04
5.68,-4.5274,0.8666,24.5101,25.17
5.79,-4.8622,0.8684,25.5871,25.19
5.89,-5.1368,0.8713,26.6753,25.08
5.99,-5.3610,0.8673,27.7671,24.86
6.09,-5.5112,0.8731,28.8619,24.68
6.19,-5.6095,0.8718,29.9555,24.53
6.29,-5.6438,0.8685,31.0483,24.60
6.40,-5.6047,0.8774,32.1471,24.64
6.50,-5.4773,0.8826,33.4623,24.71
6.60,-5.3015,0.8853,34.5512,24.76
6.71,-5.0651,0.8869,35.6314,24.83
6.81,-4.8064,0.8635,36.7204,25.17
6.92,-4.4723,0.8667,37.8261,26.27
7.02,-4.0844,0.8755,38.9475,26.58
7.12,-3.5758,0.8661,40.2955,27.36
7.23,-3.1111,0.8688,41.4373,27.63
7.33,-2.6356,0.8672,42.5782,27.65
