Time,X,Y,Z,SpeedMPH
0.35,0.0022,0.8588,-0.0074,0.35
0.46,0.0034,0.8693,-0.0089,0.18
0.56,0.0039,0.8733,-0.0079,0.08
0.66,0.0037,0.8727,-0.0059,0.10
0.76,0.0029,0.8699,-0.0034,0.10
0.87,0.0022,0.8678,-0.0007,0.12
0.97,0.0015,0.8669,0.0087,0.26
1.08,0.0010,0.8675,0.0354,0.72
1.18,0.0006,0.8691,0.0873,1.30
1.28,0.0002,0.8699,0.1634,1.98
1.38,0.0004,0.8701,0.2950,2.78
1.49,0.0007,0.8700,0.4377,3.46
1.59,0.0045,0.8701,0.6104,4.13
1.69,0.0151,0.8699,0.8117,4.77
1.79,0.0387,0.8698,1.0408,5.42
1.90,0.0742,0.8695,1.2966,6.05
2.00,0.1226,0.8692,1.5809,6.72
2.10,0.1972,0.8695,1.9582,7.50
2.20,0.2748,0.8695,2.3020,8.15
2.30,0.3693,0.8694,2.6724,8.81
2.40,0.4806,0.8694,3.0678,9.46
2.51,0.6125,0.8690,3.4878,10.12
2.61,0.7650,0.8694,3.9309,10.75
2.71,0.9443,0.8690,4.3961,11.46
2.82,1.1493,0.8674,4.8812,12.10
2.92,1.3818,0.8695,5.3849,12.68
3.02,1.6946,0.8666,6.0170,13.50
3.12,1.9528,0.8688,6.5830,14.08
3.23,2.2010,0.8727,7.1744,14.58
3.33,2.4261,0.8676,7.7951,15.14
3.44,2.6269,0.8685,8.4519,15.47
3.54,2.7931,0.8705,9.1454,16.24
3.64,2.9545,0.8691,10.0225,17.04
3.75,3.0552,0.8676,10.7894,17.56
3.85,3.1167,0.8692,11.5889,18.25
3.95,3.1419,0.8694,12.4151,18.82
4.05,3.1246,0.8679,13.2652,19.26
4.15,3.0588,0.8674,14.1379,19.77
4.25,2.9402,0.8689,15.0287,20.36
4.36,2.7691,0.8693,15.9310,20.77
4.46,2.4905,0.8694,17.0212,21.20
4.56,2.1958,0.8721,17.9323,21.55
4.66,1.8424,0.8715,18.8383,21.98
4.76,1.4570,0.8673,19.7780,23.22
4.86,1.0441,0.8721,20.7588,23.91
4.97,0.6367,0.8713,21.7641,24.56
5.07,0.2545,0.8679,22.8026,25.08
5.17,-0.1357,0.8649,23.8761,25.80
5.27,-0.5393,0.8707,24.9794,26.41
5.37,-0.9669,0.8740,26.0912,26.88
5.47,-1.4266,0.8720,27.2119,27.44
5.57,-1.8839,0.8677,28.3793,28.19
5.68,-2.3365,0.8746,29.5709,28.70
5.78,-2.7591,0.8664,30.7886,29.14
5.88,-3.1555,0.8696,32.0337,29.40
5.98,-3.5546,0.8761,33.5683,29.79
6.08,-3.8226,0.8852,34.8732,29.89
6.19,-4.0359,0.8900,36.1920,29.97
6.29,-4.1864,0.8935,37.5213,30.04
6.39,-4.2789,0.8946,38.8605,30.15
6.49,-4.3214,0.8868,40.2084,30.29
6.59,-4.3179,0.8672,41.5654,30.39
6.70,-4.2200,0.8761,42.9286,30.75
6.80,-4.0849,0.8681,44.2996,30.90
6.90,-3.8406,0.8703,45.9562,31.51
7.00,-3.5860,0.8668,47.3462,31.75
7.10,-3.2737,0.8668,48.7407,32.10
