Time,X,Y,Z,SpeedMPH
0.35,0.0022,0.8588,-0.0074,0.35
0.45,0.0034,0.8693,-0.0089,0.18
0.56,0.0039,0.8735,-0.0076,0.08
0.67,0.0036,0.8723,-0.0054,0.10
0.78,0.0029,0.8699,-0.0034,0.10
0.89,0.0021,0.8674,-0.0018,0.06
0.99,0.0014,0.8665,-0.0012,0.03
1.09,0.0009,0.8663,-0.0013,0.02
1.21,0.0005,0.8667,-0.0017,0.02
1.31,0.0005,0.8672,-0.0018,0.02
1.41,0.0005,0.8676,0.0031,0.19
1.52,0.0007,0.8684,0.0242,0.56
1.62,0.0002,0.8700,0.0812,1.26
1.73,0.0012,0.8697,0.1568,1.97
1.83,0.0005,0.8698,0.2627,2.64
1.94,0.0004,0.8700,0.4294,3.44
2.04,0.0011,0.8700,0.6013,4.11
2.15,0.0006,0.8701,0.8010,4.69
2.26,0.0005,0.8699,1.0203,5.05
2.36,0.0004,0.8692,1.2951,5.22
2.47,0.0003,0.8685,1.5251,5.22
2.58,0.0001,0.8676,1.8020,5.21
2.69,0.0001,0.8670,2.0339,5.21
2.80,0.0000,0.8669,2.2664,5.20
2.90,-0.0001,0.8670,2.5457,5.20
3.01,-0.0002,0.8672,2.7783,5.20
3.12,-0.0003,0.8674,3.0109,5.20
3.23,-0.0004,0.8675,3.2898,5.20
3.33,-0.0005,0.8675,3.5221,5.20
3.43,-0.0006,0.8674,3.7545,5.21
3.54,-0.0007,0.8676,3.9918,5.36
3.64,-0.0008,0.8684,4.2960,5.80
3.74,-0.0010,0.8696,4.5756,6.40
3.86,-0.0012,0.8702,4.8796,7.09
3.97,-0.0015,0.8704,5.2845,7.89
4.07,-0.0017,0.8702,5.6524,8.44
4.17,-0.0019,0.8698,6.0407,8.83
4.28,-0.0020,0.8704,6.4467,9.28
4.38,-0.0022,0.8703,6.8777,9.90
4.48,-0.0024,0.8702,7.3357,10.44
4.58,-0.0025,0.8704,7.9155,11.09
4.69,-0.0027,0.8701,8.4260,11.58
4.79,-0.0031,0.8689,8.9636,12.28
4.90,-0.0034,0.8705,9.6437,12.98
5.00,-0.0037,0.8680,10.2317,13.29
5.10,-0.0039,0.8679,10.8283,13.43
5.21,-0.0042,0.8683,11.4256,13.44
5.31,-0.0044,0.8683,12.0235,13.43
5.42,-0.0047,0.8681,12.6224,13.42
5.52,-0.0050,0.8679,13.2225,13.44
5.62,-0.0053,0.8683,13.9539,13.72
5.73,-0.0056,0.8694,14.5830,14.17
5.84,-0.0059,0.8713,15.2353,14.73
5.94,-0.0061,0.8692,15.9153,15.53
6.04,-0.0062,0.8714,16.7718,16.26
6.14,-0.0064,0.8678,17.5113,16.73
6.25,-0.0066,0.8693,18.2649,17.00
6.35,-0.0069,0.8700,19.0332,17.34
6.46,-0.0072,0.8706,19.8222,17.77
6.56,-0.0076,0.8709,20.6238,18.01
6.66,-0.0018,0.8703,21.5890,18.07
6.76,0.0247,0.8691,22.3915,18.02
6.86,0.0699,0.8685,23.1914,17.90
6.97,0.1543,0.8671,23.9822,17.75
7.07,0.2728,0.8682,24.7646,17.71
7.17,0.4120,0.8667,25.5434,17.71
7.27,0.5570,0.8675,26.3218,17.72
7.38,0.7035,0.8681,27.1001,17.73
7.48,0.8551,0.8685,27.8828,17.88
7.58,1.0440,0.8694,28.8412,18.34
7.69,1.2062,0.8724,29.6646,18.94
7.79,1.3675,0.8700,30.5089,19.50
7.89,1.5057,0.8689,31.3740,19.81
8.00,1.6338,0.8677,32.2519,19.95
8.10,1.7890,0.8675,33.3143,20.10
8.20,1.9151,0.8684,34.2151,20.43
8.31,2.0412,0.8703,35.1363,20.97
8.41,2.1652,0.8705,36.0855,21.64
8.51,2.2741,0.8717,37.0632,22.28
8.61,2.3626,0.8700,38.0686,22.93
8.72,2.4454,0.8683,39.1068,23.58
8.82,2.5452,0.8708,40.3949,24.36
8.93,2.6223,0.8699,41.4997,25.04
9.03,2.6983,0.8731,42.6338,25.68
9.13,2.7743,0.8715,43.7985,26.38
9.24,2.8493,0.8702,44.9918,27.04
9.34,2.9259,0.8725,46.2160,27.64
