ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,LaneDeviation,SpeedMPH
P000,Day,0,Practice,Unexpected,Amber,Left,32.31,31.02,0.1736,0.8681,664.1140,0.1736,57.48
P000,Day,0,Practice,Unexpected,Amber,Left,32.41,31.12,0.0748,0.8681,666.7394,0.0748,57.46
P000,Day,0,Practice,Unexpected,Amber,Left,32.52,31.23,-0.0267,0.8681,669.5032,-0.0267,57.45
P000,Day,0,Practice,Unexpected,Amber,Left,32.63,31.33,-0.1228,0.8681,672.1755,-0.1228,57.43
P000,Day,0,Practice,Unexpected,Amber,Left,32.74,31.44,-0.2230,0.8681,675.0174,-0.2230,57.42
P000,Day,0,Practice,Unexpected,Amber,Left,32.84,31.54,-0.3138,0.8681,677.6353,-0.3138,57.41
P000,Day,0,Practice,Unexpected,Amber,Left,32.94,31.65,-0.4035,0.8681,680.2590,-0.4035,57.39
P000,Day,0,Practice,Unexpected,Amber,Left,33.05,31.75,-0.4933,0.8681,682.9164,-0.4933,57.38
P000,Day,0,Practice,Unexpected,Amber,Left,33.15,31.86,-0.5836,0.8681,685.6191,-0.5836,57.37
P000,Day,0,Practice,Unexpected,Amber,Left,33.26,31.96,-0.6732,0.8681,688.3241,-0.6732,57.35
P000,Day,0,Practice,Unexpected,Amber,Left,33.36,32.06,-0.7605,0.8681,690.9780,-0.7605,57.34
P000,Day,0,Practice,Unexpected,Amber,Left,33.46,32.17,-0.8469,0.8681,693.6243,-0.8469,57.33
P000,Day,0,Practice,Unexpected,Amber,Left,33.56,32.27,-0.9308,0.8681,696.2025,-0.9308,57.31
P000,Day,0,Practice,Unexpected,Amber,Left,33.66,32.37,-1.0144,0.8681,698.7866,-1.0144,57.30
P000,Day,0,Practice,Unexpected,Amber,Left,33.77,32.47,-1.0975,0.8681,701.3594,-1.0975,57.29
P000,Day,0,Practice,Unexpected,Amber,Left,33.88,32.58,-1.1879,0.8681,704.1691,-1.1879,57.27
P000,Day,0,Practice,Unexpected,Amber,Left,33.98,32.68,-1.2739,0.8681,706.8490,-1.2739,57.26
P000,Day,0,Practice,Unexpected,Amber,Left,34.08,32.79,-1.3566,0.8681,709.4299,-1.3566,57.25
P000,Day,0,Practice,Unexpected,Amber,Left,34.19,32.89,-1.4454,0.8681,712.2059,-1.4454,57.23
P000,Day,0,Practice,Unexpected,Amber,Left,34.29,33.00,-1.5312,0.8681,714.8936,-1.5312,57.22
P000,Day,0,Practice,Unexpected,Amber,Left,34.40,33.11,-1.6183,0.8694,717.6207,-1.6183,57.20
P000,Day,0,Practice,Unexpected,Amber,Left,34.50,33.21,-1.7000,0.8697,720.1827,-1.7000,57.19
P000,Day,0,Practice,Unexpected,Amber,Left,34.60,33.31,-1.7828,0.8703,722.7825,-1.7828,57.18
