Time,X,Y,Z
0.35,0.0022,0.8588,-0.0074
0.46,0.0034,0.8693,-0.0089
0.56,0.0039,0.8733,-0.0079
0.66,0.0036,0.8723,-0.0054
0.76,0.0029,0.8699,-0.0034
0.87,0.0022,0.8677,-0.0019
0.97,0.0015,0.8666,-0.0013
1.08,0.0009,0.8663,-0.0012
1.18,0.0006,0.8666,-0.0015
1.28,0.0005,0.8671,-0.0020
1.39,0.0005,0.8674,-0.0024
1.49,0.0007,0.8676,-0.0026
1.59,0.0009,0.8676,-0.0027
1.69,0.0011,0.8676,-0.0026
1.79,0.0012,0.8675,-0.0026
1.90,0.0013,0.8674,-0.0025
2.00,0.0013,0.8674,-0.0024
2.10,0.0013,0.8674,-0.0024
2.20,0.0013,0.8674,-0.0024
2.31,0.0012,0.8674,-0.0024
2.41,0.0012,0.8674,-0.0024
2.52,0.0011,0.8674,-0.0024
2.62,0.0011,0.8674,-0.0024
2.72,0.0011,0.8674,-0.0024
2.83,0.0011,0.8674,-0.0024
2.93,0.0011,0.8674,-0.0013
3.03,0.0011,0.8677,0.0059
3.13,0.0011,0.8685,0.0323
3.23,0.0011,0.8693,0.0834
3.34,0.0013,0.8699,0.1594
3.44,0.0016,0.8699,0.2911
3.54,0.0017,0.8699,0.4342
3.65,0.0021,0.8700,0.6069
3.75,0.0015,0.8701,0.8098
3.86,0.0048,0.8700,1.0423
3.96,0.0219,0.8699,1.3590
4.06,0.0513,0.8695,1.6533
4.17,0.0862,0.8699,1.9776
4.27,0.1238,0.8703,2.3329
4.37,0.1620,0.8703,2.7171
4.48,0.2102,0.8703,3.1296
4.58,0.2791,0.8689,3.5658
4.68,0.3934,0.8685,4.1192
4.79,0.5150,0.8684,4.6063
4.89,0.6582,0.8672,5.1215
5.00,0.8045,0.8676,5.6689
5.10,0.9705,0.8752,6.3627
5.20,1.0848,0.8667,6.9670
5.31,1.1721,0.8693,7.6022
5.41,1.2275,0.8694,8.2676
5.51,1.2470,0.8689,8.9631
5.62,1.2335,0.8672,9.6860
5.72,1.1879,0.8654,10.4368
5.82,1.1499,0.8684,11.3829
5.93,1.1378,0.8728,12.1924
6.03,1.1608,0.8692,13.0191
6.13,1.2189,0.8672,13.8641
6.23,1.3312,0.8682,14.7266
6.33,1.4993,0.8776,15.6088
6.44,1.6980,0.8646,16.4939
6.54,1.9715,0.8714,17.3884
6.64,2.3156,0.8707,18.5184
6.74,2.6138,0.8736,19.4902
6.85,2.8900,0.8673,20.4879
6.95,3.1365,0.8699,21.5150
7.05,3.3389,0.8709,22.5690
7.15,3.4934,0.8672,23.6441
7.25,3.5888,0.8682,24.7406
7.35,3.6234,0.8674,25.8490
7.46,3.5883,0.8727,26.9649
7.56,3.4900,0.8751,28.0792
7.66,3.2883,0.8766,29.4079
7.76,3.0522,0.8772,30.4984
7.86,2.7742,0.8653,31.5736
7.96,2.4335,0.8740,32.6461
8.07,2.0612,0.8663,33.7100
8.17,1.6591,0.8651,34.7977
8.27,1.2565,0.8731,35.9179
8.37,0.8934,0.8674,37.0374
8.47,0.5500,0.8668,38.1686
8.57,0.2658,0.8682,39.3090
8.68,0.0147,0.8664,40.4548
8.78,-0.2197,0.8673,41.6019
8.88,-0.4579,0.8678,42.7452
8.98,-0.7288,0.8681,44.1192
9.09,-0.9308,0.8683,45.2680
9.19,-1.1136,0.8661,46.4156
9.29,-1.2522,0.8681,47.5635
9.39,-1.3534,0.8681,48.7106
9.49,-1.4345,0.8678,49.8584
9.60,-1.5166,0.8677,51.2383
9.70,-1.5674,0.8695,52.3878
9.80,-1.6097,0.8690,53.5363
9.91,-1.6422,0.8712,54.6848
10.01,-1.6671,0.8707,55.8329
10.11,-1.6805,0.8703,56.9815
10.21,-1.6777,0.8681,58.1294
10.32,-1.6679,0.8661,59.2773
10.42,-1.6548,0.8683,60.4250
10.53,-1.6316,0.8708,61.8008
10.63,-1.6084,0.8716,62.9467
10.74,-1.5825,0.8731,64.0911
10.84,-1.5543,0.8714,65.2356
10.94,-1.5192,0.8700,66.6095
11.05,-1.4883,0.8687,67.7549
11.16,-1.4581,0.8674,68.9001
11.27,-1.4218,0.8673,70.2733
11.37,-1.3915,0.8677,71.4172
11.47,-1.3611,0.8681,72.5608
11.57,-1.3259,0.8682,73.7040
11.67,-1.2673,0.8682,74.8446
11.78,-1.1905,0.8686,75.9800
11.88,-1.0666,0.8684,77.1035
11.98,-0.8531,0.8677,78.4301
12.08,-0.6159,0.8715,79.5155
12.19,-0.3396,0.8669,80.5856
12.29,-0.0241,0.8673,81.6445
12.39,0.3163,0.8661,82.6941
12.50,0.6592,0.8656,83.7416
12.60,0.9826,0.8664,84.7921
12.70,1.2988,0.8673,85.8425
12.80,1.6147,0.8678,86.8930
12.90,1.9880,0.8681,88.1551
13.01,2.2898,0.8682,89.2089
13.11,2.5773,0.8682,90.2659
13.21,2.8448,0.8676,91.3262
13.31,3.0723,0.8673,92.3903
13.41,3.2492,0.8682,93.4558
13.52,3.3727,0.8698,94.5194
13.62,3.4418,0.8734,95.5795
13.72,3.4588,0.8705,96.8444
13.82,3.4043,0.8712,97.8862
13.92,3.2956,0.8732,98.9148
14.03,3.1339,0.8664,99.9255
14.13,2.9063,0.8708,100.9148
14.23,2.6250,0.8683,101.8765
14.33,2.2859,0.8737,102.8111
14.43,1.9083,0.8664,103.7210
14.53,1.4864,0.8672,104.5961
14.63,1.0443,0.8677,105.4370
14.74,0.6004,0.8682,106.2459
14.84,0.0663,0.8673,107.1678
14.94,-0.3750,0.8659,107.8978
15.05,-0.8048,0.8642,108.5963
15.15,-1.2111,0.8661,109.2752
15.25,-1.5859,0.8663,109.9407
15.35,-1.9111,0.8691,110.5938
15.45,-2.1949,0.8677,111.2300
15.55,-2.4308,0.8673,111.8512
