ParticipantID,Block,BlockStartAbs,BlockTimeRel,TrialIndex,Scene,Event,Expectancy,SignalColor,MergeSide,TimeAbs,TrialTimeRel,X,Y,Z,LaneDeviation,SpeedMPH,TrialEnded,TrialEndReason,TrialEndAbs,TrialEndRel,SurveyResponse,SurveyResponseCorrect,SurveyRT,BrakeInput,SteeringInput
UNKNOWN,0,3.365,1.736,-1,SubBlock,,,,,5.101,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,1.839,-1,SubBlock,,,,,5.204,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,1.935,-1,SubBlock,,,,,5.3,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,2.035,-1,SubBlock,,,,,5.4,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,2.137,-1,SubBlock,,,,,5.502,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,2.237,-1,SubBlock,,,,,5.602,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,2.336,-1,SubBlock,,,,,5.701,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,2.437,-1,SubBlock,,,,,5.802,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,2.538,-1,SubBlock,,,,,5.903,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,2.635,-1,SubBlock,,,,,6,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,2.737,-1,SubBlock,,,,,6.102,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,2.835,-1,SubBlock,,,,,6.2,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,2.937,-1,SubBlock,,,,,6.302,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,3.036,-1,SubBlock,,,,,6.401,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,3.138,-1,SubBlock,,,,,6.502,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,3.236,-1,SubBlock,,,,,6.601,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,3.337,-1,SubBlock,,,,,6.702,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,3.438,-1,SubBlock,,,,,6.803,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,3.538,-1,SubBlock,,,,,6.902,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,3.636,-1,SubBlock,,,,,7.001,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,3.738,-1,SubBlock,,,,,7.103,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,3.835,-1,SubBlock,,,,,7.2,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,3.935,-1,SubBlock,,,,,7.3,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,4.037,-1,SubBlock,,,,,7.402,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,4.136,-1,SubBlock,,,,,7.501,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,4.237,-1,SubBlock,,,,,7.602,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,4.335,-1,SubBlock,,,,,7.7,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,4.435,-1,SubBlock,,,,,7.8,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,4.537,-1,SubBlock,,,,,7.902,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,4.638,-1,SubBlock,,,,,8.002,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,4.737,-1,SubBlock,,,,,8.102,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,4.837,-1,SubBlock,,,,,8.202,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,4.937,-1,SubBlock,,,,,8.302,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,5.039,-1,SubBlock,,,,,8.404,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,5.136,-1,SubBlock,,,,,8.501,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,5.244,-1,SubBlock,,,,,8.609,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,5.337,-1,SubBlock,,,,,8.702,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,5.438,-1,SubBlock,,,,,8.803,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,5.536,-1,SubBlock,,,,,8.901,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,5.636,-1,SubBlock,,,,,9.001,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,5.735,-1,SubBlock,,,,,9.1,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,5.837,-1,SubBlock,,,,,9.202,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,5.937,-1,SubBlock,,,,,9.302,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,6.036,-1,SubBlock,,,,,9.401,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,6.136,-1,SubBlock,,,,,9.501,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,6.237,-1,SubBlock,,,,,9.602,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,6.336,-1,SubBlock,,,,,9.701,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,6.436,-1,SubBlock,,,,,9.801,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,6.536,-1,SubBlock,,,,,9.901,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,6.637,-1,SubBlock,,,,,10.002,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,6.736,-1,SubBlock,,,,,10.101,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,6.836,-1,SubBlock,,,,,10.201,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,6.937,-1,SubBlock,,,,,10.302,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,7.036,-1,SubBlock,,,,,10.401,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,7.135,-1,SubBlock,,,,,10.5,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,7.237,-1,SubBlock,,,,,10.602,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,7.336,-1,SubBlock,,,,,10.701,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,7.436,-1,SubBlock,,,,,10.801,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,7.535,-1,SubBlock,,,,,10.9,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,7.636,-1,SubBlock,,,,,11.001,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,7.738,-1,SubBlock,,,,,11.103,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,7.836,-1,SubBlock,,,,,11.201,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,7.938,-1,SubBlock,,,,,11.303,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,8.036,-1,SubBlock,,,,,11.401,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,8.137,-1,SubBlock,,,,,11.502,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,8.237,-1,SubBlock,,,,,11.602,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,8.337,-1,SubBlock,,,,,11.702,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,8.436,-1,SubBlock,,,,,11.8,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,8.537,-1,SubBlock,,,,,11.902,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,8.635,-1,SubBlock,,,,,12,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,8.736,-1,SubBlock,,,,,12.101,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,8.838,-1,SubBlock,,,,,12.203,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,8.936,-1,SubBlock,,,,,12.301,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,9.037,-1,SubBlock,,,,,12.402,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,9.135,-1,SubBlock,,,,,12.5,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,9.236,-1,SubBlock,,,,,12.601,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,9.336,-1,SubBlock,,,,,12.7,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,9.436,-1,SubBlock,,,,,12.801,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,9.537,-1,SubBlock,,,,,12.902,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,9.637,-1,SubBlock,,,,,13.002,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,9.737,-1,SubBlock,,,,,13.102,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,9.836,-1,SubBlock,,,,,13.201,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,9.937,-1,SubBlock,,,,,13.302,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,10.037,-1,SubBlock,,,,,13.402,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,10.136,-1,SubBlock,,,,,13.501,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,10.237,-1,SubBlock,,,,,13.602,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,10.337,-1,SubBlock,,,,,13.702,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,10.436,-1,SubBlock,,,,,13.801,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,10.538,-1,SubBlock,,,,,13.903,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,10.636,-1,SubBlock,,,,,14.001,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,10.736,-1,SubBlock,,,,,14.101,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,10.837,-1,SubBlock,,,,,14.202,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,10.935,-1,SubBlock,,,,,14.3,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,11.037,-1,SubBlock,,,,,14.402,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,11.136,-1,SubBlock,,,,,14.501,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,11.237,-1,SubBlock,,,,,14.602,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,11.337,-1,SubBlock,,,,,14.702,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,11.435,-1,SubBlock,,,,,14.8,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,11.539,-1,SubBlock,,,,,14.904,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,11.636,-1,SubBlock,,,,,15.001,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,11.736,-1,SubBlock,,,,,15.101,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,11.837,-1,SubBlock,,,,,15.202,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,11.935,-1,SubBlock,,,,,15.3,-1,,,,,0,0,,-1,-1,,,-1,,
