ParticipantID,Block,TrialIndex,Scene,Event,TimeAbs,TrialTimeRel,X,Y,Z,LaneDeviation,SpeedMPH,TrialEndRel,SurveyResponse,SurveyResponseCorrect,SurveyRT,BrakeInput,ThrottleInput,SteeringInput,Car2Merge,MergeRTSteer,MergeRTBrake,MergeRTThrottle,Collision,Car2DecelStartRel,Car2CollisionAbs,TimeToCollision
UNKNOWN,0,-1,SubBlock,Practice,4.404,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,4.504,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,4.604,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,4.704,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,4.805,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,4.904,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,5.004,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,5.104,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,5.204,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,5.304,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,5.404,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,5.504,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,5.604,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,5.704,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,5.804,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
