Time,X,Y,Z,SpeedMPH
0.35,0.0022,0.8588,-0.0074,0.35
0.45,0.0034,0.8692,-0.0111,0.18
0.56,0.0038,0.8734,-0.0033,0.28
0.66,0.0042,0.8722,0.0236,0.79
0.76,0.0026,0.8695,0.0917,1.59
0.87,0.0014,0.8701,0.1796,2.24
0.97,-0.0010,0.8699,0.2978,2.91
1.07,-0.0084,0.8697,0.4450,3.56
1.17,-0.0256,0.8698,0.6211,4.22
1.27,-0.0525,0.8698,0.8244,4.86
1.38,-0.0902,0.8696,1.0566,5.52
1.48,-0.1376,0.8697,1.3164,6.17
1.58,-0.2104,0.8699,1.6653,6.96
1.68,-0.2858,0.8699,1.9859,7.63
1.79,-0.3752,0.8699,2.3327,8.28
1.89,-0.4820,0.8693,2.7054,8.94
1.99,-0.6062,0.8694,3.1027,9.58
2.10,-0.7498,0.8693,3.5257,10.26
2.20,-0.9038,0.8697,3.9784,10.94
2.30,-1.0505,0.8717,4.4615,11.54
2.40,-1.2058,0.8674,5.0803,12.27
2.50,-1.3109,0.8701,5.6330,12.83
2.61,-1.3920,0.8680,6.2111,13.25
2.71,-1.4448,0.8691,6.8176,13.93
2.81,-1.4709,0.8690,7.4535,14.48
2.92,-1.4700,0.8682,8.1181,15.09
3.02,-1.4359,0.8672,8.8107,15.79
3.12,-1.3748,0.8671,9.5271,16.37
3.22,-1.2533,0.8681,10.4227,17.21
3.32,-1.1118,0.8683,11.1964,17.88
3.42,-0.9452,0.8678,11.9980,18.54
3.53,-0.7623,0.8704,12.8314,19.28
3.63,-0.5664,0.8698,13.6906,19.96
3.74,-0.3447,0.8716,14.5721,20.61
3.84,-0.1070,0.8684,15.4790,21.28
3.94,0.1929,0.8722,16.6078,22.03
4.05,0.4510,0.8689,17.5774,22.74
4.15,0.7070,0.8703,18.5772,23.37
4.25,0.9418,0.8708,19.6067,23.93
4.35,1.1612,0.8673,20.6681,24.55
4.45,1.3765,0.8697,21.7659,25.23
4.55,1.5858,0.8703,22.8949,25.89
4.65,1.7775,0.8685,24.0548,26.58
4.76,1.9700,0.8711,25.2468,27.24
4.86,2.1591,0.8691,26.4683,27.91
4.96,2.3434,0.8738,27.7209,28.58
5.06,2.5685,0.8688,29.2621,29.37
5.17,2.7580,0.8736,30.5792,30.04
5.27,2.9494,0.8677,31.9243,30.72
5.37,3.1467,0.8721,33.3017,31.36
5.47,3.3450,0.8682,34.7056,32.03
5.57,3.5493,0.8721,36.1418,32.69
5.67,3.7581,0.8702,37.6031,33.32
5.77,3.9669,0.8699,39.0987,34.03
5.87,4.1818,0.8733,40.6200,34.66
5.97,4.4025,0.8692,42.1737,35.28
6.08,4.6024,0.8715,43.7535,35.91
6.18,4.8079,0.8681,45.6842,36.56
6.28,4.9600,0.8688,47.3287,37.17
6.39,5.0928,0.8680,48.9929,37.48
6.49,5.1895,0.8677,50.6671,37.53
6.59,5.2351,0.8691,52.3392,37.37
6.69,5.2229,0.8734,54.0025,37.11
6.79,5.1544,0.8765,55.6517,36.85
6.90,5.0381,0.8698,57.2867,36.59
7.00,4.8488,0.8745,58.9034,36.36
7.10,4.6092,0.8743,60.5062,36.23
7.20,4.3250,0.8682,62.0968,36.10
7.30,3.9084,0.8757,63.9831,35.99
7.40,3.5233,0.8681,65.5422,35.86
7.50,3.0849,0.8691,67.0818,35.78
7.60,2.6106,0.8674,68.6075,35.71
7.71,2.1060,0.8693,70.1231,35.67
7.81,1.5898,0.8657,71.6294,35.64
7.92,1.0969,0.8653,73.1418,35.57
8.02,0.6095,0.8674,74.6544,35.55
8.12,0.0304,0.8668,76.4719,35.53
8.22,-0.4226,0.8686,77.9920,35.46
8.33,-0.8364,0.8675,79.5192,35.33
8.43,-1.2042,0.8665,81.0526,35.27
8.53,-1.5386,0.8703,82.5920,35.24
8.63,-1.8427,0.8694,84.1363,35.19
8.73,-2.1098,0.8699,85.6831,35.08
8.84,-2.3239,0.8711,87.2315,34.91
8.94,-2.4959,0.8667,88.7794,34.84
9.04,-2.6524,0.8689,90.6403,34.79
9.14,-2.7513,0.8681,92.1914,34.76
9.25,-2.8228,0.8671,93.7424,34.72
9.35,-2.8685,0.8662,95.2930,34.69
9.45,-2.8899,0.8667,96.8428,34.65
9.55,-2.8707,0.8694,98.3879,34.54
9.66,-2.8048,0.8669,99.9245,34.35
9.76,-2.6947,0.8654,101.4531,34.25
9.86,-2.5067,0.8664,103.2780,34.20
9.96,-2.3198,0.8667,104.7942,34.17
10.07,-2.1047,0.8666,106.3054,34.14
10.17,-1.8622,0.8715,107.8122,34.09
10.27,-1.5992,0.8656,109.3110,34.08
10.37,-1.3156,0.8678,110.8073,34.05
10.48,-1.0243,0.8668,112.2999,34.04
10.58,-0.6568,0.8649,114.0888,34.02
10.68,-0.3444,0.8658,115.5773,34.02
10.79,-0.0268,0.8672,117.0641,34.01
10.89,0.2950,0.8681,118.5497,34.00
10.99,0.6267,0.8684,120.0326,33.98
11.10,0.9802,0.8663,121.5088,33.92
11.20,1.3626,0.8689,122.9734,33.84
11.30,1.8459,0.8669,124.7223,33.83
11.41,2.2615,0.8667,126.1760,33.82
11.51,2.6939,0.8667,127.6240,33.80
11.61,3.1373,0.8657,129.0682,33.79
11.71,3.5951,0.8653,130.5073,33.78
11.81,4.0611,0.8666,131.9431,33.77
11.92,4.5170,0.8676,133.3815,33.74
12.02,5.0344,0.8683,135.1131,33.67
12.12,5.4664,0.8664,136.5554,33.66
12.22,5.8866,0.8669,137.9998,33.66
12.32,6.2969,0.8657,139.4469,33.64
12.42,6.5899,0.9042,140.8466,29.83
12.52,6.7696,0.9412,142.1720,29.80
12.63,6.9320,0.9133,143.4834,29.54
12.73,7.0742,0.8669,144.7870,29.38
12.83,7.0918,0.9644,145.9880,26.79
12.93,7.1554,1.1535,147.1502,26.80
13.03,7.1719,1.3137,148.3176,26.90
13.13,7.1282,1.3152,149.5385,26.89
13.24,7.0779,1.2283,150.7533,26.91
13.34,7.0055,1.1679,151.9411,26.85
13.44,6.9536,1.1165,153.3791,26.74
13.55,6.9551,1.0750,154.5740,26.66
13.65,6.9932,1.0289,155.7650,26.60
13.75,7.0640,0.9724,156.9518,26.56
13.85,7.1642,0.8995,158.1346,26.57
13.96,7.3243,0.8402,159.3091,26.54
14.06,7.5200,0.8511,160.4784,26.52
14.16,7.7486,0.8640,161.8823,26.51
14.27,7.9356,0.8698,163.0526,26.50
14.37,8.1339,0.8711,164.2203,26.48
14.47,8.3596,0.8703,165.3798,26.39
14.57,8.5985,0.8668,166.5314,26.23
14.67,8.8922,0.8709,167.6588,26.02
14.78,9.2284,0.8698,168.7661,25.83
14.88,9.6176,0.8690,169.8459,25.61
14.98,10.1502,0.8677,171.1008,25.34
15.08,10.6465,0.8687,172.1149,25.20
15.19,11.1844,0.8667,173.1012,25.13
15.29,11.7570,0.8657,174.0647,25.09
15.39,12.3602,0.8684,175.0077,25.04
15.49,12.9836,0.8684,175.9355,25.00
15.59,13.6233,0.8654,176.8509,24.98
15.70,14.2788,0.8669,177.7542,24.96
15.80,14.9423,0.8680,178.6510,24.95
15.90,15.6108,0.8684,179.5435,24.94
16.00,16.4185,0.8683,180.6100,24.94
16.10,17.0950,0.8682,181.4958,24.93
16.21,17.7735,0.8681,182.3797,24.92
16.31,18.4533,0.8681,183.2624,24.92
16.41,19.1336,0.8681,184.1443,24.91
16.51,19.8140,0.8681,185.0258,24.91
16.61,20.4942,0.8681,185.9072,24.90
16.71,21.1741,0.8681,186.7886,24.90
16.82,21.9892,0.8681,187.8463,24.89
16.92,22.6680,0.8681,188.7278,24.88
17.03,23.3463,0.8681,189.6093,24.88
17.13,24.0243,0.8681,190.4907,24.87
17.23,24.7019,0.8681,191.3722,24.87
17.34,25.3792,0.8681,192.2535,24.86
17.44,26.0564,0.8681,193.1346,24.86
17.54,26.7333,0.8681,194.0156,24.85
17.64,27.4101,0.8681,194.8964,24.85
17.74,28.2221,0.8681,195.9530,24.84
17.85,28.8986,0.8681,196.8333,24.83
17.95,29.5750,0.8681,197.7134,24.83
