ParticipantID,Block,TrialIndex,Scene,Event,TimeAbs,TrialTimeRel,X,Y,Z,LaneDeviation,SpeedMPH,TrialEnded,TrialEndReason,TrialEndAbs,TrialEndRel,SurveyResponse,SurveyResponseCorrect,SurveyRT,BrakeInput,ThrottleInput,SteeringInput,Car2Merge,Collision,Car2DecelStartAbs,Car2CollisionAbs,TimeToCollision
UNKNOWN,0,-1,SubBlock,Practice,4.203,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,4.255,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,4.303,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,4.403,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,4.503,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,4.604,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,4.704,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,4.804,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,4.903,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,5.005,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,5.103,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,5.203,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,5.303,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,5.403,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,5.503,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,5.603,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,5.703,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,5.803,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,5.904,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,6.003,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,6.103,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,6.203,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,6.303,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,6.403,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,6.503,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,6.603,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,6.703,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,6.803,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,6.903,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,7.003,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,7.103,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,7.203,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,7.303,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,7.403,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,7.503,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,7.604,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,7.703,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,7.803,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,7.903,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
P000,Day,-1,SubBlock,Practice,8.003,-1,,,,,0,1,TrialEnd,4.255,-1,,,-1,0,0,0,0,0,,,
