ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,LaneDeviation,SpeedMPH,TrialEnded,TrialEndReason,TrialEndTimeAbs,TrialEndTimeRel,MergeCueTimeRel,DriverResponseTimeRel,ReactionTime,ResponseType,SurveyQuestion,SurveyResponse,SurveyRT
1,Night,0,Practice,Expected,Red,Left,60.44,46.96,1.8814,0.8682,996.3871,1.8814,53.64,1,Manual_P,81.90,68.42,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,8.629
1,Night,0,Practice,Expected,Red,Left,60.54,47.06,1.9112,0.8678,998.7992,1.9112,53.59,1,Manual_P,81.90,68.42,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,8.629
1,Night,0,Practice,Expected,Red,Left,60.66,47.17,1.9116,0.8678,1001.5240,1.9116,53.56,1,Manual_P,81.90,68.42,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,8.629
1,Night,0,Practice,Expected,Red,Left,60.76,47.28,1.8877,0.8680,1004.0010,1.8877,53.53,1,Manual_P,81.90,68.42,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,8.629
1,Night,0,Practice,Expected,Red,Left,60.88,47.39,1.8423,0.8681,1006.8070,1.8423,53.49,1,Manual_P,81.90,68.42,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,8.629
1,Night,0,Practice,Expected,Red,Left,60.98,47.50,1.8050,0.8682,1009.2300,1.8050,53.47,1,Manual_P,81.90,68.42,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,8.629
1,Night,0,Practice,Expected,Red,Left,61.08,47.60,1.7573,0.8682,1011.6760,1.7573,53.45,1,Manual_P,81.90,68.42,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,8.629
1,Night,0,Practice,Expected,Red,Left,61.18,47.70,1.7174,0.8690,1014.0970,1.7174,53.41,1,Manual_P,81.90,68.42,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,8.629
1,Night,0,Practice,Expected,Red,Left,61.29,47.80,1.7071,0.8689,1016.5760,1.7071,53.36,1,Manual_P,81.90,68.42,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,8.629
1,Night,0,Practice,Expected,Red,Left,61.39,47.91,1.7150,0.8700,1019.0540,1.7150,53.34,1,Manual_P,81.90,68.42,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,8.629
1,Night,0,Practice,Expected,Red,Left,61.49,48.01,1.7257,0.8710,1021.4680,1.7257,53.31,1,Manual_P,81.90,68.42,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,8.629
1,Night,0,Practice,Expected,Red,Left,61.59,48.11,1.7483,0.8692,1023.9070,1.7483,53.29,1,Manual_P,81.90,68.42,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,8.629
1,Night,0,Practice,Expected,Red,Left,61.71,48.23,1.7674,0.8678,1026.6740,1.7674,53.22,1,Manual_P,81.90,68.42,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,8.629
1,Night,0,Practice,Expected,Red,Left,61.81,48.33,1.7587,0.8676,1029.0630,1.7587,53.19,1,Manual_P,81.90,68.42,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,8.629
1,Night,0,Practice,Expected,Red,Left,61.91,48.43,1.7386,0.8677,1031.4730,1.7386,53.18,1,Manual_P,81.90,68.42,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,8.629
1,Night,0,Practice,Expected,Red,Left,62.01,48.53,1.7047,0.8701,1033.8800,1.7047,53.16,1,Manual_P,81.90,68.42,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,8.629
1,Night,0,Practice,Expected,Red,Left,62.13,48.65,1.6386,0.8706,1036.6450,1.6386,53.12,1,Manual_P,81.90,68.42,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,8.629
1,Night,0,Practice,Expected,Red,Left,62.23,48.75,1.5555,0.8688,1039.0300,1.5555,51.84,1,Manual_P,81.90,68.42,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,8.629
1,Night,0,Practice,Expected,Red,Left,62.35,48.86,1.4387,0.8678,1041.6370,1.4387,49.11,1,Manual_P,81.90,68.42,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,8.629
1,Night,0,Practice,Expected,Red,Left,62.45,48.96,1.3203,0.8676,1043.8020,1.3203,47.70,1,Manual_P,81.90,68.42,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,8.629
1,Night,0,Practice,Expected,Red,Left,62.56,49.08,1.1671,0.8678,1046.2170,1.1671,46.15,1,Manual_P,81.90,68.42,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Amber,8.629
