ParticipantID,Block,BlockStartAbs,BlockTimeRel,TrialIndex,Scene,Event,TimeAbs,TrialTimeRel,X,Y,Z,LaneDeviation,SpeedMPH,TrialEnded,TrialEndReason,TrialEndAbs,TrialEndRel,SurveyQuestion,SurveyResponse,SurveyRT
UNKNOWN,0,-1,-1,-1,SubBlock,Sample,4.801,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,-1,-1,-1,SubBlock,Sample,4.901,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,-1,-1,-1,SubBlock,Sample,5.003,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,-1,-1,-1,SubBlock,Sample,5.102,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,-1,-1,-1,SubBlock,Sample,5.201,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,-1,-1,-1,SubBlock,Sample,5.303,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,-1,-1,-1,SubBlock,Sample,5.402,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,-1,-1,-1,SubBlock,Sample,5.502,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,-1,-1,-1,SubBlock,Sample,5.602,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,-1,-1,-1,SubBlock,Sample,5.701,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,-1,-1,-1,SubBlock,Sample,5.8,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,-1,-1,-1,SubBlock,Sample,5.902,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,-1,-1,-1,SubBlock,Sample,6.001,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,-1,-1,-1,SubBlock,Sample,6.104,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,-1,-1,-1,SubBlock,Sample,6.203,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,-1,-1,-1,SubBlock,Sample,6.335,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,-1,-1,-1,SubBlock,Sample,6.402,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,-1,-1,-1,SubBlock,Sample,6.503,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,-1,-1,-1,SubBlock,Sample,6.601,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,-1,-1,-1,SubBlock,Sample,6.702,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,-1,-1,-1,SubBlock,Sample,6.802,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
UNKNOWN,0,-1,-1,-1,SubBlock,Sample,6.902,-1,,,,,0,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,0.399,0,U_Amb_R,Sample,7.405,0.399,0,1.076,-0.002,,1.463,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,0.492,0,U_Amb_R,Sample,7.498,0.492,0,1.076,-0.002,,1.463,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,0.513,0,U_Amb_R,Sample,7.519,0.513,0,1.061,-0.002,,1.829,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,0.531,0,U_Amb_R,Sample,7.538,0.531,0,1.042,-0.002,,2.56,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,0.544,0,U_Amb_R,Sample,7.55,0.544,0,1.026,-0.002,,2.56,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,0.558,0,U_Amb_R,Sample,7.564,0.558,0,1.009,-0.002,,2.926,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,0.6,0,U_Amb_R,Sample,7.606,0.6,0,0.944,-0.002,,4.023,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,0.695,0,U_Amb_R,Sample,7.701,0.695,0,0.843,-0.002,,0.039,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,0.799,0,U_Amb_R,Sample,7.806,0.799,0,0.851,-0.002,,0.23,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,0.894,0,U_Amb_R,Sample,7.9,0.894,0,0.861,-0.002,,0.204,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,1,0,U_Amb_R,Sample,8.006,1,0,0.868,-0.002,,0.097,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,1.095,0,U_Amb_R,Sample,8.102,1.095,0,0.87,0.001,,0.172,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,1.201,0,U_Amb_R,Sample,8.207,1.201,0,0.87,0.017,,0.589,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,1.296,0,U_Amb_R,Sample,8.302,1.296,0.001,0.869,0.052,,1.044,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,1.401,0,U_Amb_R,Sample,8.407,1.401,0.005,0.868,0.12,,1.832,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,1.495,0,U_Amb_R,Sample,8.502,1.495,0.015,0.867,0.21,,2.384,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,1.6,0,U_Amb_R,Sample,8.606,1.6,0.029,0.867,0.338,,3.17,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,1.697,0,U_Amb_R,Sample,8.703,1.697,0.04,0.867,0.488,,3.844,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,1.801,0,U_Amb_R,Sample,8.807,1.801,0.046,0.868,0.681,,4.515,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,1.897,0,U_Amb_R,Sample,8.904,1.897,0.051,0.868,0.888,,5.187,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,2.001,0,U_Amb_R,Sample,9.008,2.001,0.056,0.868,1.143,,5.859,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,2.096,0,U_Amb_R,Sample,9.102,2.096,0.061,0.868,1.404,,6.418,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,2.199,0,U_Amb_R,Sample,9.205,2.199,0.067,0.868,1.717,,7.202,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,2.295,0,U_Amb_R,Sample,9.301,2.295,0.073,0.868,2.039,,7.761,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,2.397,0,U_Amb_R,Sample,9.403,2.397,0.08,0.868,2.408,,8.544,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,2.498,0,U_Amb_R,Sample,9.504,2.498,0.088,0.868,2.809,,9.215,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,2.597,0,U_Amb_R,Sample,9.603,2.597,0.096,0.868,3.227,,9.886,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,2.699,0,U_Amb_R,Sample,9.705,2.699,0.105,0.868,3.691,,10.556,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,2.797,0,U_Amb_R,Sample,9.804,2.797,0.115,0.868,4.17,,11.227,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,2.894,0,U_Amb_R,Sample,9.9,2.894,0.124,0.868,4.67,,11.788,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,2.995,0,U_Amb_R,Sample,10.001,2.995,0.135,0.869,5.217,,12.459,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,3.096,0,U_Amb_R,Sample,10.102,3.096,0.146,0.868,5.796,,13.129,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,3.201,0,U_Amb_R,Sample,10.207,3.201,0.159,0.868,6.429,,13.91,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,3.296,0,U_Amb_R,Sample,10.302,3.296,0.17,0.868,7.036,,14.468,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,3.402,0,U_Amb_R,Sample,10.408,3.402,0.184,0.868,7.734,,15.249,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,3.496,0,U_Amb_R,Sample,10.502,3.496,0.197,0.868,8.395,,15.807,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,3.599,0,U_Amb_R,Sample,10.605,3.599,0.211,0.868,9.135,,16.588,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,3.696,0,U_Amb_R,Sample,10.702,3.696,0.225,0.868,9.87,,17.145,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,3.795,0,U_Amb_R,Sample,10.801,3.795,0.24,0.868,10.647,,17.814,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,3.898,0,U_Amb_R,Sample,10.904,3.898,0.244,0.868,11.482,,18.564,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,3.995,0,U_Amb_R,Sample,11.001,3.995,0.225,0.868,12.303,,19.102,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,4.098,0,U_Amb_R,Sample,11.105,4.098,0.2,0.868,13.199,,19.883,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,4.196,0,U_Amb_R,Sample,11.202,4.196,0.185,0.868,14.083,,20.424,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,4.296,0,U_Amb_R,Sample,11.302,4.296,0.195,0.868,15.011,,21.041,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,4.396,0,U_Amb_R,Sample,11.402,4.396,0.221,0.868,15.968,,21.703,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,4.499,0,U_Amb_R,Sample,11.506,4.499,0.234,0.868,16.986,,22.445,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,4.595,0,U_Amb_R,Sample,11.601,4.595,0.217,0.868,17.962,,22.933,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,4.697,0,U_Amb_R,Sample,11.704,4.697,0.161,0.868,19.02,,23.647,0,,-1,-1,PostTrialQuestion,,-1
