Time,X,Y,Z
0.35,0.0022,0.8588,-0.0074
0.45,0.0034,0.8693,-0.0089
0.56,0.0039,0.8733,-0.0079
0.66,0.0036,0.8723,-0.0054
0.77,0.0029,0.8699,-0.0034
0.87,0.0022,0.8677,-0.0019
0.97,0.0015,0.8666,-0.0013
1.07,0.0009,0.8663,-0.0012
1.17,0.0006,0.8666,-0.0015
1.28,0.0004,0.8670,-0.0026
1.38,0.0005,0.8677,0.0080
1.48,0.0006,0.8690,0.0440
1.58,0.0006,0.8700,0.1001
1.69,0.0010,0.8700,0.1835
1.79,0.0013,0.8698,0.2974
1.89,0.0014,0.8701,0.4407
1.99,0.0014,0.8701,0.6142
2.10,0.0018,0.8698,0.8178
2.20,0.0012,0.8701,1.0512
2.30,0.0038,0.8700,1.3145
2.40,0.0193,0.8700,1.6684
2.51,0.0489,0.8693,1.9932
2.61,0.0847,0.8698,2.3481
2.71,0.1234,0.8704,2.7342
2.81,0.1534,0.8700,3.1484
2.92,0.1685,0.8695,3.5908
3.02,0.1617,0.8688,4.0607
3.12,0.1296,0.8693,4.5548
3.22,0.0576,0.8674,5.1815
3.33,-0.0334,0.8681,5.7318
3.43,-0.1556,0.8675,6.3062
3.53,-0.3018,0.8674,6.9035
3.63,-0.4704,0.8669,7.5298
3.74,-0.6502,0.8706,8.1857
3.84,-0.8746,0.8717,9.0102
3.95,-1.0542,0.8696,9.7256
4.05,-1.2061,0.8692,10.4764
4.15,-1.3345,0.8689,11.2529
4.25,-1.4257,0.8700,12.0577
4.36,-1.4733,0.8696,12.8871
4.46,-1.4795,0.8665,13.7361
4.56,-1.4353,0.8684,14.5972
4.66,-1.3233,0.8677,15.6248
4.76,-1.1854,0.8657,16.4705
4.86,-1.0522,0.8609,17.3143
4.97,-0.9337,0.8641,18.1582
5.07,-0.8351,0.8684,19.0000
5.17,-0.7766,0.8690,19.8363
5.27,-0.7616,0.8681,20.6696
5.37,-0.7907,0.8686,21.4972
5.47,-0.8632,0.8683,22.3169
5.57,-0.9787,0.8697,23.1275
5.68,-1.1388,0.8690,23.9247
5.78,-1.3439,0.8732,24.7074
5.88,-1.6387,0.8670,25.6251
5.98,-1.9383,0.8672,26.3689
6.09,-2.2852,0.8668,27.1028
6.19,-2.6741,0.8687,27.8417
6.29,-3.0753,0.8654,28.6127
6.39,-3.4803,0.8717,29.4113
6.50,-3.8706,0.8700,30.2270
6.60,-4.2269,0.8708,31.0689
6.70,-4.5477,0.8691,31.9262
6.80,-4.8693,0.8703,32.9685
6.90,-5.0868,0.8685,33.8459
7.00,-5.2534,0.8667,34.7278
7.11,-5.3658,0.8689,35.6125
7.21,-5.4283,0.8692,36.4945
7.31,-5.4400,0.8701,37.3730
7.41,-5.3995,0.8670,38.2439
7.51,-5.3072,0.8689,39.1055
7.62,-5.1616,0.8674,39.9507
7.72,-4.9685,0.8690,40.7822
7.82,-4.6707,0.8679,41.7524
7.93,-4.3705,0.8686,42.5457
8.03,-4.0390,0.8670,43.3394
8.13,-3.6774,0.8686,44.1518
8.23,-3.2952,0.8701,44.9883
8.33,-2.8857,0.8695,45.8430
8.43,-2.4440,0.8699,46.7098
8.54,-1.9607,0.8668,47.5789
8.64,-1.4320,0.8682,48.4462
8.74,-0.8638,0.8692,49.3166
8.84,-0.2832,0.8689,50.2111
8.94,0.2848,0.8696,51.1148
9.04,0.8230,0.8703,52.0330
9.14,1.4223,0.8673,53.1512
9.24,1.8674,0.8671,54.1010
9.35,2.2566,0.8678,55.0648
9.45,2.5935,0.8734,56.0411
9.55,2.8815,0.8660,57.0232
9.66,3.0988,0.8704,58.0140
9.76,3.2602,0.8682,59.0044
9.86,3.3562,0.8705,59.9927
9.96,3.3938,0.8679,60.9736
10.06,3.3462,0.8741,62.1373
10.16,3.2516,0.8745,63.0915
10.27,3.1021,0.8668,64.0277
10.37,2.8775,0.8773,64.9375
10.47,2.6077,0.8776,65.8245
10.57,2.2932,0.8705,66.6874
10.68,1.9168,0.8711,67.5131
10.78,1.4961,0.8716,68.3083
10.88,1.0311,0.8680,69.0677
10.98,0.5346,0.8682,69.7984
11.08,-0.0629,0.8653,70.6733
11.18,-0.5415,0.8656,71.4108
11.29,-1.0030,0.8714,72.1562
11.39,-1.4374,0.8668,72.9130
11.49,-1.8586,0.8679,73.6942
11.59,-2.2852,0.8686,74.5007
11.70,-2.7152,0.8731,75.3360
11.80,-3.2070,0.8669,76.3871
11.90,-3.5872,0.8696,77.2922
12.01,-3.9302,0.8716,78.2188
12.11,-4.2262,0.8643,79.1593
12.22,-4.4736,0.8709,80.1057
12.32,-4.6660,0.8692,81.0593
12.42,-4.8013,0.8677,82.0125
12.52,-4.8846,0.8673,82.9665
12.62,-4.9044,0.8679,84.1029
12.72,-4.8568,0.8687,85.0393
12.82,-4.7531,0.8704,85.9635
12.92,-4.5952,0.8681,86.8696
13.03,-4.3828,0.8693,87.7583
13.13,-4.1064,0.8823,88.6177
13.23,-3.7962,0.8808,89.4579
13.33,-3.4441,0.8686,90.2719
13.43,-3.0312,0.8695,91.0485
13.53,-2.5702,0.8737,91.7877
13.64,-2.0729,0.8765,92.4967
13.74,-1.5447,0.8657,93.1711
13.84,-0.8552,0.8667,93.9229
13.94,-0.2438,0.8680,94.5060
14.05,0.3954,0.8686,95.0457
14.15,1.0533,0.8667,95.5578
